name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS-3.0,primal infeasible,0.002418041229248047,25,inf,407,755,1847,1.284879,0.841595,0.1,0
bgetam,SCS-3.0,primal infeasible,0.006168842315673828,25,inf,688,1088,3097,3.174843,2.575011,0.1,0
bgindy,SCS-3.0,primal infeasible,0.09961867332458496,0,inf,10116,12787,75618,92.858142,4.079732,0.1,0
bgprtr,SCS-3.0,primal infeasible,0.0006272792816162109,0,inf,34,54,98,0.302268,0.075497,0.1,0
box1,SCS-3.0,primal infeasible,0.002585172653198242,125,inf,261,492,912,0.577806,1.751274,370.74315377863206,1
ceria3d,SCS-3.0,primal infeasible,0.15622973442077637,800,inf,824,3576,17602,9.464159,145.987616,0.03149149294051947,1
chemcom,SCS-3.0,primal infeasible,0.0030481815338134766,25,inf,720,1008,2286,1.618296,1.154726,0.1,0
cplex1,SCS-3.0,primal infeasible,0.011629819869995117,0,inf,3221,6226,12165,9.615408,1.015126,0.1,0
cplex2,SCS-3.0,max_iter_reached,1.616819143295288,100000,0.6550517084916843,221,445,1279,0.85722,1616.716731,1.5994205943602806,2
ex72a,SCS-3.0,primal infeasible,0.002151012420654297,125,inf,215,412,682,0.483548,1.429458,328.69150988842995,1
ex73a,SCS-3.0,primal infeasible,0.0030269622802734375,125,inf,211,404,668,0.633824,1.90908,323.86974662389764,1
forest6,SCS-3.0,primal infeasible,0.0008521080017089844,50,inf,95,161,305,0.24323,0.367457,0.1,0
galenet,SCS-3.0,primal infeasible,0.00042128562927246094,25,inf,8,16,24,0.114804,0.080325,0.1,0
gosh,SCS-3.0,primal infeasible,0.0992581844329834,0,inf,10733,14283,107722,90.686187,5.055337,0.1,0
gran,SCS-3.0,primal infeasible,0.01835179328918457,0,inf,2520,5178,22626,15.811926,1.308515,0.1,0
greenbea,SCS-3.0,primal infeasible,0.039517879486083984,0,inf,5405,7797,36282,35.262218,2.401454,0.1,0
itest2,SCS-3.0,primal infeasible,0.0004398822784423828,25,inf,4,13,21,0.117149,0.079679,0.1,0
itest6,SCS-3.0,primal infeasible,0.0005562305450439453,0,inf,8,19,28,0.189044,0.069528,0.1,0
klein1,SCS-3.0,max_iter_reached,0.6413569450378418,100000,inf,54,108,750,0.421186,640.653602,1e-06,4
klein2,SCS-3.0,primal infeasible,0.003364086151123047,25,inf,54,531,4639,2.222691,0.740067,0.1,0
klein3,SCS-3.0,primal infeasible,0.008278131484985352,25,inf,88,1082,12195,6.372798,1.510491,0.1,0
mondou2,SCS-3.0,primal infeasible,0.0017061233520507812,0,inf,604,916,1812,1.160333,0.187099,0.1,0
pang,SCS-3.0,primal infeasible,0.0022270679473876953,0,inf,460,805,3096,1.737743,0.178335,0.1,0
pilot4i,SCS-3.0,primal infeasible,0.004313230514526367,0,inf,1000,1322,6053,3.595569,0.27019,0.1,0
qual,SCS-3.0,primal infeasible,0.0020270347595214844,0,inf,464,787,2110,1.562144,0.173712,0.1,0
reactor,SCS-3.0,primal infeasible,0.003473043441772461,25,inf,637,955,3057,1.94025,1.263348,0.1,0
refinery,SCS-3.0,primal infeasible,0.0017170906066894531,0,inf,464,787,2090,1.296859,0.149209,0.1,0
vol1,SCS-3.0,primal infeasible,0.0017101764678955078,0,inf,464,787,2110,1.277785,0.155578,0.1,0
woodinfe,SCS-3.0,primal infeasible,0.0006330013275146484,25,inf,89,124,229,0.228532,0.1627,0.1,0
