name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS-3.0,primal infeasible,0.0037348270416259766,50,inf,407,755,1847,1.290312,2.018346,0.1,0
bgetam,SCS-3.0,primal infeasible,0.006555080413818359,50,inf,688,1088,3097,2.612453,3.632305,0.1,0
bgindy,SCS-3.0,primal infeasible,0.19573283195495605,100,inf,10116,12787,75618,86.461322,106.125834,0.1,0
bgprtr,SCS-3.0,primal infeasible,0.002446889877319336,1150,inf,34,54,98,0.171786,2.003427,0.01680502313944282,1
box1,SCS-3.0,primal infeasible,0.0027120113372802734,125,inf,261,492,912,0.588528,1.797143,370.74315377863206,1
ceria3d,SCS-3.0,primal infeasible,0.20583105087280273,1175,inf,824,3576,17602,8.610003,196.369116,0.018880602725152282,2
chemcom,SCS-3.0,primal infeasible,0.0056569576263427734,75,inf,720,1008,2286,1.69084,3.176854,0.1,0
cplex1,SCS-3.0,primal infeasible,0.1847519874572754,825,inf,3221,6226,12165,8.83025,174.876516,0.00500823621782926,4
cplex2,SCS-3.0,max_iter_reached,1.5408570766448975,100000,0.6550514744033449,221,445,1279,0.956188,1539.519679,10.24843366071592,5
ex72a,SCS-3.0,primal infeasible,0.0021669864654541016,125,inf,215,412,682,0.469336,1.450946,328.69150988842995,1
ex73a,SCS-3.0,primal infeasible,0.002454042434692383,125,inf,211,404,668,0.6184,1.564695,323.86974662389764,1
forest6,SCS-3.0,primal infeasible,0.0013248920440673828,150,inf,95,161,305,0.248764,0.83116,0.1,0
galenet,SCS-3.0,primal infeasible,0.0004253387451171875,25,inf,8,16,24,0.105259,0.083264,0.1,0
gosh,SCS-3.0,max_iter_reached,176.86939907073975,100000,-7.429786343081759,10733,14283,107722,88.873628,176750.364514,0.0018627081771337198,16
gran,SCS-3.0,primal infeasible,1.3692400455474854,4050,inf,2520,5178,22626,13.578469,1354.195653,0.1,0
greenbea,SCS-3.0,dual infeasible,1.797672986984253,2700,-inf,5405,7797,36282,29.303632,1766.590225,1e-06,6
itest2,SCS-3.0,primal infeasible,0.0004889965057373047,25,inf,4,13,21,0.123853,0.094319,0.1,0
itest6,SCS-3.0,primal infeasible,0.0004298686981201172,25,inf,8,19,28,0.109818,0.080494,0.1,0
klein1,SCS-3.0,primal infeasible,0.03460097312927246,1800,inf,54,108,750,0.418582,11.403111,1e-06,4
klein2,SCS-3.0,primal infeasible,0.005285978317260742,75,inf,54,531,4639,2.477168,2.342342,0.1,0
klein3,SCS-3.0,primal infeasible,0.00850987434387207,25,inf,88,1082,12195,5.92286,2.132803,0.1,0
mondou2,SCS-3.0,primal infeasible,0.017818927764892578,575,inf,604,916,1812,1.756233,15.744126,0.0009300430079670484,3
pang,SCS-3.0,max_iter_reached,3.6949329376220703,100000,3726.1674626438917,460,805,3096,1.585088,3692.774288,0.023666264539100524,1
pilot4i,SCS-3.0,dual infeasible,0.1792469024658203,2075,-inf,1000,1322,6053,4.090957,174.552684,1e-06,4
qual,SCS-3.0,max_iter_reached,2.8337721824645996,100000,-61071.77668313935,464,787,2110,1.251815,2832.009331,0.007596284176678256,2
reactor,SCS-3.0,max_iter_reached,3.8587138652801514,100000,-355885.6300329646,637,955,3057,1.644338,3856.562295,0.0003856954746588644,14
refinery,SCS-3.0,primal infeasible,0.2661440372467041,9150,inf,464,787,2090,1.259836,264.557254,0.00898388249063667,2
vol1,SCS-3.0,max_iter_reached,2.719043016433716,100000,-62515.978248555,464,787,2110,1.199144,2717.415293,0.008593929532237124,2
woodinfe,SCS-3.0,primal infeasible,0.0021431446075439453,225,inf,89,124,229,0.308962,1.307623,0.7262784886532151,2
