name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS-3.0,primal infeasible,0.003134012222290039,25,inf,407,755,1847,1.628347,1.073147,0.1,0
bgetam,SCS-3.0,primal infeasible,0.0055010318756103516,25,inf,688,1088,3097,2.917043,2.227704,0.1,0
bgindy,SCS-3.0,primal infeasible,0.09910178184509277,0,inf,10116,12787,75618,91.247765,4.302316,0.1,0
bgprtr,SCS-3.0,primal infeasible,0.0005171298980712891,0,inf,34,54,98,0.159435,0.069355,0.1,0
box1,SCS-3.0,primal infeasible,0.0026221275329589844,125,inf,261,492,912,0.660766,1.691242,370.74315377863206,1
ceria3d,SCS-3.0,primal infeasible,0.2140791416168213,1175,inf,824,3576,17602,8.7906,204.209214,0.018880602725152282,2
chemcom,SCS-3.0,primal infeasible,0.002935171127319336,25,inf,720,1008,2286,1.554508,1.08616,0.1,0
cplex1,SCS-3.0,primal infeasible,0.011319875717163086,0,inf,3221,6226,12165,9.144706,1.061267,0.1,0
cplex2,SCS-3.0,max_iter_reached,1.566544771194458,100000,0.6550514744033449,221,445,1279,0.681678,1565.530712,10.24843366071592,5
ex72a,SCS-3.0,primal infeasible,0.002651214599609375,125,inf,215,412,682,0.597694,1.748719,328.69150988842995,1
ex73a,SCS-3.0,primal infeasible,0.0022361278533935547,125,inf,211,404,668,0.502904,1.477971,323.86974662389764,1
forest6,SCS-3.0,primal infeasible,0.0008530616760253906,50,inf,95,161,305,0.292625,0.315348,0.1,0
galenet,SCS-3.0,primal infeasible,0.0008230209350585938,25,inf,8,16,24,0.19395,0.164965,0.1,0
gosh,SCS-3.0,primal infeasible,0.08896732330322266,0,inf,10733,14283,107722,80.226489,4.886269,0.1,0
gran,SCS-3.0,primal infeasible,0.016640186309814453,0,inf,2520,5178,22626,13.936484,1.416019,0.1,0
greenbea,SCS-3.0,primal infeasible,0.03779792785644531,0,inf,5405,7797,36282,33.402566,2.653526,0.1,0
itest2,SCS-3.0,primal infeasible,0.00047516822814941406,25,inf,4,13,21,0.114159,0.081769,0.1,0
itest6,SCS-3.0,primal infeasible,0.0004961490631103516,0,inf,8,19,28,0.140445,0.065888,0.1,0
klein1,SCS-3.0,max_iter_reached,0.648364782333374,100000,inf,54,108,750,0.402068,647.604847,1e-06,4
klein2,SCS-3.0,primal infeasible,0.0031480789184570312,25,inf,54,531,4639,1.9881,0.766236,0.1,0
klein3,SCS-3.0,primal infeasible,0.007979154586791992,25,inf,88,1082,12195,5.879501,1.672639,0.1,0
mondou2,SCS-3.0,primal infeasible,0.0015130043029785156,0,inf,604,916,1812,1.103247,0.152127,0.1,0
pang,SCS-3.0,primal infeasible,0.003139972686767578,0,inf,460,805,3096,2.397663,0.315038,0.1,0
pilot4i,SCS-3.0,primal infeasible,0.004177093505859375,0,inf,1000,1322,6053,3.165607,0.275671,0.1,0
qual,SCS-3.0,primal infeasible,0.0016279220581054688,0,inf,464,787,2110,1.14446,0.176552,0.1,0
reactor,SCS-3.0,primal infeasible,0.003983974456787109,25,inf,637,955,3057,2.282805,1.346187,0.1,0
refinery,SCS-3.0,primal infeasible,0.0016009807586669922,0,inf,464,787,2090,1.177225,0.15052,0.1,0
vol1,SCS-3.0,primal infeasible,0.0015969276428222656,0,inf,464,787,2110,1.169551,0.148218,0.1,0
woodinfe,SCS-3.0,primal infeasible,0.0008089542388916016,50,inf,89,124,229,0.276887,0.277048,0.1,0
