name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,SCS-3.0,primal infeasible,0.0027141571044921875,25,inf,407,755,1847
bgetam,SCS-3.0,primal infeasible,0.005976200103759766,25,inf,688,1088,3097
bgindy,SCS-3.0,primal infeasible,0.13909411430358887,0,inf,10116,12787,75618
bgprtr,SCS-3.0,primal infeasible,0.0019779205322265625,0,inf,34,54,98
box1,SCS-3.0,primal infeasible,0.004255056381225586,125,inf,261,492,912
ceria3d,SCS-3.0,dual infeasible,0.31044507026672363,800,-inf,824,4400,18426
chemcom,SCS-3.0,primal infeasible,0.01816391944885254,50,inf,720,1008,2286
cplex1,SCS-3.0,primal infeasible,0.014206886291503906,0,inf,3221,6226,12165
cplex2,SCS-3.0,max_iter_reached,3.0942089557647705,100000,0.6550517084916532,221,445,1279
ex72a,SCS-3.0,primal infeasible,0.0035338401794433594,125,inf,215,412,682
ex73a,SCS-3.0,primal infeasible,0.004797935485839844,125,inf,211,404,668
forest6,SCS-3.0,primal infeasible,0.0018069744110107422,75,inf,95,161,305
galenet,SCS-3.0,primal infeasible,0.0009920597076416016,25,inf,8,16,24
gosh,SCS-3.0,max_iter_reached,235.5913872718811,100000,-219.99254064270076,10733,14525,107964
gran,SCS-3.0,primal infeasible,0.01780080795288086,0,inf,2520,5178,22626
greenbea,SCS-3.0,primal infeasible,0.03123617172241211,0,inf,5405,7797,36282
itest2,SCS-3.0,primal infeasible,0.0011420249938964844,25,inf,4,13,21
itest6,SCS-3.0,primal infeasible,0.0006279945373535156,0,inf,8,19,28
klein1,SCS-3.0,max_iter_reached,0.8616311550140381,100000,inf,54,108,750
klein2,SCS-3.0,primal infeasible,0.003017902374267578,25,inf,54,531,4639
klein3,SCS-3.0,primal infeasible,0.007780790328979492,25,inf,88,1082,12195
mondou2,SCS-3.0,primal infeasible,0.0021200180053710938,0,inf,604,916,1812
pang,SCS-3.0,primal infeasible,0.0024640560150146484,0,inf,460,821,3112
pilot4i,SCS-3.0,dual infeasible,0.1785283088684082,1875,-inf,1000,1410,6141
qual,SCS-3.0,primal infeasible,0.0015597343444824219,0,inf,464,787,2110
reactor,SCS-3.0,primal infeasible,0.017910003662109375,225,inf,637,955,3057
refinery,SCS-3.0,primal infeasible,0.0013990402221679688,0,inf,464,787,2090
vol1,SCS-3.0,primal infeasible,0.0017561912536621094,0,inf,464,787,2110
woodinfe,SCS-3.0,primal infeasible,0.0013508796691894531,100,inf,89,124,229
