name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,SCS,primal infeasible,0.00486302375793457,50,inf,407,755,1847
bgetam,SCS,primal infeasible,0.009924173355102539,50,inf,688,1088,3097
bgindy,SCS,dual infeasible,0.1350870132446289,0,-inf,10116,12787,75618
bgprtr,SCS,dual infeasible,0.0008492469787597656,0,-inf,34,54,98
box1,SCS,primal infeasible,0.004860639572143555,125,inf,261,492,912
ceria3d,SCS,dual infeasible,0.28035402297973633,850,-inf,824,4400,18426
chemcom,SCS,primal infeasible,0.01310586929321289,150,inf,720,1008,2286
cplex1,SCS,primal infeasible,0.01242685317993164,0,inf,3221,6226,12165
cplex2,SCS,max_iter_reached,27.59754705429077,100000,0.6550518851335448,221,445,1279
ex72a,SCS,primal infeasible,0.0040090084075927734,125,inf,215,412,682
ex73a,SCS,primal infeasible,0.003969430923461914,125,inf,211,404,668
forest6,SCS,primal infeasible,0.00217437744140625,125,inf,95,161,305
galenet,SCS,primal infeasible,0.0008220672607421875,25,inf,8,16,24
gosh,SCS,max_iter_reached,261.2650611400604,100000,-288.70273394167424,10733,14525,107964
gran,SCS,primal infeasible,2.4835762977600098,4550,inf,2520,5178,22626
greenbea,SCS,dual infeasible,0.0927588939666748,50,-inf,5405,7797,36282
itest2,SCS,primal infeasible,0.0007236003875732422,25,inf,4,13,21
itest6,SCS,primal infeasible,0.0008187294006347656,25,inf,8,19,28
klein1,SCS,primal infeasible,0.018649578094482422,1825,inf,54,108,750
klein2,SCS,primal infeasible,0.005155801773071289,50,inf,54,531,4639
klein3,SCS,primal infeasible,0.012363910675048828,50,inf,88,1082,12195
mondou2,SCS,primal infeasible,0.002067089080810547,0,inf,604,916,1812
pang,SCS,primal infeasible,0.029992103576660156,300,inf,460,821,3112
pilot4i,SCS,max_iter_reached,12.048720121383667,100000,-15731.301375417112,1000,1410,6141
qual,SCS,max_iter_reached,5.072081089019775,100000,-60740.095416361895,464,787,2110
reactor,SCS,dual infeasible,0.0068929195404052734,50,-inf,637,955,3057
refinery,SCS,primal infeasible,0.3447606563568115,6725,inf,464,787,2090
vol1,SCS,max_iter_reached,5.353593826293945,100000,-62061.37729984132,464,787,2110
woodinfe,SCS,primal infeasible,0.003751516342163086,225,inf,89,124,229
