name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,SCS2,primal infeasible,0.005632638931274414,50,inf,407,755,1847
bgetam,SCS2,primal infeasible,0.012342214584350586,50,inf,688,1088,3097
bgindy,SCS2,dual infeasible,0.16165757179260254,0,-inf,10116,12787,75618
bgprtr,SCS2,dual infeasible,0.0009839534759521484,0,-inf,34,54,98
box1,SCS2,primal infeasible,0.005252838134765625,125,inf,261,492,912
ceria3d,SCS2,dual infeasible,0.3743419647216797,850,-inf,824,4400,18426
chemcom,SCS2,primal infeasible,0.017631053924560547,150,inf,720,1008,2286
cplex1,SCS2,primal infeasible,0.013913869857788086,0,inf,3221,6226,12165
cplex2,SCS2,max_iter_reached,10.223949432373047,100000,0.6550518851335448,221,445,1279
ex72a,SCS2,primal infeasible,0.0047070980072021484,125,inf,215,412,682
ex73a,SCS2,primal infeasible,0.004502534866333008,125,inf,211,404,668
forest6,SCS2,primal infeasible,0.002517223358154297,125,inf,95,161,305
galenet,SCS2,primal infeasible,0.001066446304321289,25,inf,8,16,24
gosh,SCS2,max_iter_reached,448.7987689971924,100000,-288.70226373356445,10733,14525,107964
gran,SCS2,primal infeasible,4.982606649398804,4550,inf,2520,5178,22626
greenbea,SCS2,dual infeasible,0.1600649356842041,50,-inf,5405,7797,36282
itest2,SCS2,primal infeasible,0.001627206802368164,25,inf,4,13,21
itest6,SCS2,primal infeasible,0.0016481876373291016,25,inf,8,19,28
klein1,SCS2,primal infeasible,0.02372145652770996,1825,inf,54,108,750
klein2,SCS2,primal infeasible,0.006371259689331055,50,inf,54,531,4639
klein3,SCS2,primal infeasible,0.015474557876586914,50,inf,88,1082,12195
mondou2,SCS2,primal infeasible,0.0027990341186523438,0,inf,604,916,1812
pang,SCS2,primal infeasible,0.03167414665222168,300,inf,460,821,3112
pilot4i,SCS2,max_iter_reached,15.018906116485596,100000,-15731.28176991158,1000,1410,6141
qual,SCS2,max_iter_reached,7.830416440963745,100000,-60740.0954095743,464,787,2110
reactor,SCS2,dual infeasible,0.009975433349609375,50,-inf,637,955,3057
refinery,SCS2,primal infeasible,0.5171117782592773,6725,inf,464,787,2090
vol1,SCS2,max_iter_reached,7.668634653091431,100000,-62061.37730080219,464,787,2110
woodinfe,SCS2,primal infeasible,0.0038390159606933594,225,inf,89,124,229
