name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,SCS_AA,primal infeasible,0.007033824920654297,50,inf,407,755,1847
bgetam,SCS_AA,primal infeasible,0.011837005615234375,50,inf,688,1088,3097
bgindy,SCS_AA,dual infeasible,0.18459653854370117,0,-inf,10116,12787,75618
bgprtr,SCS_AA,dual infeasible,0.0012378692626953125,0,-inf,34,54,98
box1,SCS_AA,primal infeasible,0.08769679069519043,125,inf,261,492,912
ceria3d,SCS_AA,max_iter_reached,59.97364068031311,100000,-0.9935945726930807,824,4400,18426
chemcom,SCS_AA,primal infeasible,0.017888307571411133,150,inf,720,1008,2286
cplex1,SCS_AA,primal infeasible,0.015167474746704102,0,inf,3221,6226,12165
cplex2,SCS_AA,max_iter_reached,4.718940496444702,100000,0.6550433320551047,221,445,1279
ex72a,SCS_AA,primal infeasible,0.005783796310424805,125,inf,215,412,682
ex73a,SCS_AA,primal infeasible,0.005511045455932617,125,inf,211,404,668
forest6,SCS_AA,primal infeasible,0.003457307815551758,150,inf,95,161,305
galenet,SCS_AA,primal infeasible,0.0011467933654785156,25,inf,8,16,24
gosh,SCS_AA,max_iter_reached,464.85276794433594,100000,-1080.43774976371,10733,14525,107964
gran,SCS_AA,primal infeasible,4.172574996948242,3725,inf,2520,5178,22626
greenbea,SCS_AA,dual infeasible,0.13838815689086914,50,-inf,5405,7797,36282
itest2,SCS_AA,primal infeasible,0.0017154216766357422,25,inf,4,13,21
itest6,SCS_AA,primal infeasible,0.0018525123596191406,25,inf,8,19,28
klein1,SCS_AA,max_iter_reached,2.112076997756958,100000,inf,54,108,750
klein2,SCS_AA,primal infeasible,0.006619691848754883,50,inf,54,531,4639
klein3,SCS_AA,primal infeasible,0.015445947647094727,50,inf,88,1082,12195
mondou2,SCS_AA,primal infeasible,0.0027496814727783203,0,inf,604,916,1812
pang,SCS_AA,primal infeasible,0.03174233436584473,300,inf,460,821,3112
pilot4i,SCS_AA,max_iter_reached,23.21171474456787,100000,-1195737.1874593073,1000,1410,6141
qual,SCS_AA,max_iter_reached,9.685180425643921,100000,-66046.05341072801,464,787,2110
reactor,SCS_AA,dual infeasible,0.010256767272949219,50,-inf,637,955,3057
refinery,SCS_AA,max_iter_reached,10.479785203933716,100000,-62613.19178000655,464,787,2090
vol1,SCS_AA,max_iter_reached,10.092756986618042,100000,-66400.79555489679,464,787,2110
woodinfe,SCS_AA,primal infeasible,0.005049228668212891,225,inf,89,124,229
