name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS_ALT,primal infeasible,0.0034329891204833984,50,inf,407,755,1847,1.411248,1.725297,0.1,0
bgetam,SCS_ALT,primal infeasible,0.006938934326171875,50,inf,688,1088,3097,2.57433,4.004157,0.1,0
bgindy,SCS_ALT,dual infeasible,0.13624000549316406,0,-inf,10116,12787,75618,127.211791,4.917003,0.1,0
bgprtr,SCS_ALT,primal infeasible,0.003470182418823242,1250,inf,34,54,98,0.248111,2.885812,0.016158089746658645,1
box1,SCS_ALT,primal infeasible,0.0031461715698242188,125,inf,261,492,912,0.825748,1.924846,385.9536229446684,1
ceria3d,SCS_ALT,primal infeasible,0.32015514373779297,1300,inf,824,3576,17602,8.22665,310.779361,0.01592474619681724,2
chemcom,SCS_ALT,primal infeasible,0.007093191146850586,75,inf,720,1008,2286,1.941109,4.686405,0.1,0
cplex1,SCS_ALT,primal infeasible,0.014167070388793945,0,inf,3221,6226,12165,11.451728,1.267051,0.1,0
cplex2,SCS_ALT,solver_error,1.630242109298706,-1,,221,445,1279,0.984233,1628.813305,3.29e-321,140380485038472
ex72a,SCS_ALT,primal infeasible,0.002844095230102539,125,inf,215,412,682,0.696125,1.859452,342.17550782032055,1
ex73a,SCS_ALT,primal infeasible,0.0023539066314697266,125,inf,211,404,668,0.475093,1.613636,337.10294305878165,1
forest6,SCS_ALT,primal infeasible,0.0015690326690673828,150,inf,95,161,305,0.385508,0.912703,0.1,0
galenet,SCS_ALT,primal infeasible,0.0005397796630859375,25,inf,8,16,24,0.125836,0.094639,0.1,0
gosh,SCS_ALT,solver_error,154.44139504432678,-1,,10733,14283,107722,80.37195,154374.233473,3.29e-321,140380485038472
gran,SCS_ALT,primal infeasible,1.6850109100341797,4375,inf,2520,5178,22626,17.197838,1666.404213,0.1,0
greenbea,SCS_ALT,dual infeasible,0.3180122375488281,375,-inf,5405,7797,36282,30.762997,285.643638,0.0003962672285433394,3
itest2,SCS_ALT,primal infeasible,0.009676933288574219,25,inf,4,13,21,9.247034,0.11481,0.1,0
itest6,SCS_ALT,primal infeasible,0.0004878044128417969,25,inf,8,19,28,0.120573,0.102295,0.1,0
klein1,SCS_ALT,primal infeasible,0.03585028648376465,1800,inf,54,108,750,0.39917,11.264677,1e-06,4
klein2,SCS_ALT,primal infeasible,0.004058837890625,50,inf,54,531,4639,2.213345,1.44128,0.1,0
klein3,SCS_ALT,primal infeasible,0.008348941802978516,25,inf,88,1082,12195,6.17335,1.739432,0.1,0
mondou2,SCS_ALT,primal infeasible,0.02243781089782715,0,inf,604,916,1812,1.128082,0.264385,0.1,0
pang,SCS_ALT,solver_error,3.6832470893859863,-1,,460,805,3096,1.663271,3681.34918,3.29e-321,140380485038472
pilot4i,SCS_ALT,solver_error,7.615943908691406,-1,,1000,1322,6053,2.964249,7612.730063,3.29e-321,140380485038472
qual,SCS_ALT,solver_error,3.118032217025757,-1,,464,787,2110,1.605214,3116.140383,3.29e-321,140380485038472
reactor,SCS_ALT,dual infeasible,0.0062029361724853516,75,-inf,637,955,3057,1.69973,4.19072,0.1,0
refinery,SCS_ALT,primal infeasible,0.2324202060699463,7800,inf,464,787,2090,1.093104,231.02122,0.010569657412148598,2
vol1,SCS_ALT,solver_error,3.1200900077819824,-1,,464,787,2110,1.106263,3118.703173,3.29e-321,140380485038472
woodinfe,SCS_ALT,primal infeasible,0.0016808509826660156,250,inf,89,124,229,0.246328,1.178384,0.5167189142157379,2
