name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,qpOASES,primal infeasible,3.017160177230835,913,,407,755,1847
bgetam,qpOASES,max_iter_reached,9.990755081176758,1182,,688,1088,3097
bgindy,qpOASES,max_iter_reached,8.735718965530396,2,,10116,12787,75618
bgprtr,qpOASES,primal infeasible,0.03627276420593262,111,,34,54,98
box1,qpOASES,primal infeasible,0.23450899124145508,277,,261,492,912
ceria3d,qpOASES,max_iter_reached,9.98972201347351,311,,824,4400,18426
chemcom,qpOASES,max_iter_reached,9.989774942398071,1131,,720,1008,2286
cplex1,qpOASES,max_iter_reached,9.808574914932251,45,,3221,6226,12165
cplex2,qpOASES,optimal,1.025589942932129,1137,0.6570480159920806,221,445,1279
ex72a,qpOASES,primal infeasible,0.29559898376464844,412,,215,412,682
ex73a,qpOASES,primal infeasible,0.24991488456726074,360,,211,404,668
forest6,qpOASES,primal infeasible,0.0538787841796875,228,,95,161,305
galenet,qpOASES,primal infeasible,0.00031495094299316406,15,,8,16,24
gosh,qpOASES,max_iter_reached,9.451373815536499,1,,10733,14525,107964
gran,qpOASES,max_iter_reached,9.927731037139893,84,,2520,5178,22626
greenbea,qpOASES,max_iter_reached,9.676138877868652,20,,5405,7797,36282
itest2,qpOASES,primal infeasible,0.0002181529998779297,10,,4,13,21
itest6,qpOASES,primal infeasible,0.0003249645233154297,12,,8,19,28
klein1,qpOASES,primal infeasible,0.03940129280090332,216,,54,108,750
klein2,qpOASES,primal infeasible,0.14056110382080078,485,,54,531,4639
klein3,qpOASES,primal infeasible,0.9523458480834961,1335,,88,1082,12195
mondou2,qpOASES,max_iter_reached,9.993000030517578,891,,604,916,1812
pang,qpOASES,max_iter_reached,9.993135929107666,1432,,460,821,3112
pilot4i,qpOASES,max_iter_reached,9.990700006484985,679,,1000,1410,6141
qual,qpOASES,max_iter_reached,9.993381977081299,1191,,464,787,2110
reactor,qpOASES,max_iter_reached,9.997009038925171,989,,637,955,3057
refinery,qpOASES,primal infeasible,4.8981921672821045,856,,464,787,2090
vol1,qpOASES,max_iter_reached,9.99851393699646,1332,,464,787,2110
woodinfe,qpOASES,primal infeasible,0.05399823188781738,189,,89,124,229
