name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
bgdbg1,OSQP,primal infeasible,0.006947040557861328,375,inf,407,755,1847,0,0.000614845,0.006071939,0.0,0,0.28272968072487065
bgetam,OSQP,primal infeasible,0.11567187309265137,2050,inf,688,1088,3097,0,0.001637846,0.113786637,0.0,0,0.4140723241438333
bgindy,OSQP,primal infeasible,7.618537902832031,11525,inf,10116,12787,75618,0,0.068419397,7.549143392,0.0,8,0.04822768954264071
bgprtr,OSQP,primal infeasible,0.0005879402160644531,275,inf,34,54,98,0,3.4698e-05,0.000319082,0.0,1,0.010709703064738283
box1,OSQP,primal infeasible,0.0009570121765136719,50,inf,261,492,912,0,0.000234567,0.00046918,0.0,1,216.98595461163276
ceria3d,OSQP,max_iter_reached,10.500826120376587,100000,-0.9971886627536881,824,3576,17602,0,0.004250091,10.49616893,0.0,54,0.014827779299568194
chemcom,OSQP,primal infeasible,0.01587200164794922,550,inf,720,1008,2286,0,0.00062661,0.014993817,0.0,3,1.0931780328037344
cplex1,OSQP,max_iter_reached,10.112005233764648,100000,-6824435997214.391,3221,6226,12165,0,0.005920564,10.105503785,0.0,4,1e-06
cplex2,OSQP,max_iter_reached,0.8461940288543701,100000,0.6553062587040506,221,445,1279,0,0.000436741,0.845508155,0.0,68,63827.65583857299
ex72a,OSQP,primal infeasible,0.004335641860961914,650,inf,215,412,682,0,0.000168944,0.003957275,0.0,4,248.23799987199143
ex73a,OSQP,primal infeasible,0.003058910369873047,425,inf,211,404,668,0,0.000177026,0.002632171,0.0,4,378.53893336723615
forest6,OSQP,primal infeasible,0.012923955917358398,4875,inf,95,161,305,0,8.2333e-05,0.012628166,0.0,22,0.015765373086937488
galenet,OSQP,primal infeasible,0.0002899169921875,75,inf,8,16,24,0,2.4404e-05,4.5192e-05,0.0,0,0.043201491137425885
gosh,OSQP,max_iter_reached,101.91891098022461,100000,-13.03984939488658,10733,14283,107722,0,0.055040728,101.861982558,0.0,9,0.016584903567120557
gran,OSQP,primal infeasible,5.7388341426849365,22375,inf,2520,5178,22626,0,0.00763096,5.730712739,0.0,9,0.6134043933394083
greenbea,OSQP,max_iter_reached,46.24671006202698,100000,-72106632.65760551,5405,7797,36282,0,0.022080481,46.22362834,0.0,5,2.149167517096546e-06
itest2,OSQP,primal infeasible,0.00027370452880859375,75,inf,4,13,21,0,1.6249e-05,5.3168e-05,0.0,0,0.07125202726040997
itest6,OSQP,primal infeasible,0.00026702880859375,50,inf,8,19,28,0,1.858e-05,3.6288e-05,0.0,0,0.17617645518165959
klein1,OSQP,max_iter_reached,0.5700511932373047,100000,0.0,54,108,750,0,0.000206503,0.569598987,0.0,5,1e-06
klein2,OSQP,max_iter_reached,1.5188031196594238,100000,0.0,54,531,4639,0,0.001288791,1.517216436,0.0,5,1e-06
klein3,OSQP,max_iter_reached,4.183678150177002,100000,0.0,88,1082,12195,0,0.004070199,4.179145099,0.0,4,1e-06
mondou2,OSQP,primal infeasible,0.01815009117126465,1200,inf,604,916,1812,0,0.000387097,0.017529987,0.0,6,0.04560500760001089
pang,OSQP,dual infeasible,0.07793211936950684,3225,-inf,460,805,3096,0,0.000901141,0.076786784,0.0,4,0.17921198892294457
pilot4i,OSQP,max_iter_reached,4.802867889404297,100000,-4117.858529610061,1000,1322,6053,0,0.001563596,4.80093085,0.0,12,4.922027378790745e-05
qual,OSQP,max_iter_reached,1.7416660785675049,100000,-61166.64516939403,464,787,2110,0,0.000692505,1.740622928,0.0,3,0.005360213107240318
reactor,OSQP,max_iter_reached,2.4996471405029297,100000,-358310.1702060991,637,955,3057,0,0.000969044,2.498341203,0.0,4,2.835576582503671e-05
refinery,OSQP,primal infeasible,0.8520557880401611,49575,inf,464,787,2090,0,0.000519329,0.851291986,0.0,3,0.017695165999363365
vol1,OSQP,max_iter_reached,1.8689570426940918,100000,-62428.676069427114,464,787,2110,0,0.000661045,1.868026853,0.0,2,0.003532215417841133
woodinfe,OSQP,primal infeasible,0.000978231430053711,350,inf,89,124,229,0,7.7071e-05,0.000687705,0.0,0,0.3226816527802008
