name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS-3.0,primal infeasible,0.003860950469970703,75,inf,407,755,1847,1.201199,2.345269,0.1,0
bgetam,SCS-3.0,primal infeasible,0.008067131042480469,50,inf,688,1088,3097,3.220283,4.49481,0.1,0
bgindy,SCS-3.0,dual infeasible,0.08840584754943848,0,-inf,10116,12787,75618,81.812968,3.940397,0.1,0
bgprtr,SCS-3.0,primal infeasible,0.002004861831665039,850,inf,34,54,98,0.15824,1.626221,0.025224122336947926,1
box1,SCS-3.0,primal infeasible,0.0027229785919189453,125,inf,261,492,912,0.667447,1.817012,300.6881287818505,1
ceria3d,SCS-3.0,primal infeasible,0.15728187561035156,900,inf,824,3576,17602,7.993145,148.054622,0.1,0
chemcom,SCS-3.0,primal infeasible,0.0070362091064453125,75,inf,720,1008,2286,1.983121,4.205398,0.1,0
cplex1,SCS-3.0,primal infeasible,0.011420726776123047,0,inf,3221,6226,12165,9.52066,1.162021,0.1,0
cplex2,SCS-3.0,max_iter_reached,1.5151450634002686,100000,0.6550517145275637,221,445,1279,0.718508,1514.178162,15.287810251467464,4
ex72a,SCS-3.0,primal infeasible,0.002769947052001953,125,inf,215,412,682,0.556405,1.968677,280.4481330301947,1
ex73a,SCS-3.0,primal infeasible,0.0024738311767578125,125,inf,211,404,668,0.524863,1.691359,279.9264614104522,1
forest6,SCS-3.0,primal infeasible,0.0013589859008789062,150,inf,95,161,305,0.271912,0.872338,0.1,0
galenet,SCS-3.0,primal infeasible,0.0004830360412597656,25,inf,8,16,24,0.110652,0.145591,0.1,0
gosh,SCS-3.0,max_iter_reached,148.53665900230408,100000,-11.944253552686092,10733,14283,107722,75.492566,148455.461691,0.0012530720045092227,2
gran,SCS-3.0,primal infeasible,2.528653144836426,7925,inf,2520,5178,22626,15.148037,2512.236203,0.1,0
greenbea,SCS-3.0,dual infeasible,1.3282129764556885,2075,-inf,5405,7797,36282,33.186475,1293.490419,1e-06,6
itest2,SCS-3.0,primal infeasible,0.000392913818359375,25,inf,4,13,21,0.102024,0.079517,0.1,0
itest6,SCS-3.0,primal infeasible,0.0005059242248535156,25,inf,8,19,28,0.123771,0.084506,0.1,0
klein1,SCS-3.0,primal infeasible,0.018092870712280273,2650,inf,54,108,750,0.434688,17.429688,1e-06,4
klein2,SCS-3.0,primal infeasible,0.0039408206939697266,50,inf,54,531,4639,2.195166,1.440282,0.1,0
klein3,SCS-3.0,primal infeasible,0.008301973342895508,25,inf,88,1082,12195,6.156722,1.787973,0.1,0
mondou2,SCS-3.0,primal infeasible,0.0017311573028564453,0,inf,604,916,1812,1.269721,0.21659,0.1,0
pang,SCS-3.0,max_iter_reached,4.0142621994018555,100000,3520.8207196590774,460,805,3096,1.817441,4012.054225,0.023532020846352655,1
pilot4i,SCS-3.0,max_iter_reached,7.240462779998779,100000,-2601.0844609247315,1000,1322,6053,3.002266,7237.025712,1e-06,4
qual,SCS-3.0,max_iter_reached,3.1821210384368896,100000,-60588.484854518145,464,787,2110,1.277301,3180.544046,0.029126036254022315,1
reactor,SCS-3.0,dual infeasible,0.0039522647857666016,25,-inf,637,955,3057,1.990348,1.613338,0.1,0
refinery,SCS-3.0,primal infeasible,0.1371603012084961,4450,inf,464,787,2090,1.202668,135.684233,0.029261907464118553,1
vol1,SCS-3.0,max_iter_reached,3.1693639755249023,100000,-62028.548189467,464,787,2110,1.261586,3167.812467,0.027053614188038057,1
woodinfe,SCS-3.0,primal infeasible,0.001483917236328125,225,inf,89,124,229,0.220918,1.039054,0.5316327026492924,2
