name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
bgdbg1,SCS_AA1,primal infeasible,0.004180908203125,75,inf,407,755,1847,1.284104,2.529808,0.1,0
bgetam,SCS_AA1,primal infeasible,0.008527755737304688,50,inf,688,1088,3097,3.613851,4.41714,0.1,0
bgindy,SCS_AA1,dual infeasible,0.09430885314941406,0,-inf,10116,12787,75618,86.813733,4.664802,0.1,0
bgprtr,SCS_AA1,primal infeasible,0.0026519298553466797,975,inf,34,54,98,0.212096,2.152132,0.025224122336947926,1
box1,SCS_AA1,primal infeasible,0.003078937530517578,125,inf,261,492,912,0.696232,2.09111,300.6881287818505,1
ceria3d,SCS_AA1,primal infeasible,0.17566227912902832,925,inf,824,3576,17602,7.949399,166.570567,0.1,0
chemcom,SCS_AA1,primal infeasible,0.005574941635131836,75,inf,720,1008,2286,1.444409,3.864835,0.1,0
cplex1,SCS_AA1,primal infeasible,0.011607885360717773,0,inf,3221,6226,12165,8.965204,1.441863,0.1,0
cplex2,SCS_AA1,max_iter_reached,1.5708589553833008,100000,0.6550517141734755,221,445,1279,0.708655,1569.835138,15.265914678481433,4
ex72a,SCS_AA1,primal infeasible,0.0024590492248535156,125,inf,215,412,682,0.498588,1.724271,280.4481330301947,1
ex73a,SCS_AA1,primal infeasible,0.0022361278533935547,125,inf,211,404,668,0.465361,1.551054,279.9264614104522,1
forest6,SCS_AA1,primal infeasible,0.0014247894287109375,150,inf,95,161,305,0.27938,0.902265,0.1,0
galenet,SCS_AA1,primal infeasible,0.0004260540008544922,25,inf,8,16,24,0.117315,0.091492,0.1,0
gosh,SCS_AA1,max_iter_reached,172.88751101493835,100000,-11.988023324681894,10733,14283,107722,75.215578,172809.307668,0.0012530720045092227,2
gran,SCS_AA1,primal infeasible,2.8960320949554443,7975,inf,2520,5178,22626,15.08027,2879.535277,0.1,0
greenbea,SCS_AA1,dual infeasible,1.5382239818572998,2075,-inf,5405,7797,36282,32.936702,1503.435585,1e-06,6
itest2,SCS_AA1,primal infeasible,0.0004668235778808594,25,inf,4,13,21,0.145309,0.089496,0.1,0
itest6,SCS_AA1,primal infeasible,0.0005359649658203125,25,inf,8,19,28,0.116487,0.128535,0.1,0
klein1,SCS_AA1,primal infeasible,0.01939702033996582,2675,inf,54,108,750,0.474766,18.662268,1e-06,4
klein2,SCS_AA1,primal infeasible,0.0037338733673095703,50,inf,54,531,4639,1.982393,1.410508,0.1,0
klein3,SCS_AA1,primal infeasible,0.008867979049682617,25,inf,88,1082,12195,6.186106,2.179451,0.1,0
mondou2,SCS_AA1,primal infeasible,0.0016770362854003906,0,inf,604,916,1812,1.275539,0.154595,0.1,0
pang,SCS_AA1,max_iter_reached,4.5959389209747314,100000,3512.3063389154627,460,805,3096,1.889762,4593.78983,0.023532020846352655,1
pilot4i,SCS_AA1,max_iter_reached,8.004932880401611,100000,-2628.472556593608,1000,1322,6053,3.087129,8001.470271,1e-06,4
qual,SCS_AA1,max_iter_reached,3.375690221786499,100000,-60586.47380065415,464,787,2110,1.449941,3373.976056,0.029126036254022315,1
reactor,SCS_AA1,dual infeasible,0.004322052001953125,25,-inf,637,955,3057,1.889893,2.024555,0.1,0
refinery,SCS_AA1,primal infeasible,0.15047907829284668,4500,inf,464,787,2090,1.232454,148.979901,0.029261907464118553,1
vol1,SCS_AA1,max_iter_reached,3.3793210983276367,100000,-62030.43016629593,464,787,2110,1.144378,3377.924544,0.027053614188038057,1
woodinfe,SCS_AA1,primal infeasible,0.0014960765838623047,225,inf,89,124,229,0.226266,1.050457,0.5316327026492924,2
