name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,COSMO,max_iter_reached,10.915641069412231,100000,20.41308205196006,407,755,1847
bgetam,COSMO,max_iter_reached,14.9755539894104,100000,-341.5305210577699,688,1088,3097
bgindy,COSMO,max_iter_reached,206.46750402450562,100000,34902651.74144337,10116,12787,75618
bgprtr,COSMO,max_iter_reached,2.622981071472168,100000,7151594.952640424,34,54,98
box1,COSMO,primal infeasible,0.10897183418273926,2000,inf,261,492,912
ceria3d,COSMO,max_iter_reached,27.52280902862549,100000,-0.9984381979675901,824,4400,18426
chemcom,COSMO,max_iter_reached,8.60368800163269,100000,41388.5962327583,720,1008,2286
cplex1,COSMO,max_iter_reached,25.561690092086792,100000,-82821942.83377685,3221,6226,12165
cplex2,COSMO,max_iter_reached,3.8956069946289062,100000,0.6550515472025699,221,445,1279
ex72a,COSMO,primal infeasible,0.23850011825561523,7800,inf,215,412,682
ex73a,COSMO,primal infeasible,0.2051389217376709,6200,inf,211,404,668
forest6,COSMO,primal infeasible,0.03446388244628906,800,inf,95,161,305
galenet,COSMO,max_iter_reached,1.897233009338379,100000,0.0,8,16,24
gosh,COSMO,max_iter_reached,159.67997789382935,100000,-5.402117973367922,10733,14525,107964
gran,COSMO,max_iter_reached,32.13448190689087,100000,-5826.947772685007,2520,5178,22626
greenbea,COSMO,max_iter_reached,59.00663089752197,100000,-67560717.69503137,5405,7797,36282
itest2,COSMO,max_iter_reached,1.3064780235290527,100000,0.0,4,13,21
itest6,COSMO,max_iter_reached,1.3642430305480957,100000,64002.34909133577,8,19,28
klein1,COSMO,max_iter_reached,1.8716681003570557,100000,0.0,54,108,750
klein2,COSMO,max_iter_reached,3.4070608615875244,100000,0.0,54,531,4639
klein3,COSMO,max_iter_reached,6.406530141830444,100000,0.0,88,1082,12195
mondou2,COSMO,dual infeasible,0.007616996765136719,100,-inf,604,916,1812
pang,COSMO,max_iter_reached,5.01411509513855,100000,26884.616311431237,460,821,3112
pilot4i,COSMO,max_iter_reached,7.3618550300598145,100000,4.9238746680304496e-06,1000,1410,6141
qual,COSMO,max_iter_reached,3.8515970706939697,100000,-60457.75738928762,464,787,2110
reactor,COSMO,max_iter_reached,4.676422119140625,100000,-338296.0806392899,637,955,3057
refinery,COSMO,primal infeasible,0.5815029144287109,15100,inf,464,787,2090
vol1,COSMO,max_iter_reached,5.08478307723999,100000,-61873.05474305187,464,787,2110
woodinfe,COSMO,primal infeasible,0.007818937301635742,300,inf,89,124,229
