name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
bgdbg1,OSQP,primal infeasible,0.008990764617919922,325,inf,407,755,1847,0,0.000512679,0.007937019,0.0,0
bgetam,OSQP,primal infeasible,0.3122403621673584,5125,inf,688,1088,3097,0,0.001922292,0.309806456,0.0,0
bgindy,OSQP,primal infeasible,5.077703952789307,5375,inf,10116,12787,75618,0,0.074635138,5.002089351,0.0,0
bgprtr,OSQP,primal infeasible,0.005950450897216797,4725,inf,34,54,98,0,4.6707e-05,0.00551997,0.0,0
box1,OSQP,primal infeasible,0.019499778747558594,1975,inf,261,492,912,0,0.000269417,0.018763759,0.0,0
ceria3d,OSQP,primal infeasible,12.401521682739258,94750,inf,824,4400,18426,0,0.004879292,12.395940547,0.0,0
chemcom,OSQP,primal infeasible,0.016234636306762695,500,inf,720,1008,2286,0,0.000732118,0.014973787,0.0,0
cplex1,OSQP,primal infeasible,3.32084059715271,26325,inf,3221,6226,12165,0,0.005856831,3.314352306,0.0,0
cplex2,OSQP,optimal,0.007457733154296875,625,0.6557968143756134,221,445,1279,0,0.000395701,0.006522586,0.0,0
ex72a,OSQP,primal infeasible,0.06483268737792969,7800,inf,215,412,682,0,0.000215931,0.064186217,0.0,0
ex73a,OSQP,primal infeasible,0.050866127014160156,6125,inf,211,404,668,0,0.000211938,0.050196601,0.0,0
forest6,OSQP,primal infeasible,0.003052949905395508,725,inf,95,161,305,0,9.8251e-05,0.002486715,0.0,0
galenet,OSQP,primal infeasible,0.0005245208740234375,50,inf,8,16,24,0,3.4336e-05,6.6577e-05,0.0,0
gosh,OSQP,solver_error,138.82889604568481,100000,-1.0644293203954813,10733,14525,107964,0,0.093251157,138.734298722,0.0,0
gran,OSQP,max_iter_reached,27.540022611618042,100000,-5826.947773168767,2520,5178,22626,0,0.009042799,27.530310385,0.0,0
greenbea,OSQP,max_iter_reached,52.1968719959259,100000,-67560717.69503134,5405,7797,36282,0,0.023590711,52.17257003,0.0,0
itest2,OSQP,primal infeasible,0.00046825408935546875,75,inf,4,13,21,0,2.8216e-05,6.3075e-05,0.0,0
itest6,OSQP,primal infeasible,0.00045871734619140625,25,inf,8,19,28,0,2.9434e-05,5.2632e-05,0.0,0
klein1,OSQP,max_iter_reached,1.7238984107971191,100000,0.0,54,108,750,0,0.000202877,1.7232726299999999,0.0,0
klein2,OSQP,max_iter_reached,1.8964807987213135,100000,0.0,54,531,4639,0,0.001201882,1.89482287,0.0,0
klein3,OSQP,max_iter_reached,4.921762943267822,100000,0.0,88,1082,12195,0,0.003883576,4.917328905,0.0,0
mondou2,OSQP,primal infeasible,0.0052950382232666016,250,inf,604,916,1812,0,0.000457168,0.004369912,0.0,0
pang,OSQP,dual infeasible,0.0022020339965820312,25,-inf,460,821,3112,0,0.00087287,0.000856061,0.0,0
pilot4i,OSQP,max_iter_reached,5.366638898849487,100000,4.923866745438871e-06,1000,1410,6141,0,0.001677133,5.364400972,0.0,0
qual,OSQP,max_iter_reached,2.0713043212890625,100000,-60457.7573892852,464,787,2110,0,0.000563178,2.070249363,0.0,0
reactor,OSQP,max_iter_reached,2.8228137493133545,100000,-338296.08063929237,637,955,3057,0,0.000920761,2.821419074,0.0,0
refinery,OSQP,primal infeasible,0.29874634742736816,14875,inf,464,787,2090,0,0.000529862,0.29772958,0.0,0
vol1,OSQP,max_iter_reached,4.60113525390625,100000,-61873.05474305338,464,787,2110,0,0.000556554,4.600111979,0.0,0
woodinfe,OSQP,primal infeasible,0.001171112060546875,250,inf,89,124,229,0,7.998e-05,0.00067543,0.0,0
