name,solver,status,run_time,iter,obj_val,n,m,N
bgdbg1,SCS,primal infeasible,0.004643440246582031,72,inf,407,755,1847
bgetam,SCS,primal infeasible,0.022455453872680664,200,inf,688,1088,3097
bgindy,SCS,primal infeasible,0.10306668281555176,0,inf,10116,12787,75618
bgprtr,SCS,dual infeasible,0.0008013248443603516,0,-inf,34,54,98
box1,SCS,primal infeasible,0.0031349658966064453,89,inf,261,492,912
ceria3d,SCS,dual infeasible,0.31310105323791504,1250,-inf,824,4400,18426
chemcom,SCS,primal infeasible,0.018297910690307617,275,inf,720,1008,2286
cplex1,SCS,primal infeasible,0.00841212272644043,0,inf,3221,6226,12165
cplex2,SCS,optimal,0.016644954681396484,675,0.6544963140370926,221,445,1279
ex72a,SCS,primal infeasible,0.003184080123901367,114,inf,215,412,682
ex73a,SCS,primal infeasible,0.0023479461669921875,75,inf,211,404,668
forest6,SCS,primal infeasible,0.0027055740356445312,242,inf,95,161,305
galenet,SCS,primal infeasible,0.0007073879241943359,25,inf,8,16,24
gosh,SCS,max_iter_reached,224.7167673110962,100000,95.56271960784134,10733,14525,107964
gran,SCS,primal infeasible,20.864438772201538,46475,inf,2520,5178,22626
greenbea,SCS,primal infeasible,0.030135393142700195,0,inf,5405,7797,36282
itest2,SCS,primal infeasible,0.0007481575012207031,24,inf,4,13,21
itest6,SCS,primal infeasible,0.0007951259613037109,0,inf,8,19,28
klein1,SCS,primal infeasible,0.06588935852050781,7600,inf,54,108,750
klein2,SCS,primal infeasible,0.025734424591064453,775,inf,54,531,4639
klein3,SCS,primal infeasible,0.05518054962158203,675,inf,88,1082,12195
mondou2,SCS,primal infeasible,0.0013344287872314453,0,inf,604,916,1812
pang,SCS,primal infeasible,0.01890850067138672,325,inf,460,821,3112
pilot4i,SCS,max_iter_reached,10.015898942947388,100000,-1.658071388826042e-05,1000,1410,6141
qual,SCS,max_iter_reached,4.379753828048706,100000,-62477.15821859529,464,787,2110
reactor,SCS,dual infeasible,0.0020246505737304688,0,-inf,637,955,3057
refinery,SCS,primal infeasible,0.11639738082885742,2650,inf,464,787,2090
vol1,SCS,max_iter_reached,4.39061713218689,100000,-62360.297370554195,464,787,2110
woodinfe,SCS,primal infeasible,0.004690408706665039,425,inf,89,124,229
