name,solver,status,run_time,iter,obj_val,n,m,N
10034,COSMO_high,solver_error,1001.1428220272064,59591,-0.0659409617738986,40400,80600,280404
10038,COSMO_high,solver_error,1008.0557889938354,12522,-0.057686999391216104,160800,321200,1120804
8495,COSMO_high,optimal,3.514233112335205,300,42857.497642207,27543,35543,100572
8500,COSMO_high,solver_error,1022.5309731960297,4583,-0.010465906799856928,250997,501495,1561997
8515,COSMO_high,max_iter_reached,89.9407730102539,100000,-699.8381558229697,16002,24004,96008
8547,COSMO_high,solver_error,1117.5445439815521,1090,-0.004363818178242513,1003001,2004001,7006002
8559,COSMO_high,optimal,152.16664290428162,11900,108704749.37069836,10000,15000,94966
8567,COSMO_high,optimal,233.1468231678009,15900,115710942.20223537,10000,17500,102465
8602,COSMO_high,optimal,186.2202332019806,500,27353.387046348766,34552,87535,277439
8616,COSMO_high,optimal,0.24368715286254883,200,245.06859777116009,13870,24274,55480
8785,COSMO_high,optimal,8.767127990722656,300,7867.491141739858,10399,21761,73422
8790,COSMO_high,optimal,2.21400785446167,400,-0.43467110281297855,39204,39204,234432
8792,COSMO_high,optimal,0.7835490703582764,500,1.9009675327506361,15129,15129,90282
8845,COSMO_high,optimal,21.764076948165894,68600,13453118.080161808,1546,2323,127581
8906,COSMO_high,max_iter_reached,77.25323295593262,100000,3014980.4508069325,5223,6061,132790
8938,COSMO_high,max_iter_reached,29.406044006347656,100000,-38.78988652655773,4001,16000,35998
8991,COSMO_high,optimal,0.4300861358642578,300,-1.2044836111683268,14400,14400,85920
9002,COSMO_high,max_iter_reached,37.03148794174194,100000,135874910572.69597,2890,4539,15470
