name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
10034,SCS-3.0,max_iter_reached,1000.7126231193542,73825,-0.05750759480923244,40400,80600,280404,425.648384,1000232.456056,0.0007836890684560315,2
10038,SCS-3.0,optimal,5.64659309387207,25,-0.00018162204183800077,160800,321200,1120804,3957.21458,1581.37935,0.1,0
8495,SCS-3.0,optimal,1.7974228858947754,275,42857.47808621409,27543,35543,100572,257.834975,1531.819896,1.2134471397106943,2
8500,SCS-3.0,max_iter_reached,1017.664999961853,7125,-0.11003189637148686,250997,501495,1561997,15237.540954,1002349.34598,1e-06,8
8515,SCS-3.0,optimal,0.05454611778259277,25,-1.359870989276077e-05,16002,24004,96008,25.71073,24.250066,0.1,0
8547,SCS-3.0,optimal,116.3914430141449,25,-4.1331251538611905e-08,1003001,2004001,7006002,98786.188411,16946.121213,0.1,0
8559,SCS-3.0,optimal,264.86905431747437,18925,108659436.25857951,10000,15000,94966,3715.254042,261139.395882,387.0997089979488,5
8567,SCS-3.0,optimal,322.2686998844147,18150,115709152.32335076,10000,17500,102465,4920.087363,317332.531942,621.3872360375578,5
8602,SCS-3.0,optimal,922.0699100494385,4300,27354.12387755774,34552,87535,277439,40505.533471,881505.847607,0.08150626806768313,10
8616,SCS-3.0,optimal,0.28570079803466797,150,245.05786095076107,13870,24274,55480,43.281095,237.623214,0.5885399355942723,1
8785,SCS-3.0,optimal,39.613402128219604,2375,7869.768436423258,10399,21761,73422,1712.205971,37886.75093,0.08803855503181263,5
8790,SCS-3.0,optimal,1.7198879718780518,200,-0.43465640204051437,39204,39204,234432,149.998371,1549.617086,0.01938428699534262,1
8792,SCS-3.0,optimal,0.6913561820983887,325,1.9031964957835132,15129,15129,90282,47.249082,635.473755,0.1,0
8845,SCS-3.0,optimal,4.9038169384002686,13525,13428272.134141257,1546,2323,127581,26.31496,4870.049702,1.0731370840663201,2
8906,SCS-3.0,optimal,6.718660116195679,6375,3014951.388932191,5223,6061,132790,44.668329,6666.200987,1.6057075898567923,2
8938,SCS-3.0,max_iter_reached,50.02257323265076,100000,-34.03248871624518,4001,16000,35998,19.296492,50000.819194,0.009284677805760123,2
8991,SCS-3.0,optimal,0.333528995513916,150,-1.2041848800786277,14400,14400,85920,39.747102,286.784821,0.022706379014964487,1
9002,SCS-3.0,max_iter_reached,45.35289812088013,100000,inf,2890,4539,15470,24.926636,45326.43439,1e-06,4
