name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
10034,SCS-3.0,max_iter_reached,1000.4814801216125,55600,-0.05596014096796567,40400,80600,280404,347.157579,1000103.432244,0.0007836890684560315,2
10038,SCS-3.0,optimal,7.796533107757568,25,-0.00018162204183800077,160800,321200,1120804,5443.23368,2196.633312,0.1,0
8495,SCS-3.0,optimal,2.467302083969116,275,42857.47808621409,27543,35543,100572,363.612008,2093.965682,1.2134471397106943,2
8500,SCS-3.0,max_iter_reached,1022.8646531105042,6000,-0.11381911287560398,250997,501495,1561997,20793.558566,1001883.444171,1e-06,8
8515,SCS-3.0,optimal,0.06109499931335449,25,-1.3598497926402564e-05,16002,24004,96008,29.17737,25.768684,0.1,0
8547,SCS-3.0,optimal,126.9959659576416,25,-4.1331251538611905e-08,1003001,2004001,7006002,110311.933252,16087.809487,0.1,0
8559,SCS-3.0,optimal,175.95580101013184,13325,108704922.85025951,10000,15000,94966,3368.154594,172573.119261,1385.3395054318246,6
8567,SCS-3.0,optimal,190.7936680316925,14625,115711115.97303657,10000,17500,102465,4238.091683,186535.643281,1262.2615233986858,5
8602,SCS-3.0,optimal,3146.077726125717,4300,27354.12387755774,34552,87535,277439,27784.60592,892699.92617,0.08150626806768313,10
8616,SCS-3.0,optimal,0.296428918838501,300,245.0235842373096,13870,24274,55480,25.038054,268.314372,1.1235880410738284,1
8785,SCS-3.0,optimal,26.543352127075195,2375,7869.768436423258,10399,21761,73422,978.25445,25553.610111,0.08803855503181263,5
8790,SCS-3.0,optimal,1.1241459846496582,200,-0.43465640204051437,39204,39204,234432,113.884324,994.459989,0.01938428699534262,1
8792,SCS-3.0,optimal,0.4299600124359131,325,1.9031964957835132,15129,15129,90282,33.592562,390.128097,0.1,0
8845,SCS-3.0,optimal,27.588478088378906,99275,13406037.75825193,1546,2323,127581,20.905399,27562.917873,1.0958624099098002,2
8906,SCS-3.0,optimal,23.214218139648438,35950,3013296.8858175976,5223,6061,132790,33.253934,23175.214783,62.94562114787906,4
8938,SCS-3.0,max_iter_reached,40.86963987350464,100000,-34.03248871624518,4001,16000,35998,11.475284,40855.223345,0.009284677805760123,2
8991,SCS-3.0,optimal,0.21343588829040527,150,-1.2041848800786277,14400,14400,85920,30.851273,176.959519,0.022706379014964487,1
9002,SCS-3.0,max_iter_reached,33.44219708442688,100000,inf,2890,4539,15470,17.546761,33422.871002,1e-06,4
