name,solver,status,run_time,iter,obj_val,n,m,N
8792,SCS-3.0,optimal,0.831129789352417,325,1.9036664875280407,15129,15129,90282
8938,SCS-3.0,max_iter_reached,88.53038239479065,100000,-33.99935205692356,4001,16000,35998
8495,SCS-3.0,optimal,2.2940280437469482,275,42857.409250993755,27543,35543,100572
9002,SCS-3.0,max_iter_reached,52.68194794654846,100000,inf,2890,4539,15470
8547,SCS-3.0,optimal,134.14205694198608,25,-3.214639165917532e-08,1003001,2004001,7006002
8567,SCS-3.0,optimal,320.98069405555725,18250,115703836.53689043,10000,17500,102465
8500,SCS-3.0,max_iter_reached,1019.7842218875885,5450,-0.11812416073667278,250997,501495,1561997
8785,SCS-3.0,optimal,33.42839694023132,1950,7877.15475980231,10399,21761,73422
8845,SCS-3.0,optimal,8.695415496826172,21275,13430516.010452779,1546,2323,127581
8559,SCS-3.0,optimal,356.9113380908966,25075,108655887.8468453,10000,15000,94966
8906,SCS-3.0,optimal,74.94666576385498,74275,3014204.792561891,5223,6061,132790
8991,SCS-3.0,optimal,0.370530366897583,150,-1.2041203764271435,14400,14400,85920
8515,SCS-3.0,optimal,0.11535882949829102,50,-1.6028965724745855e-05,16002,24004,96008
10038,SCS-3.0,optimal,6.47252631187439,25,-0.0001602532534384788,160800,321200,1120804
8602,SCS-3.0,optimal,828.1866085529327,4200,27353.522136044023,34552,87535,277439
8616,SCS-3.0,optimal,0.35634398460388184,175,245.05496313651216,13870,24274,55480
8790,SCS-3.0,optimal,1.6689867973327637,200,-0.4346449626689991,39204,39204,234432
10034,SCS-3.0,max_iter_reached,1000.4123075008392,65477,-0.05653639382556563,40400,80600,280404
