name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
10034,SCS-3.0_high,max_iter_reached,1000.6474750041962,55250,-0.05549836332458047,40400,80600,280404,475.112905,1000157.55586,0.0007836890684560315,2
10038,SCS-3.0_high,max_iter_reached,1007.1732079982758,11375,-0.06294308749158348,160800,321200,1120804,5515.459246,1001541.381715,0.0005037653722614983,2
8495,SCS-3.0_high,optimal,5.441910982131958,550,42857.496382744794,27543,35543,100572,346.597254,5086.573381,9.444572886704782,5
8500,SCS-3.0_high,max_iter_reached,1028.2584850788116,4900,-0.11824028090204863,250997,501495,1561997,24881.297322,1003224.228631,4.7498192197580115e-05,5
8515,SCS-3.0_high,max_iter_reached,116.72025299072266,100000,-inf,16002,24004,96008,28.04761,116688.227989,1e-06,2
8547,SCS-3.0_high,max_iter_reached,1138.2194747924805,900,4.600876768648926e-06,1003001,2004001,7006002,136870.178164,1000538.564381,6.973825094126283e-05,3
8559,SCS-3.0_high,max_iter_reached,1004.6166768074036,63525,108675324.73435579,10000,15000,94966,4432.13345,1000173.315924,387.0997089979488,5
8567,SCS-3.0_high,max_iter_reached,1006.3450129032135,57150,115711029.31189378,10000,17500,102465,6297.652884,1000034.7868,621.3872360375578,5
8602,SCS-3.0_high,optimal,879.1329638957977,5100,27353.54258682542,34552,87535,277439,38330.910703,840749.117662,0.08150626806768313,10
8616,SCS-3.0_high,optimal,0.2531778812408447,175,245.06821626538547,13870,24274,55480,31.390335,218.282366,0.5885399355942723,1
8785,SCS-3.0_high,optimal,48.87342810630798,3075,7867.491336583532,10399,21761,73422,1433.057112,47423.694483,0.002728082729394664,8
8790,SCS-3.0_high,optimal,2.64377498626709,350,-0.434669234755344,39204,39204,234432,185.428134,2429.750649,0.01938428699534262,1
8792,SCS-3.0_high,optimal,0.9313468933105469,450,1.900992235490928,15129,15129,90282,50.66475,871.497968,0.1,0
8845,SCS-3.0_high,max_iter_reached,36.885571002960205,100000,13452423.581421144,1546,2323,127581,27.410927,36852.062963,1.0731370840663201,2
8906,SCS-3.0_high,optimal,12.796207904815674,8500,3014980.815283495,5223,6061,132790,51.652071,12735.233833,5.0954048225744195,3
8938,SCS-3.0_high,max_iter_reached,54.91650414466858,100000,-34.03248871624518,4001,16000,35998,25.584531,54888.068961,0.009284677805760123,2
8991,SCS-3.0_high,optimal,0.4948770999908447,225,-1.204480109689455,14400,14400,85920,77.409473,404.664768,0.022706379014964487,1
9002,SCS-3.0_high,max_iter_reached,48.05187511444092,100000,inf,2890,4539,15470,24.075715,48026.718232,1e-06,4
