name,solver,status,run_time,iter,obj_val,n,m,N
10034,SCS_AA2_high,max_iter_reached,1000.6624889373779,55720,-0.06067567868732735,40400,80600,280404
10038,SCS_AA2_high,max_iter_reached,1005.7348117828369,11605,-0.050533412375485025,160800,321200,1120804
8495,SCS_AA2_high,optimal,4.223542928695679,425,42857.496362752754,27543,35543,100572
8500,SCS_AA2_high,max_iter_reached,1020.5658550262451,7160,-0.10858655257500865,250997,501495,1561997
8515,SCS_AA2_high,optimal,0.1204521656036377,50,-1.735743123364352e-05,16002,24004,96008
8547,SCS_AA2_high,max_iter_reached,1097.1821899414062,1443,-6.755413569816779e-06,1003001,2004001,7006002
8559,SCS_AA2_high,max_iter_reached,1002.5991902351379,97224,108701938.76551591,10000,15000,94966
8567,SCS_AA2_high,optimal,608.0220148563385,48575,115711107.70673995,10000,17500,102465
8602,SCS_AA2_high,optimal,747.0053808689117,6400,27353.643925817334,34552,87535,277439
8616,SCS_AA2_high,optimal,0.295090913772583,200,245.0686087430939,13870,24274,55480
8785,SCS_AA2_high,max_iter_reached,986.7172999382019,100000,inf,10399,21761,73422
8790,SCS_AA2_high,optimal,1.8755018711090088,275,-0.43466901750064857,39204,39204,234432
8792,SCS_AA2_high,optimal,0.573249101638794,300,1.9009628077969911,15129,15129,90282
8845,SCS_AA2_high,max_iter_reached,44.76141095161438,100000,12486683.050379353,1546,2323,127581
8906,SCS_AA2_high,max_iter_reached,102.62126898765564,100000,2854598.1027209843,5223,6061,132790
8938,SCS_AA2_high,max_iter_reached,69.57720685005188,100000,-16.34203570891845,4001,16000,35998
8991,SCS_AA2_high,optimal,0.44250011444091797,200,-1.2044854417060578,14400,14400,85920
9002,SCS_AA2_high,max_iter_reached,49.495505809783936,100000,inf,2890,4539,15470
