name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
10034,SCS_ALT,max_iter_reached,1000.8134641647339,56275,-0.05932113382015707,40400,80600,280404,359.060102,1000323.381958,0.00020982483187774632,3
10038,SCS_ALT,optimal,8.185266256332397,25,-0.00018162204183800077,160800,321200,1120804,6111.594062,1935.441941,0.1,0
8495,SCS_ALT,optimal,3.2871928215026855,275,42857.47808542098,27543,35543,100572,404.758486,2868.97688,1.2134317923681779,2
8500,SCS_ALT,max_iter_reached,1026.8160438537598,5125,-0.1186462006470779,250997,501495,1561997,22951.454198,1003579.864033,4.637577313646408e-05,5
8515,SCS_ALT,optimal,0.15054988861083984,25,-1.359870989276077e-05,16002,24004,96008,69.037203,70.6836,0.1,0
8547,SCS_ALT,optimal,152.12488794326782,25,-4.1331251538611905e-08,1003001,2004001,7006002,134798.144268,16360.017798,0.1,0
8559,SCS_ALT,optimal,282.2686061859131,18925,108659436.26196608,10000,15000,94966,3801.946387,278438.08693,387.0996657387424,5
8567,SCS_ALT,optimal,323.344220161438,18150,115709152.32401076,10000,17500,102465,5995.784717,317317.693789,621.3872091529041,5
8602,SCS_ALT,max_iter_reached,1045.5979461669922,6550,inf,34552,87535,277439,42833.452398,1002654.338333,0.32862390935827696,4
8616,SCS_ALT,optimal,0.3335278034210205,150,245.05934835315793,13870,24274,55480,55.681897,272.461986,0.5885399355942723,1
8785,SCS_ALT,optimal,65.51792907714844,4725,7873.125845500706,10399,21761,73422,1842.619472,63656.882697,0.29392008127264807,4
8790,SCS_ALT,optimal,1.554753065109253,200,-0.4346533708466138,39204,39204,234432,171.15809,1359.239267,0.01938428699534262,1
8792,SCS_ALT,optimal,0.7005228996276855,325,1.9031964957835132,15129,15129,90282,49.011435,642.790101,0.1,0
8845,SCS_ALT,optimal,5.84539008140564,13525,13428272.628799193,1546,2323,127581,31.092741,5807.084866,1.0731476102987505,2
8906,SCS_ALT,optimal,7.62785792350769,6375,3014951.3885902492,5223,6061,132790,45.977389,7573.616975,1.6057215767691277,2
8938,SCS_ALT,max_iter_reached,46.5671169757843,100000,-34.03248988791755,4001,16000,35998,16.360065,46546.32848,0.009284681786234492,2
8991,SCS_ALT,optimal,0.3063340187072754,150,-1.204202396782856,14400,14400,85920,37.187669,262.239518,0.022706379014964487,1
9002,SCS_ALT,max_iter_reached,38.49120211601257,100000,inf,2890,4539,15470,20.976445,38467.548759,1e-06,4
