name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
10034,SCS_AA1,max_iter_reached,1000.4509100914001,78700,-0.0629797480459785,40400,80600,280404,411.595936,1000049.437069,0.00011148398323846587,4
10038,SCS_AA1,max_iter_reached,1005.0888130664825,16525,-0.05878485512138236,160800,321200,1120804,3909.287425,1001060.270427,0.0006968175085327481,2
8495,SCS_AA1,optimal,1.996579647064209,300,42857.493379701154,27543,35543,100572,248.790484,1738.191244,1.1915462243548247,2
8500,SCS_AA1,max_iter_reached,1019.2726967334747,7250,-0.12266308341790602,250997,501495,1561997,16523.451852,1002567.098109,1.8370489570538736e-05,6
8515,SCS_AA1,optimal,0.07026100158691406,25,-1.3932980955943599e-05,16002,24004,96008,31.175562,34.177031,0.1,0
8547,SCS_AA1,max_iter_reached,1103.583211183548,1450,-8.76473674416267e-05,1003001,2004001,7006002,97465.863604,1005376.84665,9.482338757585833e-05,3
8559,SCS_AA1,optimal,957.1763970851898,91600,108681640.44000386,10000,15000,94966,3237.386856,953916.243653,404.2030928932275,5
8567,SCS_AA1,optimal,248.01201510429382,19425,115709461.22501227,10000,17500,102465,3641.202585,244356.308329,696.6189269058922,5
8602,SCS_AA1,optimal,477.0811140537262,2625,27358.3594381148,34552,87535,277439,29336.608495,447690.546209,0.012942855166547135,7
8616,SCS_AA1,optimal,0.20172476768493652,150,245.0529382881659,13870,24274,55480,30.700981,167.627431,0.6504995014711712,1
8785,SCS_AA1,optimal,8.700676202774048,625,7867.504450156508,10399,21761,73422,994.218672,7695.708573,0.006451353575821143,2
8790,SCS_AA1,optimal,2.025359869003296,325,-0.4346642993976645,39204,39204,234432,139.003505,1852.934079,0.011443814670185452,2
8792,SCS_AA1,optimal,0.42979907989501953,225,1.9005172283894072,15129,15129,90282,56.287724,361.267515,0.1,0
8845,SCS_AA1,optimal,3.1102588176727295,9775,13427461.052833812,1546,2323,127581,31.419454,3072.624278,1.5155067363482948,2
8906,SCS_AA1,optimal,5.327418088912964,6900,3014987.2935781227,5223,6061,132790,41.210867,5279.856959,1.5281347453688656,2
8938,SCS_AA1,max_iter_reached,49.3396098613739,100000,-31.838019802789542,4001,16000,35998,14.576847,49323.315985,0.03162084180258186,1
8991,SCS_AA1,optimal,0.2794151306152344,150,-1.2045826500109962,14400,14400,85920,39.745856,233.72382,0.02892153010870436,1
9002,SCS_AA1,optimal,20.50658106803894,50775,6.850110125671304,2890,4539,15470,22.396501,20483.051669,1e-06,8
