name,solver,status,run_time,iter,obj_val,n,m,N
10034,COSMO_high,solver_error,1001.138060092926,93911,-0.06598469211035361,40400,80600,280404
10038,COSMO_high,solver_error,1004.1102750301361,18904,-0.05517217712025195,160800,321200,1120804
8495,COSMO_high,optimal,1.6481029987335205,300,42857.497642207,27543,35543,100572
8500,COSMO_high,solver_error,1013.6201949119568,8488,-0.0021790118697433136,250997,501495,1561997
8515,COSMO_high,max_iter_reached,61.51516103744507,100000,-699.8381558229697,16002,24004,96008
8547,COSMO_high,solver_error,1093.6017289161682,1426,-0.004307092947652547,1003001,2004001,7006002
8559,COSMO_high,optimal,128.24764895439148,11900,108704749.37069836,10000,15000,94966
8567,COSMO_high,optimal,192.88755202293396,15900,115710942.20223537,10000,17500,102465
8602,COSMO_high,optimal,152.06768989562988,500,27353.387046348766,34552,87535,277439
8616,COSMO_high,optimal,0.1977829933166504,200,245.06859777116009,13870,24274,55480
8785,COSMO_high,optimal,7.11401104927063,300,7867.491141739858,10399,21761,73422
8790,COSMO_high,optimal,1.8045170307159424,400,-0.43467110281297855,39204,39204,234432
8792,COSMO_high,optimal,0.6490919589996338,500,1.9009675327506361,15129,15129,90282
8845,COSMO_high,optimal,23.46051788330078,68600,13453118.080161808,1546,2323,127581
8906,COSMO_high,max_iter_reached,66.67322492599487,100000,3014980.4508069325,5223,6061,132790
8938,COSMO_high,max_iter_reached,29.60776996612549,100000,-38.78988652655773,4001,16000,35998
8991,COSMO_high,optimal,0.37102699279785156,300,-1.2044836111683268,14400,14400,85920
9002,COSMO_high,max_iter_reached,33.927083015441895,100000,135874910572.69597,2890,4539,15470
