name,solver,status,run_time,iter,obj_val,n,m,N
10034,SCS_AA1_high,max_iter_reached,1000.3928618431091,74916,-0.06174264528095731,40400,80600,280404
10038,SCS_AA1_high,max_iter_reached,1005.1139121055603,11994,-0.03446691288928786,160800,321200,1120804
8495,SCS_AA1_high,optimal,5.469324827194214,750,42857.49638353471,27543,35543,100572
8500,SCS_AA1_high,max_iter_reached,1019.7683119773865,5215,-0.12214323380307268,250997,501495,1561997
8515,SCS_AA1_high,optimal,0.09894895553588867,50,-1.735743123364352e-05,16002,24004,96008
8547,SCS_AA1_high,max_iter_reached,1123.9306507110596,963,-1.5158038178274272e-05,1003001,2004001,7006002
8559,SCS_AA1_high,max_iter_reached,1003.8337869644165,80511,108669741.2805029,10000,15000,94966
8567,SCS_AA1_high,max_iter_reached,1004.0633859634399,80835,115710436.65492758,10000,17500,102465
8602,SCS_AA1_high,optimal,723.7502419948578,4450,27353.386181184906,34552,87535,277439
8616,SCS_AA1_high,optimal,0.2864682674407959,200,245.06860059550556,13870,24274,55480
8785,SCS_AA1_high,max_iter_reached,987.7423920631409,100000,inf,10399,21761,73422
8790,SCS_AA1_high,optimal,1.736840009689331,275,-0.43466880114686024,39204,39204,234432
8792,SCS_AA1_high,optimal,0.48092007637023926,300,1.9009437655909422,15129,15129,90282
8845,SCS_AA1_high,max_iter_reached,34.71118998527527,100000,13453101.955121472,1546,2323,127581
8906,SCS_AA1_high,optimal,75.95506691932678,63875,3014978.3976471336,5223,6061,132790
8938,SCS_AA1_high,max_iter_reached,99.39415669441223,100000,-31.924667620272093,4001,16000,35998
8991,SCS_AA1_high,optimal,0.6094992160797119,175,-1.2044888519610994,14400,14400,85920
9002,SCS_AA1_high,max_iter_reached,86.3153600692749,100000,inf,2890,4539,15470
