name,solver,status,run_time,iter,obj_val,n,m,N
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",COSMO,optimal,1.2453808784484863,300,0.22707629889912376,100,150,25000
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",COSMO,optimal,0.06506705284118652,200,-0.47396739960472983,100,150,25000
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",COSMO,optimal,0.016664981842041016,200,-0.4556825199562485,100,150,25000
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",COSMO,optimal,0.01619887351989746,200,-0.4959826128029199,100,150,25000
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",COSMO,optimal,0.017952919006347656,200,-1.0620009474595227,100,150,25000
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",COSMO,optimal,0.017653942108154297,200,-0.8849137489223796,100,150,25000
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",COSMO,optimal,0.017266035079956055,200,-1.4145278708030666,100,150,25000
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",COSMO,optimal,0.018039941787719727,200,-1.0955697698077653,100,150,25000
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",COSMO,optimal,0.017292022705078125,200,-1.1483176574967224,100,150,25000
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",COSMO,optimal,0.016628026962280273,200,-0.43262873379531724,100,150,25000
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",COSMO,optimal,0.02335500717163086,300,-0.5636253129404052,100,150,25000
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",COSMO,optimal,0.016957998275756836,200,-0.5387151287456095,100,150,25000
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",COSMO,optimal,0.023745059967041016,300,-0.30103137719008405,100,150,25000
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",COSMO,optimal,0.016902923583984375,200,-0.13452308222541023,100,150,25000
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",COSMO,optimal,0.019775867462158203,200,-0.5070301131455299,100,150,25000
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",COSMO,optimal,0.017533063888549805,200,-1.1538737325986708,100,150,25000
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",COSMO,optimal,0.01732802391052246,200,-0.16990858981769136,100,150,25000
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",COSMO,optimal,0.020071029663085938,200,-0.17909009893571964,100,150,25000
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",COSMO,optimal,0.017188072204589844,200,-1.9124256852145969,100,150,25000
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",COSMO,optimal,0.02321600914001465,300,-0.3587766313681464,100,150,25000
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",COSMO,optimal,0.017488956451416016,200,-0.8155404473639644,100,150,25000
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",COSMO,optimal,0.017012834548950195,200,-0.9023975649537406,100,150,25000
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",COSMO,optimal,0.10630512237548828,200,-0.37717633902710346,100,150,25000
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",COSMO,optimal,0.025081157684326172,300,-0.49325926864221176,100,150,25000
"FEASIBLE:prob=24:seed=1258:shape=(150, 100)",COSMO,optimal,0.018341064453125,200,-0.2088286784163503,100,150,25000
"FEASIBLE:prob=25:seed=1259:shape=(150, 100)",COSMO,optimal,0.017600059509277344,200,0.008649737241667744,100,150,25000
"FEASIBLE:prob=26:seed=1260:shape=(150, 100)",COSMO,optimal,0.018897056579589844,200,-0.06515640942821557,100,150,25000
"FEASIBLE:prob=27:seed=1261:shape=(150, 100)",COSMO,optimal,0.017570018768310547,200,-0.16944114166419547,100,150,25000
"FEASIBLE:prob=28:seed=1262:shape=(150, 100)",COSMO,optimal,0.01787090301513672,200,-0.2801631302216197,100,150,25000
"FEASIBLE:prob=29:seed=1263:shape=(150, 100)",COSMO,optimal,0.02404499053955078,300,-0.8199840102829752,100,150,25000
"FEASIBLE:prob=30:seed=1264:shape=(150, 100)",COSMO,optimal,0.028650999069213867,400,-0.8645440752717091,100,150,25000
"FEASIBLE:prob=31:seed=1265:shape=(150, 100)",COSMO,optimal,0.025671958923339844,300,-0.44991251351179085,100,150,25000
"FEASIBLE:prob=32:seed=1266:shape=(150, 100)",COSMO,optimal,0.03265500068664551,400,-0.02555578625755832,100,150,25000
"FEASIBLE:prob=33:seed=1267:shape=(150, 100)",COSMO,optimal,0.03688311576843262,500,-0.3017854582812919,100,150,25000
"FEASIBLE:prob=34:seed=1268:shape=(150, 100)",COSMO,optimal,0.011962890625,100,-0.8741678209429651,100,150,25000
"FEASIBLE:prob=35:seed=1269:shape=(150, 100)",COSMO,optimal,0.018409013748168945,200,0.07217638799784343,100,150,25000
"FEASIBLE:prob=36:seed=1270:shape=(150, 100)",COSMO,optimal,0.02373790740966797,300,-0.3925255484279692,100,150,25000
"FEASIBLE:prob=37:seed=1271:shape=(150, 100)",COSMO,optimal,0.023096084594726562,300,-0.2329906171682234,100,150,25000
"FEASIBLE:prob=38:seed=1272:shape=(150, 100)",COSMO,optimal,0.017544984817504883,200,-2.175819919797688,100,150,25000
"FEASIBLE:prob=39:seed=1273:shape=(150, 100)",COSMO,optimal,0.016954898834228516,200,-0.395617223735544,100,150,25000
"FEASIBLE:prob=40:seed=1274:shape=(150, 100)",COSMO,optimal,0.023389101028442383,300,-0.3002661922875007,100,150,25000
"FEASIBLE:prob=41:seed=1275:shape=(150, 100)",COSMO,optimal,0.02307605743408203,300,-0.392351758286896,100,150,25000
"FEASIBLE:prob=42:seed=1276:shape=(150, 100)",COSMO,optimal,0.023597002029418945,300,-0.03975819666193374,100,150,25000
"FEASIBLE:prob=43:seed=1277:shape=(150, 100)",COSMO,optimal,0.017438888549804688,200,0.07211700987445403,100,150,25000
"FEASIBLE:prob=44:seed=1278:shape=(150, 100)",COSMO,optimal,0.017852067947387695,200,0.10255819055698956,100,150,25000
"FEASIBLE:prob=45:seed=1279:shape=(150, 100)",COSMO,optimal,0.016916990280151367,200,-0.17577210501697335,100,150,25000
"FEASIBLE:prob=46:seed=1280:shape=(150, 100)",COSMO,optimal,0.017237186431884766,200,-0.040873790226188915,100,150,25000
"FEASIBLE:prob=47:seed=1281:shape=(150, 100)",COSMO,optimal,0.016714096069335938,200,-0.2333766717758743,100,150,25000
"FEASIBLE:prob=48:seed=1282:shape=(150, 100)",COSMO,optimal,0.01749897003173828,200,-0.2612071885923827,100,150,25000
"FEASIBLE:prob=49:seed=1283:shape=(150, 100)",COSMO,optimal,0.023483991622924805,300,-0.2814803640340684,100,150,25000
"FEASIBLE:prob=50:seed=1284:shape=(150, 100)",COSMO,optimal,0.01816391944885254,200,-0.28048725698334775,100,150,25000
"FEASIBLE:prob=51:seed=1285:shape=(150, 100)",COSMO,optimal,0.023370981216430664,300,-0.15627774686734344,100,150,25000
