name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",OSQP,optimal,0.3674201965332031,6900,-4711.570248577317,100,150,25000,0,0.001513887,0.364988986,0.0,2,3.068046545088647
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",OSQP,optimal,0.09278583526611328,1775,-6248.952223459602,100,150,25000,0,0.001986522,0.08938757,0.0,0,0.33734906865486747
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",OSQP,optimal,0.07440614700317383,1425,-3572.224491678794,100,150,25000,0,0.002094211,0.071019931,0.0,0,0.2485304154032952
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",OSQP,optimal,0.08221817016601562,1625,-5424.166826695871,100,150,25000,0,0.001894605,0.079126116,0.0,1,0.8479399870291523
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",OSQP,optimal,0.1527559757232666,2800,-3663.9796130603672,100,150,25000,0,0.00154792,0.150041055,0.0,1,0.7133311358352645
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",OSQP,optimal,0.11227965354919434,2050,-5229.8216839521565,100,150,25000,0,0.002404969,0.10853987,0.0,1,0.6244658892278566
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",OSQP,optimal,0.14682507514953613,2675,-6730.556134281233,100,150,25000,0,0.002002235,0.143328866,0.0,1,1.0215361426887846
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",OSQP,optimal,0.15819811820983887,3050,-5386.050286333423,100,150,25000,0,0.002138597,0.154505608,0.0,1,0.6094557381231707
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",OSQP,optimal,0.16937589645385742,3400,-3223.4977045127503,100,150,25000,0,0.001938756,0.166039942,0.0,1,0.9965098051087038
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",OSQP,optimal,0.10626482963562012,1875,-4753.990889206858,100,150,25000,0,0.001731443,0.103146763,0.0,1,0.5489587373437801
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",OSQP,optimal,0.29883813858032227,5275,-3263.713522351111,100,150,25000,0,0.001574653,0.296189779,0.0,0,0.37883138484624257
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",OSQP,optimal,0.13959002494812012,2600,-5040.242512536579,100,150,25000,0,0.00204255,0.136065539,0.0,0,0.25938353292753896
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",OSQP,optimal,0.43357086181640625,8375,-3907.547355230468,100,150,25000,0,0.001792572,0.430535867,0.0,1,1.5637543659228732
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",OSQP,optimal,0.2577171325683594,5125,-5328.5364836553335,100,150,25000,0,0.002065933,0.254340682,0.0,1,1.4276793174728521
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",OSQP,optimal,0.13997101783752441,2825,-3859.613343863053,100,150,25000,0,0.001686706,0.137158338,0.0,1,1.2303849750248441
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",OSQP,optimal,0.14220905303955078,2575,-4283.609832872381,100,150,25000,0,0.001967796,0.138912321,0.0,1,0.509994077788939
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",OSQP,optimal,0.2972891330718994,5600,-4881.851782747653,100,150,25000,0,0.001559769,0.294621829,0.0,1,2.1930750210722403
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",OSQP,optimal,0.056813955307006836,1025,-8268.268967789694,100,150,25000,0,0.001518197,0.053623885,0.0,0,0.16811101493021008
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",OSQP,optimal,0.13345980644226074,2475,-6332.438861311093,100,150,25000,0,0.001534839,0.130927263,0.0,1,0.5826053659382913
