tau,SCS-3.0,OSQP,COSMO
1.0,0.25,0.727,0.023
1.0092621909870476,0.257,0.738,0.024
1.0186101701559758,0.265,0.744,0.026
1.0280447320933093,0.275,0.753,0.027
1.0375666787451858,0.284,0.757,0.028
1.0471768194855202,0.289,0.761,0.029
1.0568759711848041,0.297,0.773,0.031
1.0666649582795393,0.304,0.776,0.032
1.0765446128423155,0.315,0.783,0.033
1.0865157746525382,0.324,0.788,0.035
1.0965792912678098,0.332,0.794,0.038
1.1067360180959736,0.344,0.8,0.039
1.116986818467823,0.351,0.808,0.041
1.1273325637104867,0.359,0.813,0.045
1.1377741332214912,0.363,0.818,0.046
1.148312414543511,0.372,0.824,0.048
1.158948303439811,0.38,0.829,0.05
1.1696827039703852,0.387,0.832,0.051
1.180516528568805,0.399,0.834,0.053
1.1914506981197759,0.403,0.837,0.055
1.2024861420374122,0.411,0.839,0.058
1.2136237983442408,0.419,0.839,0.06
1.2248646137509314,0.425,0.843,0.069
1.2362095437367686,0.432,0.848,0.073
1.2476595526308696,0.443,0.853,0.079
1.259215613694151,0.452,0.859,0.082
1.2708787092020586,0.459,0.862,0.083
1.2826498305280605,0.467,0.867,0.087
1.2945299782279156,0.48,0.868,0.094
1.306520162124721,0.49,0.871,0.1
1.3186214013947486,0.499,0.875,0.102
1.330834724654075,0.511,0.876,0.107
1.343161170046016,0.52,0.878,0.114
1.3556017853293685,0.53,0.879,0.125
1.3681576279674716,0.539,0.882,0.137
1.3808297652180925,0.549,0.882,0.142
1.3936192742241424,0.562,0.888,0.148
1.406527242105237,0.568,0.891,0.159
1.4195547660501011,0.578,0.892,0.165
1.4327029534098308,0.591,0.894,0.171
1.4459729217920199,0.608,0.895,0.177
1.4593657991557567,0.621,0.895,0.184
1.4728827239075026,0.631,0.899,0.189
1.4865248449978568,0.643,0.9,0.196
1.5002933220192183,0.65,0.905,0.197
1.5141893253043521,0.657,0.908,0.201
1.5282140360258698,0.664,0.909,0.214
1.5423686462966282,0.681,0.91,0.224
1.5566543592710615,0.688,0.911,0.234
1.5710723892474503,0.697,0.916,0.245
1.5856239617711374,0.708,0.918,0.25
1.6003103137387007,0.723,0.922,0.262
1.6151326935030905,0.729,0.924,0.273
1.6300923609797406,0.739,0.926,0.289
1.6451905877536626,0.75,0.927,0.3
1.66042865718753,0.756,0.927,0.31
1.6758078645307677,0.763,0.93,0.321
1.691329517029648,0.774,0.934,0.325
1.7069949340384074,0.78,0.936,0.332
1.722805447131394,0.795,0.937,0.344
1.7387624002162507,0.803,0.938,0.353
1.754867149648151,0.812,0.942,0.361
1.7711210643450879,0.819,0.945,0.377
1.787525525904235,0.825,0.946,0.39
1.8040819287193828,0.833,0.949,0.404
1.820791680099463,0.844,0.95,0.418
1.8376562003881711,0.855,0.954,0.43
1.8546769230846987,0.863,0.959,0.444
1.8718552949655787,0.872,0.96,0.458
1.8891927762076663,0.876,0.963,0.474
1.9066908405122525,0.89,0.963,0.482
1.924350975230331,0.896,0.964,0.495
1.9421746814890257,0.903,0.964,0.509
1.9601634743191854,0.91,0.964,0.518
1.9783188827841642,0.915,0.964,0.529
1.996642450109794,0.917,0.965,0.539
2.0151357338155576,0.927,0.965,0.55
2.0338003058469813,0.93,0.966,0.562
2.052637752709252,0.934,0.966,0.573
2.071649675602069,0.938,0.967,0.588
2.0908376905557504,0.946,0.969,0.597
2.1102034285685956,0.95,0.972,0.608
2.12974853574552,0.953,0.973,0.622
2.14947467343798,0.955,0.973,0.63
2.1693835183851844,0.96,0.975,0.65
2.1894767628566214,0.965,0.975,0.657
2.209756114795902,0.966,0.975,0.667
2.2302232979659378,0.967,0.975,0.681
2.2508800520954613,0.968,0.976,0.689
2.2717281330269055,0.969,0.976,0.697
2.2927693128656492,0.972,0.976,0.708
2.314005380130653,0.973,0.976,0.718
2.3354381399064787,0.973,0.976,0.723
2.3570694139967276,0.973,0.977,0.736
2.3789010410788936,0.976,0.978,0.741
2.4009348768606524,0.977,0.979,0.746
2.4231727942375993,0.979,0.979,0.752
2.445616683452446,0.981,0.98,0.762
2.468268452255692,0.983,0.98,0.769
2.491130026067789,0.985,0.981,0.784
2.5142033481427974,0.987,0.981,0.789
2.5374903797335704,0.987,0.982,0.796
2.5609931002584587,0.988,0.982,0.801
2.5847135074695635,0.989,0.982,0.808
2.608653617622548,0.989,0.982,0.816
2.632815465648021,0.989,0.982,0.823
2.6572011053245053,0.989,0.983,0.832
2.681812609453015,0.99,0.983,0.84
2.7066520700332415,0.99,0.985,0.847
2.7317215984413767,0.991,0.985,0.853
2.7570233256095835,0.992,0.985,0.856
2.7825594022071245,0.993,0.985,0.861
2.808331998823172,0.993,0.985,0.863
2.8343433061513092,0.994,0.985,0.869
2.8605955351757424,0.994,0.986,0.873
2.887090917359236,0.994,0.986,0.879
2.9138317048327873,0.994,0.986,0.888
2.940820170587063,0.994,0.986,0.892
2.9680586086656024,0.994,0.986,0.897
2.9955493343598136,0.994,0.986,0.903
3.0232946844057773,0.994,0.986,0.906
3.0512970171828697,0.994,0.987,0.907
3.079558712914226,0.994,0.987,0.909
3.108082173869064,0.994,0.988,0.917
3.1368698245668774,0.994,0.988,0.92
3.1659241119835224,0.995,0.988,0.926
3.195247505759212,0.995,0.989,0.928
3.2248424984084414,0.995,0.989,0.931
3.254711605531848,0.995,0.99,0.932
3.2848573660300446,0.995,0.99,0.934
3.315282342319425,0.995,0.991,0.936
3.345989120549973,0.996,0.992,0.937
3.3769803108250906,0.996,0.992,0.938
3.408258547423452,0.996,0.992,0.942
3.4398264890229253,0.996,0.992,0.944
3.4716868189265613,0.996,0.992,0.945
3.503842245290674,0.996,0.992,0.945
3.536295501355042,0.996,0.992,0.946
3.5690493456752295,0.996,0.993,0.949
3.602106562357071,0.997,0.993,0.949
3.6354699612933197,0.997,0.993,0.949
3.6691423784024932,0.997,0.993,0.95
3.703126675869926,0.997,0.993,0.951
3.737425742391064,0.997,0.993,0.953
3.7720424934169983,0.997,0.993,0.953
3.806979871402286,0.997,0.993,0.954
3.84224084605506,0.997,0.993,0.955
3.877828414589456,0.997,0.993,0.955
3.913745601980384,0.997,0.993,0.955
3.949995461220644,0.997,0.993,0.955
3.9865810735804406,0.997,0.993,0.957
4.023505548869292,0.997,0.993,0.96
4.060772025700365,0.997,0.993,0.961
4.0983836717572615,0.997,0.993,0.961
4.136343684063275,0.997,0.993,0.965
4.174655289253137,0.997,0.993,0.966
4.213321743847288,0.997,0.993,0.967
4.252346334528682,0.997,0.993,0.967
4.291732378422157,0.997,0.994,0.968
4.3314832233764,0.997,0.994,0.969
4.371602248248505,0.997,0.994,0.969
4.412092863191189,0.997,0.994,0.97
4.452958509942655,0.997,0.994,0.97
4.494202662119142,0.997,0.994,0.971
4.535828825510188,0.997,0.994,0.972
4.577840538376619,0.997,0.994,0.973
4.6202413717513116,0.997,0.994,0.974
4.663034929742731,0.997,0.994,0.975
4.7062248498412815,0.997,0.994,0.976
4.749814803228501,0.997,0.994,0.977
4.79380849508911,0.997,0.994,0.977
4.838209664925956,0.997,0.994,0.977
4.8830220868778795,0.997,0.994,0.977
4.9282495700405144,0.997,0.994,0.977
4.973895958790064,0.997,0.994,0.977
5.019965133110082,0.997,0.995,0.977
5.066461008921268,0.997,0.995,0.977
5.113387538414326,0.997,0.995,0.979
5.160748710385909,0.997,0.995,0.979
5.208548550577661,0.997,0.995,0.979
5.256791122018422,0.997,0.996,0.98
5.305480525369573,0.997,0.996,0.98
5.354620899273607,0.997,0.996,0.98
5.404216420705916,0.997,0.996,0.981
5.454271305329834,0.997,0.996,0.982
5.50478980785497,0.997,0.996,0.982
5.555776222398876,0.997,0.996,0.982
5.607234882852032,0.997,0.996,0.982
5.659170163246244,0.997,0.996,0.983
5.711586478126432,0.997,0.996,0.983
5.764488282925877,0.997,0.996,0.983
5.8178800743449335,0.997,0.996,0.983
5.871766390733256,0.997,0.996,0.983
5.926151812475554,0.997,0.996,0.985
5.981040962380941,0.997,0.996,0.985
6.036438506075867,0.997,0.996,0.987
6.09234915240071,0.997,0.996,0.987
6.148777653810023,0.997,0.996,0.987
6.205728806776502,0.997,0.996,0.988
6.26320745219869,0.997,0.996,0.988
6.321218475812452,0.997,0.997,0.988
6.379766808606281,0.997,0.997,0.988
6.4388574272404195,0.997,0.997,0.988
6.49849535446989,0.997,0.997,0.988
6.558685659571432,0.997,0.997,0.988
6.619433458774393,0.997,0.997,0.988
6.680743915695613,0.997,0.997,0.988
6.742622241778342,0.997,0.997,0.988
6.805073696735208,0.997,0.997,0.988
6.868103588995304,0.997,0.997,0.988
6.931717276155406,0.997,0.997,0.988
6.995920165435373,0.997,0.997,0.988
7.060717714137773,0.997,0.997,0.988
7.1261154301117475,0.997,0.997,0.988
7.192118872221189,0.997,0.997,0.988
7.258733650817251,0.997,0.997,0.989
7.3259654282152304,0.997,0.997,0.989
7.393819919175866,0.997,0.997,0.989
7.46230289139111,0.997,0.997,0.989
7.531420165974372,0.997,0.997,0.989
7.6011776179553285,0.997,0.997,0.989
7.671581176779302,0.997,0.997,0.989
7.742636826811269,0.997,0.997,0.989
7.814350607844544,0.997,0.997,0.989
7.886728615614152,0.997,0.997,0.99
7.959777002314984,0.997,0.997,0.99
8.033501977124734,0.997,0.997,0.991
8.107909806731687,0.997,0.997,0.991
8.183006815867392,0.997,0.997,0.991
8.258799387844268,0.997,0.997,0.991
8.335293965098193,0.997,0.997,0.991
8.412497049736118,0.997,0.997,0.991
8.490415204088746,0.997,0.997,0.991
8.56905505126835,0.997,0.997,0.991
8.648423275731723,0.997,0.997,0.991
8.728526623848378,0.997,0.997,0.992
8.809371904473991,0.997,0.997,0.992
8.89096598952916,0.997,0.997,0.993
8.973315814583522,0.997,0.997,0.993
9.05642837944529,0.997,0.997,0.993
9.14031074875623,0.997,0.997,0.993
9.224970052592175,0.997,0.997,0.993
9.310413487069077,0.997,0.997,0.993
9.396648314954692,0.997,0.997,0.993
9.483681866285922,0.997,0.998,0.993
9.571521538991863,0.997,0.998,0.993
9.660174799522645,0.997,0.998,0.993
9.749649183484088,0.997,0.998,0.993
9.83995229627823,0.997,0.998,0.993
9.931091813749795,0.997,0.998,0.993
10.023075482838655,0.997,0.998,0.993
10.115911122238298,0.997,0.998,0.993
10.209606623060465,0.997,0.998,0.993
10.30416994950588,0.997,0.998,0.993
10.399609139541198,0.997,0.998,0.993
10.495932305582278,0.997,0.998,0.993
10.5931476351837,0.997,0.998,0.993
10.691263391734761,0.997,0.998,0.993
10.79028791516184,0.997,0.998,0.993
10.8902296226373,0.997,0.998,0.993
10.991097009294972,0.997,0.998,0.993
11.092898648952227,0.997,0.998,0.993
11.195643194838782,0.997,0.998,0.993
11.299339380332222,0.997,0.998,0.993
11.403996019700324,0.997,0.998,0.993
11.509622008850323,0.997,0.998,0.993
11.616226326085018,0.997,0.998,0.993
11.723818032865985,0.997,0.998,0.993
11.832406274583786,0.997,0.998,0.993
11.94200028133532,0.997,0.998,0.993
12.052609368708426,0.997,0.998,0.993
12.164242938573679,0.998,0.998,0.993
12.276910479883592,0.998,0.998,0.993
12.390621569479162,0.998,0.998,0.993
12.505385872903908,0.998,0.998,0.994
12.621213145225473,0.998,0.998,0.994
12.738113231864785,0.998,0.998,0.994
12.856096069432958,0.998,0.998,0.994
12.975171686575875,0.998,0.998,0.994
13.095350204826671,0.998,0.998,0.994
13.216641839466051,0.998,0.998,0.994
13.339056900390586,0.998,0.998,0.994
13.462605792989104,0.998,0.998,0.994
13.587299019027098,0.998,0.998,0.994
13.71314717753945,0.998,0.998,0.994
13.840160965731316,0.998,0.998,0.994
13.968351179887398,0.998,0.998,0.994
14.09772871628967,0.998,0.998,0.994
14.228304572143527,0.998,0.998,0.994
14.360089846512599,0.998,0.998,0.994
14.493095741262167,0.998,0.998,0.994
14.627333562011298,0.998,0.998,0.994
14.762814719093903,0.998,0.998,0.994
14.899550728528544,0.998,0.998,0.994
15.037553212997377,0.998,0.998,0.994
15.176833902834053,0.998,0.998,0.994
15.317404637020799,0.998,0.998,0.994
15.459277364194778,0.998,0.998,0.994
15.602464143663688,0.998,0.998,0.994
15.74697714643086,0.998,0.998,0.994
15.89282865622978,0.998,0.998,0.994
16.0400310705682,0.998,0.998,0.994
16.188596901781985,0.998,0.998,0.994
16.338538778098613,0.998,0.998,0.994
16.48986944471065,0.998,0.998,0.994
16.642601764859037,0.998,0.998,0.994
16.79674872092653,0.998,0.998,0.994
16.952323415541205,0.998,0.998,0.994
17.109339072690144,0.998,0.998,0.994
17.26780903884356,0.998,0.998,0.994
17.42774678408919,0.998,0.998,0.994
17.589165903277326,0.998,0.998,0.994
17.75208011717635,0.998,0.998,0.994
17.916503273639005,0.998,0.998,0.994
18.082449348779516,0.998,0.998,0.994
18.249932448161523,0.998,0.998,0.994
18.41896680799711,0.998,0.998,0.994
18.589566796356873,0.998,0.998,0.994
18.761746914391203,0.998,0.998,0.994
18.935521797562952,0.998,0.998,0.994
19.11090621689138,0.998,0.998,0.994
19.287915080207778,0.998,0.998,0.994
19.46656343342262,0.998,0.998,0.994
19.646866461804457,0.998,0.998,0.994
19.828839491270713,0.998,0.998,0.994
20.01249798969037,0.998,0.998,0.995
20.197857568198785,0.998,0.998,0.995
20.384933982524633,0.998,0.998,0.995
20.573743134329128,0.998,0.998,0.995
20.764301072557746,0.998,0.998,0.995
20.956623994804332,0.998,0.998,0.995
21.150728248687948,0.998,0.998,0.995
21.346630333242445,0.998,0.998,0.995
21.544346900318832,0.998,0.998,0.995
21.7438947560008,0.998,0.998,0.995
21.945290862033136,0.998,0.998,0.995
22.14855233726359,0.998,0.998,0.995
22.353696459097954,0.998,0.998,0.996
22.560740664968602,0.998,0.998,0.996
22.7697025538168,0.998,0.998,0.996
22.98059988758851,0.998,0.998,0.996
23.193450592744288,0.998,0.998,0.996
23.408272761782932,0.998,0.998,0.996
23.625084654779464,0.998,0.998,0.996
23.843904700937205,0.998,0.998,0.996
24.06475150015424,0.998,0.998,0.996
24.287643824604515,0.998,0.999,0.996
24.512600620333387,0.998,0.999,0.996
24.73964100886813,0.998,0.999,0.996
24.968784288843267,0.998,0.999,0.996
25.200049937640923,0.998,0.999,0.997
25.433457613046496,0.998,0.999,0.997
25.669027154919505,0.998,0.999,0.997
25.906778586880076,0.998,0.999,0.997
26.14673211801092,0.998,0.999,0.997
26.388908144575105,0.998,0.999,0.997
26.633327251749822,0.998,0.999,0.997
