name,solver,status,run_time,iter,obj_val,n,m,N
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",COSMO,optimal,2.1652088165283203,200,0.22760960641629208,100,150,25000
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",COSMO,optimal,0.10953617095947266,200,-0.47345441412985545,100,150,25000
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",COSMO,optimal,0.13735103607177734,100,-0.4552445691632798,100,150,25000
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",COSMO,optimal,0.036566972732543945,200,-0.49558763701603137,100,150,25000
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",COSMO,optimal,0.12580108642578125,300,-1.0608801766733107,100,150,25000
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",COSMO,optimal,0.11312508583068848,200,-0.885031560562997,100,150,25000
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",COSMO,optimal,0.0773780345916748,500,-1.4139189658434397,100,150,25000
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",COSMO,optimal,0.40244579315185547,200,-1.0958787361739715,100,150,25000
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",COSMO,optimal,0.11414098739624023,300,-1.147920892061273,100,150,25000
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",COSMO,optimal,0.12213587760925293,200,-0.43227250930318095,100,150,25000
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",COSMO,optimal,0.1691880226135254,200,-0.5646278408352179,100,150,25000
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",COSMO,optimal,0.12468600273132324,200,-0.5382340105931088,100,150,25000
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",COSMO,optimal,0.14892292022705078,300,-0.3005907048729143,100,150,25000
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",COSMO,optimal,0.10961508750915527,300,-0.134159041314816,100,150,25000
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",COSMO,optimal,0.11566996574401855,200,-0.5076728140176501,100,150,25000
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",COSMO,optimal,0.1502699851989746,300,-1.154476898085382,100,150,25000
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",COSMO,optimal,0.09485888481140137,300,-0.1705415775021931,100,150,25000
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",COSMO,optimal,0.0563969612121582,200,-0.1799284596106282,100,150,25000
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",COSMO,optimal,0.09266519546508789,200,-1.913111176923496,100,150,25000
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",COSMO,optimal,0.1496751308441162,200,-0.35785134029470267,100,150,25000
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",COSMO,optimal,0.10016107559204102,300,-0.8151476718099374,100,150,25000
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",COSMO,optimal,0.10643315315246582,300,-0.9033093959254107,100,150,25000
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",COSMO,optimal,0.042634010314941406,200,-0.3770371487463141,100,150,25000
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",COSMO,optimal,0.07413816452026367,300,-0.49361809765021386,100,150,25000
