name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",OSQP,optimal,0.012609243392944336,200,0.22760960641626515,100,150,25000,0,0.001456564,0.009732448,0.0,0
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",OSQP,optimal,0.009385824203491211,150,-0.473591865753197,100,150,25000,0,0.001355409,0.006953543,0.0,0
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",OSQP,optimal,0.007737874984741211,100,-0.45524456916347233,100,150,25000,0,0.001357601,0.005339039,0.0,0
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",OSQP,optimal,0.0147857666015625,225,-0.49583195695817217,100,150,25000,0,0.001656941,0.011581784,0.0,0
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",OSQP,optimal,0.009160041809082031,150,-1.0612956203838895,100,150,25000,0,0.001322717,0.006933181,0.0,0
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",OSQP,optimal,0.017139911651611328,325,-0.8842647398241787,100,150,25000,0,0.001336298,0.014821697,0.0,0
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",OSQP,optimal,0.01811504364013672,350,-1.4130328734196311,100,150,25000,0,0.001197554,0.015974714,0.0,0
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",OSQP,optimal,0.009302139282226562,125,-1.0951442054530438,100,150,25000,0,0.001831154,0.006161467,0.0,0
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",OSQP,optimal,0.01676797866821289,300,-1.1479208920612176,100,150,25000,0,0.001222011,0.014496455,0.0,0
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",OSQP,optimal,0.01018214225769043,175,-0.43399011224920647,100,150,25000,0,0.001305627,0.00782371,0.0,0
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",OSQP,optimal,0.009764909744262695,150,-0.564738239949004,100,150,25000,0,0.001469478,0.007371422,0.0,0
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",OSQP,optimal,0.01535487174987793,275,-0.5392369160945911,100,150,25000,0,0.00142685,0.01258097,0.0,0
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",OSQP,optimal,0.01589202880859375,300,-0.30059070487289685,100,150,25000,0,0.001314131,0.013527297,0.0,0
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",OSQP,optimal,0.01682305335998535,325,-0.133623964665739,100,150,25000,0,0.001303174,0.014528432,0.0,0
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",OSQP,optimal,0.016824960708618164,325,-0.507004354439232,100,150,25000,0,0.001262301,0.014549573,0.0,0
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",OSQP,optimal,0.013915300369262695,250,-1.1538543106846308,100,150,25000,0,0.001336523,0.011420977,0.0,0
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",OSQP,optimal,0.013653993606567383,250,-0.17049237261539207,100,150,25000,0,0.001245421,0.011107378,0.0,0
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",OSQP,optimal,0.01045989990234375,175,-0.17955734746337493,100,150,25000,0,0.001240529,0.008105405,0.0,0
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",OSQP,optimal,0.010636091232299805,150,-1.9108260748928063,100,150,25000,0,0.001806417,0.007512276,0.0,0
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",OSQP,optimal,0.008928060531616211,125,-0.3586907251498658,100,150,25000,0,0.001638825,0.006333677,0.0,0
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",OSQP,optimal,0.010228157043457031,175,-0.8142709907739968,100,150,25000,0,0.001628998,0.007596649,0.0,0
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",OSQP,optimal,0.010000944137573242,150,-0.9031000540500056,100,150,25000,0,0.001301898,0.007661163,0.0,0
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",OSQP,optimal,0.009473800659179688,125,-0.3770245236816194,100,150,25000,0,0.001537859,0.007014609,0.0,0
