name,solver,status,run_time,iter,obj_val,n,m,N
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS,optimal,0.01261281967163086,200,0.2271721624588186,100,150,25000
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS,optimal,0.007774829864501953,100,-0.4739003876131978,100,150,25000
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS,optimal,0.009165048599243164,125,-0.45530116570721324,100,150,25000
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS,optimal,0.009895801544189453,125,-0.49679603730345445,100,150,25000
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS,optimal,0.009945154190063477,150,-1.0616382484101385,100,150,25000
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS,optimal,0.010461807250976562,150,-0.884518264493183,100,150,25000
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS,optimal,0.014986038208007812,225,-1.4132566330200944,100,150,25000
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS,optimal,0.009436845779418945,125,-1.0958083208759553,100,150,25000
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS,optimal,0.009061813354492188,125,-1.14886475335973,100,150,25000
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS,optimal,0.010104894638061523,150,-0.43301158900106973,100,150,25000
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS,optimal,0.13202285766601562,125,-0.5648008599837643,100,150,25000
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS,optimal,0.012784004211425781,150,-0.5393035729886335,100,150,25000
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS,optimal,0.01244807243347168,200,-0.3005483038401332,100,150,25000
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS,optimal,0.015162944793701172,200,-0.1340378984655992,100,150,25000
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS,optimal,0.013147830963134766,175,-0.5081748254254607,100,150,25000
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS,optimal,0.023029804229736328,225,-1.1543885260134028,100,150,25000
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS,optimal,0.012538909912109375,150,-0.1697375028538979,100,150,25000
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS,optimal,0.009582996368408203,125,-0.17954909342537412,100,150,25000
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS,optimal,0.010129928588867188,150,-1.9116452818105607,100,150,25000
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS,optimal,0.008903980255126953,125,-0.35865314783600133,100,150,25000
