tau,SCS,OSQP,COSMO
1.0,0.9,0.1,0.0
1.0092621909870476,0.906,0.105,0.0
1.0186101701559758,0.91,0.114,0.0
1.0280447320933093,0.916,0.121,0.0
1.0375666787451858,0.921,0.128,0.0
1.0471768194855202,0.924,0.132,0.0
1.0568759711848041,0.929,0.139,0.001
1.0666649582795393,0.933,0.147,0.001
1.0765446128423155,0.937,0.151,0.001
1.0865157746525382,0.942,0.156,0.001
1.0965792912678098,0.949,0.166,0.001
1.1067360180959736,0.953,0.173,0.001
1.116986818467823,0.956,0.183,0.001
1.1273325637104867,0.961,0.187,0.001
1.1377741332214912,0.964,0.194,0.001
1.148312414543511,0.967,0.199,0.001
1.158948303439811,0.968,0.208,0.001
1.1696827039703852,0.972,0.222,0.001
1.180516528568805,0.976,0.231,0.001
1.1914506981197759,0.98,0.243,0.001
1.2024861420374122,0.981,0.255,0.001
1.2136237983442408,0.983,0.27,0.002
1.2248646137509314,0.983,0.28,0.002
1.2362095437367686,0.983,0.29,0.002
1.2476595526308696,0.985,0.305,0.002
1.259215613694151,0.985,0.316,0.002
1.2708787092020586,0.985,0.324,0.002
1.2826498305280605,0.987,0.331,0.002
1.2945299782279156,0.987,0.345,0.002
1.306520162124721,0.988,0.353,0.002
1.3186214013947486,0.988,0.365,0.002
1.330834724654075,0.988,0.373,0.002
1.343161170046016,0.99,0.378,0.002
1.3556017853293685,0.992,0.389,0.002
1.3681576279674716,0.992,0.395,0.002
1.3808297652180925,0.992,0.401,0.002
1.3936192742241424,0.993,0.411,0.002
1.406527242105237,0.993,0.424,0.002
1.4195547660501011,0.993,0.431,0.002
1.4327029534098308,0.994,0.433,0.002
1.4459729217920199,0.994,0.438,0.002
1.4593657991557567,0.994,0.445,0.002
1.4728827239075026,0.994,0.452,0.003
1.4865248449978568,0.995,0.455,0.004
1.5002933220192183,0.995,0.464,0.004
1.5141893253043521,0.996,0.478,0.004
1.5282140360258698,0.996,0.486,0.004
1.5423686462966282,0.996,0.5,0.004
1.5566543592710615,0.996,0.508,0.004
1.5710723892474503,0.996,0.518,0.004
1.5856239617711374,0.996,0.525,0.005
1.6003103137387007,0.996,0.534,0.005
1.6151326935030905,0.996,0.54,0.005
1.6300923609797406,0.996,0.545,0.006
1.6451905877536626,0.996,0.552,0.006
1.66042865718753,0.998,0.562,0.006
1.6758078645307677,0.998,0.571,0.006
1.691329517029648,0.998,0.577,0.006
1.7069949340384074,0.998,0.579,0.006
1.722805447131394,0.998,0.586,0.006
1.7387624002162507,0.998,0.592,0.007
1.754867149648151,0.998,0.6,0.007
1.7711210643450879,0.998,0.603,0.007
1.787525525904235,0.998,0.614,0.008
1.8040819287193828,0.998,0.621,0.009
1.820791680099463,0.998,0.629,0.009
1.8376562003881711,0.998,0.639,0.01
1.8546769230846987,0.998,0.642,0.011
1.8718552949655787,0.998,0.646,0.012
1.8891927762076663,0.998,0.655,0.012
1.9066908405122525,0.998,0.657,0.012
1.924350975230331,0.998,0.666,0.015
1.9421746814890257,0.998,0.671,0.015
1.9601634743191854,0.998,0.676,0.016
1.9783188827841642,0.998,0.684,0.017
1.996642450109794,0.998,0.687,0.019
2.0151357338155576,0.998,0.693,0.019
2.0338003058469813,0.998,0.697,0.02
2.052637752709252,0.998,0.707,0.021
2.071649675602069,0.998,0.714,0.022
2.0908376905557504,0.998,0.719,0.022
2.1102034285685956,0.998,0.722,0.022
2.12974853574552,0.998,0.726,0.024
2.14947467343798,0.998,0.729,0.025
2.1693835183851844,0.998,0.733,0.025
2.1894767628566214,0.998,0.736,0.026
2.209756114795902,0.999,0.738,0.028
2.2302232979659378,0.999,0.741,0.029
2.2508800520954613,0.999,0.744,0.03
2.2717281330269055,0.999,0.747,0.03
2.2927693128656492,0.999,0.749,0.031
2.314005380130653,0.999,0.75,0.032
2.3354381399064787,0.999,0.751,0.033
2.3570694139967276,0.999,0.753,0.035
2.3789010410788936,0.999,0.756,0.035
2.4009348768606524,0.999,0.762,0.035
2.4231727942375993,0.999,0.764,0.036
2.445616683452446,0.999,0.765,0.037
2.468268452255692,0.999,0.766,0.038
2.491130026067789,0.999,0.769,0.039
2.5142033481427974,0.999,0.772,0.04
2.5374903797335704,0.999,0.774,0.042
2.5609931002584587,0.999,0.781,0.044
2.5847135074695635,0.999,0.782,0.045
2.608653617622548,0.999,0.785,0.045
2.632815465648021,0.999,0.788,0.046
2.6572011053245053,0.999,0.789,0.046
2.681812609453015,0.999,0.791,0.046
2.7066520700332415,0.999,0.795,0.048
2.7317215984413767,0.999,0.796,0.05
2.7570233256095835,0.999,0.797,0.051
2.7825594022071245,0.999,0.797,0.053
2.808331998823172,0.999,0.799,0.055
2.8343433061513092,0.999,0.799,0.055
2.8605955351757424,0.999,0.801,0.057
2.887090917359236,0.999,0.805,0.06
2.9138317048327873,0.999,0.806,0.06
2.940820170587063,0.999,0.811,0.06
2.9680586086656024,0.999,0.812,0.06
2.9955493343598136,0.999,0.816,0.06
3.0232946844057773,0.999,0.818,0.061
3.0512970171828697,0.999,0.819,0.061
3.079558712914226,0.999,0.821,0.063
3.108082173869064,0.999,0.822,0.063
3.1368698245668774,0.999,0.823,0.063
3.1659241119835224,0.999,0.824,0.063
3.195247505759212,0.999,0.825,0.063
3.2248424984084414,0.999,0.827,0.064
3.254711605531848,0.999,0.831,0.066
3.2848573660300446,0.999,0.832,0.067
3.315282342319425,0.999,0.833,0.067
3.345989120549973,0.999,0.835,0.067
3.3769803108250906,0.999,0.836,0.068
3.408258547423452,0.999,0.836,0.069
3.4398264890229253,0.999,0.839,0.07
3.4716868189265613,0.999,0.839,0.071
