name,solver,status,run_time,iter,obj_val,n,m,N
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",COSMO,optimal,3.298983097076416,700,-0.25525297414072157,100,150,25000
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",COSMO,optimal,0.05469489097595215,400,-0.4924990538656905,100,150,25000
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",COSMO,optimal,0.0535428524017334,400,-0.4258959990865068,100,150,25000
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",COSMO,optimal,0.0625300407409668,500,-0.5460839173228332,100,150,25000
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",COSMO,optimal,0.07602214813232422,600,-0.6774728717744599,100,150,25000
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",COSMO,optimal,0.05423903465270996,400,-0.5160079323532858,100,150,25000
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",COSMO,optimal,0.099639892578125,800,-0.49905420906107545,100,150,25000
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",COSMO,optimal,0.09605002403259277,800,-0.23119801176891924,100,150,25000
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",COSMO,optimal,0.10600495338439941,800,-0.67051047444205,100,150,25000
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",COSMO,optimal,0.06857705116271973,400,-0.3106088703863508,100,150,25000
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",COSMO,optimal,0.0830681324005127,600,-0.5224212575401193,100,150,25000
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",COSMO,optimal,0.06924700736999512,400,-0.3445992045252102,100,150,25000
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",COSMO,optimal,0.07470011711120605,600,-0.5007636479670772,100,150,25000
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",COSMO,max_iter_reached,14.530444145202637,100000,-0.12488278539264819,100,150,25000
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",COSMO,optimal,0.10410881042480469,600,-0.3075216338639796,100,150,25000
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",COSMO,optimal,0.09919095039367676,600,-0.5641874238139222,100,150,25000
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",COSMO,optimal,0.11931896209716797,700,-0.34353668737233256,100,150,25000
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",COSMO,optimal,0.0803990364074707,500,-0.6217901760434174,100,150,25000
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",COSMO,optimal,0.07250618934631348,400,-0.47231304932985396,100,150,25000
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",COSMO,optimal,0.07906007766723633,500,-0.41439756029409763,100,150,25000
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",COSMO,optimal,0.07593297958374023,500,-0.4573108000539081,100,150,25000
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",COSMO,optimal,0.10330700874328613,600,-0.5488570381613064,100,150,25000
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",COSMO,optimal,0.06502509117126465,400,-0.5564362994892132,100,150,25000
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",COSMO,optimal,0.07862615585327148,500,-0.6287159787819748,100,150,25000
"FEASIBLE:prob=24:seed=1258:shape=(150, 100)",COSMO,optimal,0.06773996353149414,400,-0.4928577873718844,100,150,25000
"FEASIBLE:prob=25:seed=1259:shape=(150, 100)",COSMO,optimal,0.08246397972106934,500,-0.21183459663130846,100,150,25000
"FEASIBLE:prob=26:seed=1260:shape=(150, 100)",COSMO,optimal,0.11526703834533691,700,-0.5584245668868754,100,150,25000
"FEASIBLE:prob=27:seed=1261:shape=(150, 100)",COSMO,optimal,0.06795692443847656,400,-0.48626399340815946,100,150,25000
"FEASIBLE:prob=28:seed=1262:shape=(150, 100)",COSMO,optimal,0.0743398666381836,500,-0.5612431764231842,100,150,25000
"FEASIBLE:prob=29:seed=1263:shape=(150, 100)",COSMO,optimal,0.09970402717590332,400,-0.5607218734520694,100,150,25000
"FEASIBLE:prob=30:seed=1264:shape=(150, 100)",COSMO,optimal,0.19893813133239746,1300,-0.3694587998847491,100,150,25000
"FEASIBLE:prob=31:seed=1265:shape=(150, 100)",COSMO,optimal,0.16013121604919434,700,-0.4101900284486618,100,150,25000
"FEASIBLE:prob=32:seed=1266:shape=(150, 100)",COSMO,optimal,0.0784461498260498,400,-0.2596647748175537,100,150,25000
"FEASIBLE:prob=33:seed=1267:shape=(150, 100)",COSMO,optimal,0.09413599967956543,600,-0.4734989840237661,100,150,25000
"FEASIBLE:prob=34:seed=1268:shape=(150, 100)",COSMO,optimal,0.06304788589477539,400,-0.5425270263380189,100,150,25000
"FEASIBLE:prob=35:seed=1269:shape=(150, 100)",COSMO,optimal,0.09798288345336914,700,-0.10440871893281693,100,150,25000
"FEASIBLE:prob=36:seed=1270:shape=(150, 100)",COSMO,optimal,0.060730934143066406,400,-0.2449064300932252,100,150,25000
"FEASIBLE:prob=37:seed=1271:shape=(150, 100)",COSMO,optimal,0.07275104522705078,500,-0.4289592850709233,100,150,25000
"FEASIBLE:prob=38:seed=1272:shape=(150, 100)",COSMO,optimal,0.05634284019470215,400,-0.40514553628000094,100,150,25000
"FEASIBLE:prob=39:seed=1273:shape=(150, 100)",COSMO,optimal,0.08005499839782715,500,-0.5384091453894314,100,150,25000
"FEASIBLE:prob=40:seed=1274:shape=(150, 100)",COSMO,optimal,0.05866193771362305,400,-0.6946225863897015,100,150,25000
"FEASIBLE:prob=41:seed=1275:shape=(150, 100)",COSMO,optimal,0.08562207221984863,600,-0.47714181100625036,100,150,25000
"FEASIBLE:prob=42:seed=1276:shape=(150, 100)",COSMO,optimal,0.0877068042755127,600,-0.45929843211459714,100,150,25000
"FEASIBLE:prob=43:seed=1277:shape=(150, 100)",COSMO,optimal,0.08692193031311035,600,-0.2647394379434553,100,150,25000
"FEASIBLE:prob=44:seed=1278:shape=(150, 100)",COSMO,optimal,0.058721065521240234,400,-0.23023162882322065,100,150,25000
"FEASIBLE:prob=45:seed=1279:shape=(150, 100)",COSMO,optimal,0.05749106407165527,400,-0.4969392070789083,100,150,25000
"FEASIBLE:prob=46:seed=1280:shape=(150, 100)",COSMO,max_iter_reached,15.65364694595337,100000,-0.07539951930022744,100,150,25000
"FEASIBLE:prob=47:seed=1281:shape=(150, 100)",COSMO,optimal,0.11313891410827637,600,-0.47613528831045954,100,150,25000
