tau,SCS,OSQP,COSMO
1.0,0.226,0.747,0.027
1.0092621909870476,0.228,0.757,0.027
1.0186101701559758,0.229,0.76,0.029
1.0280447320933093,0.231,0.766,0.031
1.0375666787451858,0.234,0.768,0.032
1.0471768194855202,0.239,0.772,0.032
1.0568759711848041,0.246,0.776,0.032
1.0666649582795393,0.248,0.783,0.035
1.0765446128423155,0.257,0.787,0.036
1.0865157746525382,0.259,0.791,0.038
1.0965792912678098,0.263,0.796,0.038
1.1067360180959736,0.27,0.8,0.041
1.116986818467823,0.273,0.806,0.044
1.1273325637104867,0.278,0.808,0.046
1.1377741332214912,0.282,0.811,0.046
1.148312414543511,0.29,0.813,0.049
1.158948303439811,0.293,0.819,0.052
1.1696827039703852,0.3,0.821,0.053
1.180516528568805,0.304,0.824,0.056
1.1914506981197759,0.31,0.826,0.059
1.2024861420374122,0.312,0.83,0.06
1.2136237983442408,0.316,0.833,0.062
1.2248646137509314,0.32,0.836,0.067
1.2362095437367686,0.324,0.842,0.067
1.2476595526308696,0.329,0.843,0.07
1.259215613694151,0.337,0.844,0.074
1.2708787092020586,0.342,0.847,0.075
1.2826498305280605,0.345,0.849,0.081
1.2945299782279156,0.352,0.853,0.084
1.306520162124721,0.356,0.857,0.088
1.3186214013947486,0.361,0.859,0.091
1.330834724654075,0.372,0.862,0.092
1.343161170046016,0.38,0.866,0.099
1.3556017853293685,0.388,0.867,0.103
1.3681576279674716,0.396,0.87,0.108
1.3808297652180925,0.402,0.872,0.111
1.3936192742241424,0.408,0.876,0.114
1.406527242105237,0.413,0.881,0.119
1.4195547660501011,0.42,0.883,0.124
1.4327029534098308,0.429,0.885,0.129
1.4459729217920199,0.44,0.888,0.135
1.4593657991557567,0.446,0.89,0.137
1.4728827239075026,0.453,0.893,0.138
1.4865248449978568,0.459,0.895,0.144
1.5002933220192183,0.466,0.898,0.151
1.5141893253043521,0.474,0.9,0.159
1.5282140360258698,0.485,0.904,0.163
1.5423686462966282,0.49,0.908,0.166
1.5566543592710615,0.496,0.91,0.174
1.5710723892474503,0.498,0.911,0.178
1.5856239617711374,0.502,0.913,0.185
1.6003103137387007,0.51,0.915,0.187
1.6151326935030905,0.522,0.916,0.189
1.6300923609797406,0.531,0.919,0.192
1.6451905877536626,0.537,0.92,0.198
1.66042865718753,0.545,0.92,0.206
1.6758078645307677,0.549,0.92,0.208
1.691329517029648,0.553,0.922,0.214
1.7069949340384074,0.562,0.923,0.222
1.722805447131394,0.574,0.923,0.225
1.7387624002162507,0.58,0.926,0.234
1.754867149648151,0.59,0.928,0.24
1.7711210643450879,0.594,0.932,0.246
1.787525525904235,0.607,0.932,0.249
1.8040819287193828,0.616,0.933,0.254
1.820791680099463,0.619,0.935,0.261
1.8376562003881711,0.628,0.937,0.273
1.8546769230846987,0.631,0.94,0.28
1.8718552949655787,0.638,0.94,0.287
1.8891927762076663,0.642,0.94,0.296
