name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",OSQP,optimal,0.0075359344482421875,125,0.22644962316134962,100,150,25000,0,0.001369201,0.005256625,0.0,0
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",OSQP,optimal,0.008656024932861328,150,-0.4734115473323683,100,150,25000,0,0.001420946,0.006329592,0.0,0
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",OSQP,optimal,0.00998687744140625,200,-0.45477913138910075,100,150,25000,0,0.001196725,0.007965055,0.0,0
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",OSQP,optimal,0.008060932159423828,150,-0.49588561361418865,100,150,25000,0,0.001179741,0.006016744,0.0,0
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",OSQP,optimal,0.008925914764404297,150,-1.0611819886515692,100,150,25000,0,0.001282933,0.006357433,0.0,0
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",OSQP,optimal,0.0071790218353271484,125,-0.8840853281492385,100,150,25000,0,0.001337021,0.005045477,0.0,0
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",OSQP,optimal,0.011338949203491211,125,-1.41453484917948,100,150,25000,0,0.002900836,0.006877824,0.0,0
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",OSQP,optimal,0.010123014450073242,150,-1.0953589048830372,100,150,25000,0,0.00138327,0.007865085,0.0,0
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",OSQP,optimal,0.014821052551269531,325,-1.149463906078314,100,150,25000,0,0.001225414,0.012724192,0.0,0
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",OSQP,optimal,0.007983684539794922,125,-0.43343331333839863,100,150,25000,0,0.001746025,0.005143204,0.0,0
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",OSQP,optimal,0.013988733291625977,300,-0.5651731674094371,100,150,25000,0,0.001196445,0.011951612,0.0,0
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",OSQP,optimal,0.008423805236816406,150,-0.5387281076523297,100,150,25000,0,0.001276381,0.006307666,0.0,0
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",OSQP,optimal,0.009203910827636719,175,-0.30001569480428186,100,150,25000,0,0.001433018,0.006933233,0.0,0
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",OSQP,optimal,0.0063631534576416016,100,-0.13376863698303562,100,150,25000,0,0.001328875,0.004154697,0.0,0
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",OSQP,optimal,0.0082550048828125,150,-0.5073157536484161,100,150,25000,0,0.001251868,0.006158832,0.0,0
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",OSQP,optimal,0.009874820709228516,175,-1.1543532170953998,100,150,25000,0,0.001347411,0.00769426,0.0,1
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",OSQP,optimal,0.008362770080566406,125,-0.16995256142831716,100,150,25000,0,0.001321692,0.006142266,0.0,0
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",OSQP,optimal,0.01026463508605957,175,-0.18027854879207356,100,150,25000,0,0.001259382,0.008116789,0.0,0
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",OSQP,optimal,0.010379791259765625,200,-1.9127724885701265,100,150,25000,0,0.001398511,0.008146608,0.0,0
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",OSQP,optimal,0.0075190067291259766,125,-0.35896128904333074,100,150,25000,0,0.001326492,0.005115402,0.0,0
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",OSQP,optimal,0.010557889938354492,200,-0.8135664809683656,100,150,25000,0,0.001255484,0.008407621,0.0,0
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",OSQP,optimal,0.009630203247070312,175,-0.9016426964158429,100,150,25000,0,0.001721242,0.007098328,0.0,0
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",OSQP,optimal,0.00826120376586914,150,-0.37727144526572365,100,150,25000,0,0.00119839,0.006144486,0.0,0
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",OSQP,optimal,0.017147302627563477,350,-0.49319767254996427,100,150,25000,0,0.0014857,0.014665262,0.0,1
"FEASIBLE:prob=24:seed=1258:shape=(150, 100)",OSQP,optimal,0.006086111068725586,75,-0.20834006853113382,100,150,25000,0,0.001425081,0.003609855,0.0,0
"FEASIBLE:prob=25:seed=1259:shape=(150, 100)",OSQP,optimal,0.006106138229370117,100,0.008564292022020468,100,150,25000,0,0.001280624,0.003991759,0.0,0
"FEASIBLE:prob=26:seed=1260:shape=(150, 100)",OSQP,optimal,0.012666940689086914,250,-0.0651697925301619,100,150,25000,0,0.001570759,0.010083606,0.0,0
"FEASIBLE:prob=27:seed=1261:shape=(150, 100)",OSQP,optimal,0.0071680545806884766,100,-0.16905472715491637,100,150,25000,0,0.001311334,0.005004114,0.0,0
"FEASIBLE:prob=28:seed=1262:shape=(150, 100)",OSQP,optimal,0.009256124496459961,175,-0.28089771006610786,100,150,25000,0,0.00119817,0.006969423,0.0,0
"FEASIBLE:prob=29:seed=1263:shape=(150, 100)",OSQP,optimal,0.013612031936645508,275,-0.8197397416965839,100,150,25000,0,0.001186917,0.011558151,0.0,0
"FEASIBLE:prob=30:seed=1264:shape=(150, 100)",OSQP,optimal,0.017399072647094727,350,-0.8647383210803263,100,150,25000,0,0.001229159,0.015351624,0.0,1
"FEASIBLE:prob=31:seed=1265:shape=(150, 100)",OSQP,optimal,0.008210897445678711,150,-0.44955071337247204,100,150,25000,0,0.001391903,0.005881217,0.0,0
"FEASIBLE:prob=32:seed=1266:shape=(150, 100)",OSQP,optimal,0.013158082962036133,225,-0.025232048124299414,100,150,25000,0,0.001351278,0.010845481,0.0,1
"FEASIBLE:prob=33:seed=1267:shape=(150, 100)",OSQP,optimal,0.014819145202636719,325,-0.30140816044757385,100,150,25000,0,0.001190013,0.012729123,0.0,0
