name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS-3.0,optimal,0.014470100402832031,175,0.226804997846935,100,150,25000,4.881154,8.086182,0.1,0
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS-3.0,optimal,0.011887788772583008,125,-0.47326936682078513,100,150,25000,5.009492,5.63831,0.1,0
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS-3.0,optimal,0.012598037719726562,150,-0.4558173710675295,100,150,25000,4.680648,6.661508,0.1,0
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS-3.0,optimal,0.011645793914794922,125,-0.4967783206868931,100,150,25000,4.858466,5.73804,0.1,0
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS-3.0,optimal,0.00950765609741211,100,-1.061300779781229,100,150,25000,4.290403,4.173677,0.1,0
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS-3.0,optimal,0.010225296020507812,100,-0.884588040322835,100,150,25000,5.043724,4.214132,0.1,0
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS-3.0,optimal,0.015152931213378906,200,-1.4135192682974551,100,150,25000,4.73051,9.124548,0.1,0
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS-3.0,optimal,0.013794898986816406,175,-1.095900518042392,100,150,25000,4.692981,7.935921,0.1,0
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS-3.0,optimal,0.012841224670410156,175,-1.1484622625387593,100,150,25000,4.125118,7.656767,0.1,0
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS-3.0,optimal,0.011185884475708008,125,-0.4329875898495713,100,150,25000,4.960995,5.175334,0.1,0
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS-3.0,optimal,0.011509895324707031,125,-0.5645158934795088,100,150,25000,4.886844,5.292724,0.1,0
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS-3.0,optimal,0.010437965393066406,100,-0.5389818600787261,100,150,25000,4.434757,4.966679,0.1,0
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS-3.0,optimal,0.013878822326660156,200,-0.30080022689508756,100,150,25000,4.4695,8.298517,0.1,0
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS-3.0,optimal,0.010404109954833984,100,-0.13377025516267232,100,150,25000,4.961445,4.336394,0.1,0
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS-3.0,optimal,0.014406204223632812,175,-0.5078033932745903,100,150,25000,5.310872,7.702046,0.1,0
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS-3.0,optimal,0.012131929397583008,125,-1.153919422329081,100,150,25000,4.797142,5.996394,0.1,0
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS-3.0,optimal,0.010561704635620117,125,-0.16962705977623616,100,150,25000,4.146256,5.282223,0.1,0
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS-3.0,optimal,0.01155710220336914,125,-0.17930723523966505,100,150,25000,4.587276,5.64103,0.1,0
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS-3.0,optimal,0.01653885841369629,250,-1.9119156303020328,100,150,25000,4.71161,10.642234,0.1,0
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS-3.0,optimal,0.010919332504272461,125,-0.35902489110774505,100,150,25000,4.239721,5.673882,0.1,0
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS-3.0,optimal,0.010360240936279297,125,-0.8140256442709444,100,150,25000,4.277058,5.107648,0.1,0
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS-3.0,optimal,0.014065980911254883,200,-0.9026137676436774,100,150,25000,4.307247,8.75077,0.1,0
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS-3.0,optimal,0.011970043182373047,125,-0.37720709610628644,100,150,25000,4.959834,5.656187,0.1,0
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS-3.0,optimal,0.020607948303222656,350,-0.49326595913391363,100,150,25000,4.288263,15.329488,0.1,0
"FEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS-3.0,optimal,0.011408329010009766,150,-0.208794427199524,100,150,25000,4.045235,6.353804,0.1,0
"FEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS-3.0,optimal,0.00993490219116211,100,0.008728236298498754,100,150,25000,4.722861,4.24022,0.1,0
"FEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS-3.0,optimal,0.012243032455444336,150,-0.06642451319460352,100,150,25000,4.343108,6.666918,0.1,0
"FEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS-3.0,optimal,0.010814905166625977,125,-0.16960888991162948,100,150,25000,4.156616,5.643074,0.1,0
"FEASIBLE:prob=28:seed=1262:shape=(150, 100)",SCS-3.0,optimal,0.011883974075317383,150,-0.2803136645720512,100,150,25000,4.586744,6.215076,0.1,0
"FEASIBLE:prob=29:seed=1263:shape=(150, 100)",SCS-3.0,optimal,0.010720014572143555,125,-0.8194401344561502,100,150,25000,4.141282,5.414633,0.1,0
"FEASIBLE:prob=30:seed=1264:shape=(150, 100)",SCS-3.0,optimal,0.012720108032226562,150,-0.8651982964972522,100,150,25000,4.679496,7.073348,0.1,0
"FEASIBLE:prob=31:seed=1265:shape=(150, 100)",SCS-3.0,optimal,0.014602184295654297,225,-0.44915889171683004,100,150,25000,4.085719,9.516475,0.1,0
"FEASIBLE:prob=32:seed=1266:shape=(150, 100)",SCS-3.0,optimal,0.012758970260620117,175,-0.025462731328844863,100,150,25000,4.630364,7.174225,0.1,0
"FEASIBLE:prob=33:seed=1267:shape=(150, 100)",SCS-3.0,optimal,0.015295028686523438,200,-0.3022154064486595,100,150,25000,5.302488,8.540399,0.1,0
"FEASIBLE:prob=34:seed=1268:shape=(150, 100)",SCS-3.0,optimal,0.011804819107055664,125,-0.873035111190607,100,150,25000,4.613648,6.008357,0.1,0
"FEASIBLE:prob=35:seed=1269:shape=(150, 100)",SCS-3.0,optimal,0.011412858963012695,125,0.071403393486736,100,150,25000,4.748184,5.651552,0.1,0
"FEASIBLE:prob=36:seed=1270:shape=(150, 100)",SCS-3.0,optimal,0.011696100234985352,150,-0.39340479922807325,100,150,25000,4.547964,6.158559,0.1,0
"FEASIBLE:prob=37:seed=1271:shape=(150, 100)",SCS-3.0,optimal,0.015420913696289062,200,-0.2327678372256444,100,150,25000,4.923614,9.24383,0.1,0
"FEASIBLE:prob=38:seed=1272:shape=(150, 100)",SCS-3.0,optimal,0.009819269180297852,100,-2.1752357478966413,100,150,25000,4.267949,4.408194,0.1,0
"FEASIBLE:prob=39:seed=1273:shape=(150, 100)",SCS-3.0,optimal,0.00901031494140625,75,-0.3956425843703314,100,150,25000,4.549238,3.470735,0.1,0
"FEASIBLE:prob=40:seed=1274:shape=(150, 100)",SCS-3.0,optimal,0.010519027709960938,125,-0.30010057603947077,100,150,25000,4.3544,5.063172,0.1,0
"FEASIBLE:prob=41:seed=1275:shape=(150, 100)",SCS-3.0,optimal,0.015843868255615234,250,-0.392620417427456,100,150,25000,4.183055,10.629644,0.1,0
"FEASIBLE:prob=42:seed=1276:shape=(150, 100)",SCS-3.0,optimal,0.011213064193725586,125,-0.03852088845780258,100,150,25000,4.467374,5.553824,0.1,0
"FEASIBLE:prob=43:seed=1277:shape=(150, 100)",SCS-3.0,optimal,0.012340068817138672,150,0.07299577636328475,100,150,25000,4.148675,7.193049,0.1,0
"FEASIBLE:prob=44:seed=1278:shape=(150, 100)",SCS-3.0,optimal,0.011490106582641602,150,0.10254685258901974,100,150,25000,4.150391,6.240186,0.1,0
"FEASIBLE:prob=45:seed=1279:shape=(150, 100)",SCS-3.0,optimal,0.010877847671508789,125,-0.17580975938317775,100,150,25000,4.302798,5.37663,0.1,0
"FEASIBLE:prob=46:seed=1280:shape=(150, 100)",SCS-3.0,optimal,0.013093233108520508,150,-0.041404090226376894,100,150,25000,4.711581,7.38631,0.1,0
"FEASIBLE:prob=47:seed=1281:shape=(150, 100)",SCS-3.0,optimal,0.012570858001708984,100,-0.233491330032785,100,150,25000,5.390801,5.789818,0.1,0
"FEASIBLE:prob=48:seed=1282:shape=(150, 100)",SCS-3.0,optimal,0.009816884994506836,100,-0.2620487332423484,100,150,25000,4.522474,4.208323,0.1,0
"FEASIBLE:prob=49:seed=1283:shape=(150, 100)",SCS-3.0,optimal,0.011128902435302734,125,-0.2815719765266996,100,150,25000,4.473756,5.515434,0.1,0
"FEASIBLE:prob=50:seed=1284:shape=(150, 100)",SCS-3.0,optimal,0.010270118713378906,100,-0.2807804430419521,100,150,25000,4.598627,4.601663,0.1,0
"FEASIBLE:prob=51:seed=1285:shape=(150, 100)",SCS-3.0,optimal,0.010283946990966797,125,-0.15631480143534976,100,150,25000,4.114545,5.274847,0.1,0
"FEASIBLE:prob=52:seed=1286:shape=(150, 100)",SCS-3.0,optimal,0.009594202041625977,100,-0.6509102361019955,100,150,25000,4.202728,4.303067,0.1,0
"FEASIBLE:prob=53:seed=1287:shape=(150, 100)",SCS-3.0,optimal,0.012799263000488281,150,-0.2841620307364596,100,150,25000,4.610495,7.130245,0.1,0
"FEASIBLE:prob=54:seed=1288:shape=(150, 100)",SCS-3.0,optimal,0.011225700378417969,150,-0.9298352847907579,100,150,25000,4.118255,6.121395,0.1,0
