name,solver,status,run_time,iter,obj_val,n,m,N
"FEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS,optimal,0.05113577842712402,425,3.3881467010830493,100,150,25000
"FEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS,optimal,0.03812098503112793,150,-0.8053209416896233,100,150,25000
"FEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS,optimal,0.021272897720336914,125,-2.5386019780526383,100,150,25000
"FEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS,optimal,0.025196075439453125,150,0.34182242373797606,100,150,25000
"FEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS,optimal,0.02900409698486328,225,-5.16528615872201,100,150,25000
"FEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS,optimal,0.02277398109436035,150,-4.07726636083604,100,150,25000
"FEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS,optimal,0.052451133728027344,425,-3.3157508876269177,100,150,25000
"FEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS,optimal,0.03547024726867676,175,-0.09270202208081546,100,150,25000
"FEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS,optimal,0.035018205642700195,275,-3.999438291247985,100,150,25000
"FEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS,optimal,0.02055811882019043,125,1.2299947580273807,100,150,25000
"FEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS,optimal,0.022799253463745117,150,-1.460863760641827,100,150,25000
"FEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS,optimal,0.024346113204956055,175,0.504242722334369,100,150,25000
"FEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS,optimal,0.039093017578125,325,-2.1321199200685674,100,150,25000
"FEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS,optimal,0.036290884017944336,275,-1.0107331745874917,100,150,25000
"FEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS,optimal,0.027769088745117188,200,0.24622285380921727,100,150,25000
"FEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS,optimal,0.03210711479187012,225,-1.9865036892431736,100,150,25000
"FEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS,optimal,0.0348358154296875,275,-1.108203168491903,100,150,25000
"FEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS,optimal,0.021806955337524414,150,-0.12794175437425306,100,150,25000
"FEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS,optimal,0.024941682815551758,200,0.5651748253347677,100,150,25000
"FEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS,optimal,0.024753093719482422,175,-2.420445899504899,100,150,25000
"FEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS,optimal,0.03201603889465332,275,-4.325862296275593,100,150,25000
"FEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS,optimal,0.032933950424194336,275,-0.8403610601125169,100,150,25000
"FEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS,optimal,0.01970195770263672,125,-2.837838555387784,100,150,25000
"FEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS,optimal,0.044358253479003906,375,-2.0242368494084744,100,150,25000
"FEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS,optimal,0.026721954345703125,200,-0.00017599615984523198,100,150,25000
"FEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS,optimal,0.024183034896850586,175,1.5675184842119227,100,150,25000
"FEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS,optimal,0.028516769409179688,225,0.8120768958286532,100,150,25000
"FEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS,optimal,0.022547006607055664,150,0.630261634359415,100,150,25000
"FEASIBLE:prob=28:seed=1262:shape=(150, 100)",SCS,optimal,0.024098873138427734,175,0.3860391128358481,100,150,25000
"FEASIBLE:prob=29:seed=1263:shape=(150, 100)",SCS,optimal,0.030956268310546875,250,-3.0138812959180554,100,150,25000
"FEASIBLE:prob=30:seed=1264:shape=(150, 100)",SCS,optimal,0.051985979080200195,425,0.11555230058091193,100,150,25000
"FEASIBLE:prob=31:seed=1265:shape=(150, 100)",SCS,optimal,0.03531694412231445,275,-0.8134023719529577,100,150,25000
"FEASIBLE:prob=32:seed=1266:shape=(150, 100)",SCS,optimal,0.028384923934936523,200,0.1769044082980102,100,150,25000
"FEASIBLE:prob=33:seed=1267:shape=(150, 100)",SCS,optimal,0.052240848541259766,475,-2.1853586774343903,100,150,25000
"FEASIBLE:prob=34:seed=1268:shape=(150, 100)",SCS,optimal,0.024317026138305664,175,-2.8900281152123832,100,150,25000
"FEASIBLE:prob=35:seed=1269:shape=(150, 100)",SCS,optimal,0.021512985229492188,150,1.8620471652796127,100,150,25000
"FEASIBLE:prob=36:seed=1270:shape=(150, 100)",SCS,optimal,0.028009891510009766,200,1.6368936958190425,100,150,25000
"FEASIBLE:prob=37:seed=1271:shape=(150, 100)",SCS,optimal,0.034973859786987305,300,-1.2110444716172435,100,150,25000
"FEASIBLE:prob=38:seed=1272:shape=(150, 100)",SCS,optimal,0.023100852966308594,150,-3.636105081522706,100,150,25000
"FEASIBLE:prob=39:seed=1273:shape=(150, 100)",SCS,optimal,0.021866798400878906,150,-1.7108543769382516,100,150,25000
"FEASIBLE:prob=40:seed=1274:shape=(150, 100)",SCS,optimal,0.029858112335205078,225,-1.4827351685491998,100,150,25000
"FEASIBLE:prob=41:seed=1275:shape=(150, 100)",SCS,optimal,0.03869795799255371,325,-1.233113255148014,100,150,25000
"FEASIBLE:prob=42:seed=1276:shape=(150, 100)",SCS,optimal,0.036797285079956055,300,0.9987733518290789,100,150,25000
"FEASIBLE:prob=43:seed=1277:shape=(150, 100)",SCS,optimal,0.041465044021606445,350,1.7291127952303684,100,150,25000
"FEASIBLE:prob=44:seed=1278:shape=(150, 100)",SCS,optimal,0.028957843780517578,200,7.555723333382167,100,150,25000
"FEASIBLE:prob=45:seed=1279:shape=(150, 100)",SCS,optimal,0.020141124725341797,125,-0.8334282227838933,100,150,25000
"FEASIBLE:prob=46:seed=1280:shape=(150, 100)",SCS,optimal,0.030183076858520508,225,1.6431067307768548,100,150,25000
"FEASIBLE:prob=47:seed=1281:shape=(150, 100)",SCS,optimal,0.02880382537841797,200,0.2270647388194461,100,150,25000
"FEASIBLE:prob=48:seed=1282:shape=(150, 100)",SCS,optimal,0.02935028076171875,175,-1.874241030423836,100,150,25000
"FEASIBLE:prob=49:seed=1283:shape=(150, 100)",SCS,optimal,0.042755126953125,350,-0.2759400678938154,100,150,25000
"FEASIBLE:prob=50:seed=1284:shape=(150, 100)",SCS,optimal,0.02337169647216797,150,-0.7668489371717445,100,150,25000
