tau,SCS,OSQP,COSMO
1.0,0.549,0.349,0.102
1.0092621909870476,0.557,0.357,0.103
1.0186101701559758,0.565,0.366,0.106
1.0280447320933093,0.574,0.378,0.107
1.0375666787451858,0.589,0.389,0.113
1.0471768194855202,0.601,0.4,0.115
1.0568759711848041,0.609,0.411,0.12
1.0666649582795393,0.618,0.424,0.12
1.0765446128423155,0.634,0.436,0.125
1.0865157746525382,0.646,0.451,0.128
1.0965792912678098,0.652,0.469,0.131
1.1067360180959736,0.663,0.476,0.138
1.116986818467823,0.674,0.486,0.141
1.1273325637104867,0.681,0.492,0.147
1.1377741332214912,0.688,0.502,0.151
1.148312414543511,0.698,0.508,0.157
1.158948303439811,0.702,0.522,0.164
1.1696827039703852,0.71,0.535,0.171
1.180516528568805,0.721,0.541,0.172
1.1914506981197759,0.73,0.558,0.178
1.2024861420374122,0.738,0.565,0.181
1.2136237983442408,0.75,0.582,0.184
1.2248646137509314,0.761,0.592,0.192
1.2362095437367686,0.771,0.605,0.2
1.2476595526308696,0.779,0.616,0.204
1.259215613694151,0.788,0.626,0.209
1.2708787092020586,0.794,0.632,0.213
1.2826498305280605,0.8,0.641,0.22
1.2945299782279156,0.805,0.654,0.225
1.306520162124721,0.812,0.663,0.231
1.3186214013947486,0.828,0.672,0.238
1.330834724654075,0.835,0.68,0.247
1.343161170046016,0.841,0.688,0.248
1.3556017853293685,0.847,0.698,0.258
1.3681576279674716,0.853,0.704,0.264
1.3808297652180925,0.859,0.717,0.267
1.3936192742241424,0.866,0.721,0.273
1.406527242105237,0.878,0.729,0.277
1.4195547660501011,0.884,0.743,0.283
1.4327029534098308,0.896,0.753,0.284
1.4459729217920199,0.9,0.764,0.291
1.4593657991557567,0.905,0.771,0.299
1.4728827239075026,0.91,0.775,0.309
1.4865248449978568,0.913,0.783,0.32
1.5002933220192183,0.917,0.792,0.322
1.5141893253043521,0.921,0.796,0.322
1.5282140360258698,0.924,0.807,0.331
1.5423686462966282,0.929,0.811,0.336
1.5566543592710615,0.936,0.819,0.342
1.5710723892474503,0.939,0.825,0.348
1.5856239617711374,0.942,0.832,0.352
1.6003103137387007,0.945,0.834,0.358
1.6151326935030905,0.947,0.837,0.365
1.6300923609797406,0.947,0.843,0.368
1.6451905877536626,0.948,0.847,0.375
1.66042865718753,0.948,0.854,0.38
1.6758078645307677,0.949,0.864,0.386
1.691329517029648,0.953,0.869,0.39
1.7069949340384074,0.958,0.869,0.395
1.722805447131394,0.961,0.874,0.397
1.7387624002162507,0.966,0.876,0.4
1.754867149648151,0.968,0.88,0.402
1.7711210643450879,0.97,0.885,0.404
1.787525525904235,0.97,0.89,0.408
1.8040819287193828,0.972,0.895,0.412
1.820791680099463,0.973,0.898,0.416
1.8376562003881711,0.975,0.901,0.42
1.8546769230846987,0.975,0.904,0.426
1.8718552949655787,0.976,0.907,0.429
1.8891927762076663,0.977,0.911,0.437
1.9066908405122525,0.977,0.914,0.441
1.924350975230331,0.977,0.915,0.444
1.9421746814890257,0.977,0.917,0.444
1.9601634743191854,0.979,0.918,0.451
1.9783188827841642,0.98,0.92,0.457
1.996642450109794,0.982,0.922,0.459
2.0151357338155576,0.983,0.922,0.462
2.0338003058469813,0.983,0.924,0.465
2.052637752709252,0.985,0.925,0.465
2.071649675602069,0.987,0.927,0.474
2.0908376905557504,0.988,0.93,0.477
2.1102034285685956,0.989,0.934,0.481
2.12974853574552,0.989,0.939,0.486
2.14947467343798,0.989,0.94,0.491
2.1693835183851844,0.989,0.941,0.495
2.1894767628566214,0.99,0.943,0.501
2.209756114795902,0.99,0.946,0.502
2.2302232979659378,0.991,0.947,0.504
2.2508800520954613,0.992,0.95,0.508
2.2717281330269055,0.992,0.956,0.509
2.2927693128656492,0.992,0.957,0.51
2.314005380130653,0.993,0.959,0.511
2.3354381399064787,0.993,0.959,0.511
2.3570694139967276,0.993,0.959,0.513
2.3789010410788936,0.993,0.961,0.514
2.4009348768606524,0.993,0.962,0.515
2.4231727942375993,0.993,0.962,0.515
2.445616683452446,0.993,0.963,0.517
2.468268452255692,0.993,0.963,0.52
2.491130026067789,0.993,0.966,0.522
2.5142033481427974,0.993,0.966,0.524
2.5374903797335704,0.993,0.966,0.525
2.5609931002584587,0.994,0.968,0.526
2.5847135074695635,0.994,0.972,0.526
2.608653617622548,0.994,0.972,0.529
2.632815465648021,0.994,0.973,0.533
2.6572011053245053,0.994,0.973,0.537
2.681812609453015,0.994,0.974,0.54
2.7066520700332415,0.995,0.976,0.543
2.7317215984413767,0.995,0.978,0.543
2.7570233256095835,0.995,0.979,0.544
2.7825594022071245,0.995,0.979,0.547
2.808331998823172,0.995,0.979,0.549
2.8343433061513092,0.995,0.98,0.553
2.8605955351757424,0.995,0.981,0.554
2.887090917359236,0.995,0.981,0.557
2.9138317048327873,0.996,0.981,0.557
2.940820170587063,0.996,0.981,0.558
2.9680586086656024,0.996,0.983,0.559
2.9955493343598136,0.996,0.983,0.561
3.0232946844057773,0.996,0.984,0.562
3.0512970171828697,0.996,0.984,0.563
3.079558712914226,0.996,0.984,0.563
3.108082173869064,0.996,0.985,0.565
3.1368698245668774,0.996,0.985,0.567
3.1659241119835224,0.996,0.986,0.568
3.195247505759212,0.996,0.986,0.568
3.2248424984084414,0.996,0.986,0.568
3.254711605531848,0.996,0.987,0.568
3.2848573660300446,0.996,0.987,0.568
3.315282342319425,0.996,0.988,0.569
3.345989120549973,0.996,0.988,0.57
3.3769803108250906,0.996,0.99,0.57
3.408258547423452,0.996,0.992,0.572
3.4398264890229253,0.997,0.992,0.574
3.4716868189265613,0.997,0.992,0.574
3.503842245290674,0.997,0.992,0.574
3.536295501355042,0.997,0.992,0.575
3.5690493456752295,0.997,0.992,0.575
3.602106562357071,0.997,0.992,0.575
3.6354699612933197,0.997,0.992,0.576
3.6691423784024932,0.997,0.992,0.576
3.703126675869926,0.997,0.992,0.578
3.737425742391064,0.997,0.992,0.578
