name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
"INFEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS-3.0,primal infeasible,0.016245126724243164,200,inf,100,150,25000,3.914253,10.972284,0.7744405468204607,1
"INFEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS-3.0,primal infeasible,0.022614002227783203,275,inf,100,150,25000,4.406522,16.957469,2.867639612853637,2
"INFEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS-3.0,primal infeasible,0.014866113662719727,200,inf,100,150,25000,3.914605,9.748229,0.8748378931210047,1
"INFEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS-3.0,primal infeasible,0.017527103424072266,250,inf,100,150,25000,4.23478,12.318718,1.0605838818405706,1
"INFEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS-3.0,primal infeasible,0.013764142990112305,175,inf,100,150,25000,4.049426,8.78551,0.2516195256388508,1
"INFEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS-3.0,primal infeasible,0.014580011367797852,175,inf,100,150,25000,4.579558,9.02306,0.5194630257347165,1
"INFEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS-3.0,primal infeasible,0.0174710750579834,225,inf,100,150,25000,3.827808,12.667571,2.0579987874619894,2
"INFEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS-3.0,primal infeasible,0.01830315589904785,250,inf,100,150,25000,4.257845,13.130232,3.390711492598868,2
"INFEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS-3.0,primal infeasible,0.011929035186767578,150,inf,100,150,25000,3.725041,7.313638,0.8692314046572754,1
"INFEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS-3.0,primal infeasible,0.01452493667602539,175,inf,100,150,25000,5.127495,8.231546,0.8758656974682588,1
"INFEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS-3.0,primal infeasible,0.025371789932250977,425,inf,100,150,25000,4.091424,20.38725,0.9201974356184822,1
"INFEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS-3.0,primal infeasible,0.037587881088256836,750,inf,100,150,25000,4.240761,32.415838,0.1,0
"INFEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS-3.0,primal infeasible,0.01819896697998047,250,inf,100,150,25000,3.852948,13.20011,4.672893171657886,2
"INFEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS-3.0,primal infeasible,0.01801300048828125,250,inf,100,150,25000,4.262435,12.574555,3.2586065870932357,2
"INFEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS-3.0,primal infeasible,0.01798391342163086,250,inf,100,150,25000,4.34779,12.450103,3.224101512406128,2
"INFEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS-3.0,primal infeasible,0.007718086242675781,50,inf,100,150,25000,4.260055,2.486776,0.1,0
"INFEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS-3.0,primal infeasible,0.013353109359741211,175,inf,100,150,25000,3.977292,8.384355,1.0806316962612308,1
"INFEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS-3.0,primal infeasible,0.01825094223022461,225,inf,100,150,25000,5.833824,11.110156,1.239940819684277,1
"INFEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS-3.0,primal infeasible,0.01880025863647461,250,inf,100,150,25000,4.232265,13.492946,2.4532746166549315,2
"INFEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS-3.0,primal infeasible,0.014671087265014648,175,inf,100,150,25000,3.989496,9.695511,0.43475253452308343,1
"INFEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS-3.0,primal infeasible,0.014482975006103516,200,inf,100,150,25000,3.998076,9.650664,1.2664322088005966,1
"INFEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS-3.0,primal infeasible,0.016731977462768555,250,inf,100,150,25000,3.972128,11.794912,1.043304736479436,1
"INFEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS-3.0,primal infeasible,0.014297962188720703,175,inf,100,150,25000,4.700181,8.149907,0.42661161767105527,1
"INFEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS-3.0,primal infeasible,0.0178220272064209,225,inf,100,150,25000,3.989856,12.919845,1.9349405370442596,2
"INFEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS-3.0,primal infeasible,0.024799108505249023,350,inf,100,150,25000,4.030787,19.454892,0.7681168743246153,3
"INFEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS-3.0,primal infeasible,0.014191150665283203,175,inf,100,150,25000,4.204256,8.706637,1.1142534810297255,1
"INFEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS-3.0,primal infeasible,0.02025008201599121,350,inf,100,150,25000,3.771484,15.553527,0.7113871832856411,1
"INFEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS-3.0,primal infeasible,0.02353525161743164,375,inf,100,150,25000,3.975398,18.303445,5.656326486507848,2
