name,solver,status,run_time,iter,obj_val,n,m,N
"INFEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS-3.0,primal infeasible,0.012516975402832031,175,inf,100,150,25000
"INFEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS-3.0,primal infeasible,0.013067960739135742,175,inf,100,150,25000
"INFEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS-3.0,primal infeasible,0.011874198913574219,150,inf,100,150,25000
"INFEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS-3.0,primal infeasible,0.014873266220092773,200,inf,100,150,25000
"INFEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS-3.0,primal infeasible,0.012120962142944336,125,inf,100,150,25000
"INFEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS-3.0,primal infeasible,0.01027822494506836,125,inf,100,150,25000
"INFEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS-3.0,primal infeasible,0.015722990036010742,150,inf,100,150,25000
"INFEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS-3.0,primal infeasible,0.015329122543334961,175,inf,100,150,25000
"INFEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS-3.0,primal infeasible,0.010369062423706055,100,inf,100,150,25000
"INFEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS-3.0,primal infeasible,0.011536121368408203,100,inf,100,150,25000
"INFEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS-3.0,primal infeasible,0.05694007873535156,900,inf,100,150,25000
"INFEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS-3.0,primal infeasible,0.1208338737487793,2075,inf,100,150,25000
"INFEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS-3.0,primal infeasible,0.017913103103637695,150,inf,100,150,25000
"INFEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS-3.0,primal infeasible,0.01591777801513672,150,inf,100,150,25000
"INFEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS-3.0,primal infeasible,0.01714301109313965,175,inf,100,150,25000
"INFEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS-3.0,primal infeasible,0.011507987976074219,100,inf,100,150,25000
"INFEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS-3.0,primal infeasible,0.01631784439086914,125,inf,100,150,25000
"INFEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS-3.0,primal infeasible,0.0192718505859375,150,inf,100,150,25000
"INFEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS-3.0,primal infeasible,0.021140098571777344,175,inf,100,150,25000
"INFEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS-3.0,primal infeasible,0.014164209365844727,125,inf,100,150,25000
"INFEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS-3.0,primal infeasible,0.012482881546020508,125,inf,100,150,25000
"INFEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS-3.0,primal infeasible,0.019006967544555664,225,inf,100,150,25000
"INFEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS-3.0,primal infeasible,0.012291193008422852,125,inf,100,150,25000
"INFEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS-3.0,primal infeasible,0.019756078720092773,150,inf,100,150,25000
"INFEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS-3.0,primal infeasible,0.03254222869873047,525,inf,100,150,25000
"INFEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS-3.0,primal infeasible,0.01623225212097168,125,inf,100,150,25000
"INFEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS-3.0,primal infeasible,0.027081012725830078,375,inf,100,150,25000
"INFEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS-3.0,primal infeasible,0.015513181686401367,200,inf,100,150,25000
"INFEASIBLE:prob=28:seed=1262:shape=(150, 100)",SCS-3.0,primal infeasible,0.012213706970214844,125,inf,100,150,25000
"INFEASIBLE:prob=29:seed=1263:shape=(150, 100)",SCS-3.0,primal infeasible,0.01644730567932129,150,inf,100,150,25000
"INFEASIBLE:prob=30:seed=1264:shape=(150, 100)",SCS-3.0,primal infeasible,0.008681774139404297,75,inf,100,150,25000
"INFEASIBLE:prob=31:seed=1265:shape=(150, 100)",SCS-3.0,primal infeasible,0.010808944702148438,125,inf,100,150,25000
