name,solver,status,run_time,iter,obj_val,n,m,N
"INFEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS,primal infeasible,0.017367124557495117,150,inf,100,150,25000
"INFEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS,primal infeasible,0.02059793472290039,225,inf,100,150,25000
"INFEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS,primal infeasible,0.015447139739990234,125,inf,100,150,25000
"INFEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS,primal infeasible,0.01627802848815918,150,inf,100,150,25000
"INFEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS,primal infeasible,0.015423059463500977,125,inf,100,150,25000
"INFEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS,primal infeasible,0.013826131820678711,125,inf,100,150,25000
"INFEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS,primal infeasible,0.01813507080078125,149,inf,100,150,25000
"INFEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS,primal infeasible,0.019512653350830078,174,inf,100,150,25000
"INFEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS,primal infeasible,0.014158964157104492,100,inf,100,150,25000
"INFEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS,primal infeasible,0.013956785202026367,100,inf,100,150,25000
"INFEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS,primal infeasible,0.06475996971130371,850,inf,100,150,25000
"INFEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS,primal infeasible,0.14020013809204102,2000,inf,100,150,25000
"INFEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS,primal infeasible,0.0245358943939209,125,inf,100,150,25000
"INFEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS,primal infeasible,0.017142057418823242,150,inf,100,150,25000
"INFEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS,primal infeasible,0.0192108154296875,150,inf,100,150,25000
"INFEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS,primal infeasible,0.013130903244018555,100,inf,100,150,25000
"INFEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS,primal infeasible,0.014972925186157227,125,inf,100,150,25000
"INFEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS,primal infeasible,0.0206449031829834,200,inf,100,150,25000
"INFEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS,primal infeasible,0.02284693717956543,250,inf,100,150,25000
"INFEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS,primal infeasible,0.012348175048828125,100,inf,100,150,25000
"INFEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS,primal infeasible,0.015471220016479492,125,inf,100,150,25000
"INFEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS,primal infeasible,0.020102977752685547,200,inf,100,150,25000
"INFEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS,primal infeasible,0.015415191650390625,125,inf,100,150,25000
"INFEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS,primal infeasible,0.014261007308959961,125,inf,100,150,25000
"INFEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS,primal infeasible,0.03574109077453613,475,inf,100,150,25000
"INFEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS,primal infeasible,0.014234304428100586,125,inf,100,150,25000
"INFEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS,primal infeasible,0.029011964797973633,350,inf,100,150,25000
"INFEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS,primal infeasible,0.021107912063598633,200,inf,100,150,25000
"INFEASIBLE:prob=28:seed=1262:shape=(150, 100)",SCS,primal infeasible,0.014876842498779297,125,inf,100,150,25000
"INFEASIBLE:prob=29:seed=1263:shape=(150, 100)",SCS,primal infeasible,0.01585674285888672,150,inf,100,150,25000
"INFEASIBLE:prob=30:seed=1264:shape=(150, 100)",SCS,primal infeasible,0.011381149291992188,75,inf,100,150,25000
"INFEASIBLE:prob=31:seed=1265:shape=(150, 100)",SCS,primal infeasible,0.015265703201293945,125,inf,100,150,25000
"INFEASIBLE:prob=32:seed=1266:shape=(150, 100)",SCS,primal infeasible,0.017728090286254883,150,inf,100,150,25000
"INFEASIBLE:prob=33:seed=1267:shape=(150, 100)",SCS,primal infeasible,0.017560958862304688,149,inf,100,150,25000
"INFEASIBLE:prob=34:seed=1268:shape=(150, 100)",SCS,primal infeasible,0.014501094818115234,125,inf,100,150,25000
"INFEASIBLE:prob=35:seed=1269:shape=(150, 100)",SCS,primal infeasible,0.01164388656616211,75,inf,100,150,25000
"INFEASIBLE:prob=36:seed=1270:shape=(150, 100)",SCS,primal infeasible,0.01968216896057129,200,inf,100,150,25000
"INFEASIBLE:prob=37:seed=1271:shape=(150, 100)",SCS,primal infeasible,0.015558958053588867,125,inf,100,150,25000
"INFEASIBLE:prob=38:seed=1272:shape=(150, 100)",SCS,primal infeasible,0.013441085815429688,100,inf,100,150,25000
"INFEASIBLE:prob=39:seed=1273:shape=(150, 100)",SCS,primal infeasible,0.0646970272064209,825,inf,100,150,25000
"INFEASIBLE:prob=40:seed=1274:shape=(150, 100)",SCS,primal infeasible,0.021435022354125977,200,inf,100,150,25000
"INFEASIBLE:prob=41:seed=1275:shape=(150, 100)",SCS,primal infeasible,0.013582229614257812,100,inf,100,150,25000
"INFEASIBLE:prob=42:seed=1276:shape=(150, 100)",SCS,primal infeasible,0.013556957244873047,100,inf,100,150,25000
"INFEASIBLE:prob=43:seed=1277:shape=(150, 100)",SCS,primal infeasible,0.01627802848815918,150,inf,100,150,25000
"INFEASIBLE:prob=44:seed=1278:shape=(150, 100)",SCS,primal infeasible,0.015628814697265625,150,inf,100,150,25000
"INFEASIBLE:prob=45:seed=1279:shape=(150, 100)",SCS,primal infeasible,0.06474113464355469,875,inf,100,150,25000
"INFEASIBLE:prob=46:seed=1280:shape=(150, 100)",SCS,primal infeasible,0.020074129104614258,175,inf,100,150,25000
"INFEASIBLE:prob=47:seed=1281:shape=(150, 100)",SCS,primal infeasible,0.011003971099853516,75,inf,100,150,25000
"INFEASIBLE:prob=48:seed=1282:shape=(150, 100)",SCS,primal infeasible,0.017689943313598633,175,inf,100,150,25000
"INFEASIBLE:prob=49:seed=1283:shape=(150, 100)",SCS,primal infeasible,0.017316818237304688,150,inf,100,150,25000
"INFEASIBLE:prob=50:seed=1284:shape=(150, 100)",SCS,primal infeasible,0.027089834213256836,300,inf,100,150,25000
"INFEASIBLE:prob=51:seed=1285:shape=(150, 100)",SCS,primal infeasible,0.020870208740234375,200,inf,100,150,25000
"INFEASIBLE:prob=52:seed=1286:shape=(150, 100)",SCS,primal infeasible,0.011096000671386719,75,inf,100,150,25000
"INFEASIBLE:prob=53:seed=1287:shape=(150, 100)",SCS,primal infeasible,0.019514083862304688,200,inf,100,150,25000
"INFEASIBLE:prob=54:seed=1288:shape=(150, 100)",SCS,primal infeasible,0.014374971389770508,125,inf,100,150,25000
"INFEASIBLE:prob=55:seed=1289:shape=(150, 100)",SCS,primal infeasible,0.014405012130737305,100,inf,100,150,25000
"INFEASIBLE:prob=56:seed=1290:shape=(150, 100)",SCS,primal infeasible,0.019281864166259766,175,inf,100,150,25000
"INFEASIBLE:prob=57:seed=1291:shape=(150, 100)",SCS,primal infeasible,0.01743626594543457,150,inf,100,150,25000
"INFEASIBLE:prob=58:seed=1292:shape=(150, 100)",SCS,primal infeasible,0.018162965774536133,150,inf,100,150,25000
"INFEASIBLE:prob=59:seed=1293:shape=(150, 100)",SCS,primal infeasible,0.013731956481933594,100,inf,100,150,25000
"INFEASIBLE:prob=60:seed=1294:shape=(150, 100)",SCS,primal infeasible,0.012743949890136719,100,inf,100,150,25000
"INFEASIBLE:prob=61:seed=1295:shape=(150, 100)",SCS,primal infeasible,0.013638973236083984,100,inf,100,150,25000
"INFEASIBLE:prob=62:seed=1296:shape=(150, 100)",SCS,primal infeasible,0.016057968139648438,150,inf,100,150,25000
"INFEASIBLE:prob=63:seed=1297:shape=(150, 100)",SCS,primal infeasible,0.01910710334777832,150,inf,100,150,25000
"INFEASIBLE:prob=64:seed=1298:shape=(150, 100)",SCS,primal infeasible,0.01860499382019043,150,inf,100,150,25000
"INFEASIBLE:prob=65:seed=1299:shape=(150, 100)",SCS,primal infeasible,0.01412200927734375,100,inf,100,150,25000
"INFEASIBLE:prob=66:seed=1300:shape=(150, 100)",SCS,primal infeasible,0.027626991271972656,300,inf,100,150,25000
"INFEASIBLE:prob=67:seed=1301:shape=(150, 100)",SCS,primal infeasible,0.018792152404785156,150,inf,100,150,25000
"INFEASIBLE:prob=68:seed=1302:shape=(150, 100)",SCS,primal infeasible,0.018962860107421875,175,inf,100,150,25000
"INFEASIBLE:prob=69:seed=1303:shape=(150, 100)",SCS,primal infeasible,0.014014005661010742,100,inf,100,150,25000
"INFEASIBLE:prob=70:seed=1304:shape=(150, 100)",SCS,primal infeasible,0.015459060668945312,125,inf,100,150,25000
"INFEASIBLE:prob=71:seed=1305:shape=(150, 100)",SCS,primal infeasible,0.01694488525390625,150,inf,100,150,25000
"INFEASIBLE:prob=72:seed=1306:shape=(150, 100)",SCS,primal infeasible,0.027727127075195312,300,inf,100,150,25000
"INFEASIBLE:prob=73:seed=1307:shape=(150, 100)",SCS,primal infeasible,0.01190185546875,75,inf,100,150,25000
"INFEASIBLE:prob=74:seed=1308:shape=(150, 100)",SCS,primal infeasible,0.01732015609741211,150,inf,100,150,25000
"INFEASIBLE:prob=75:seed=1309:shape=(150, 100)",SCS,primal infeasible,0.020406007766723633,175,inf,100,150,25000
"INFEASIBLE:prob=76:seed=1310:shape=(150, 100)",SCS,primal infeasible,0.04291415214538574,150,inf,100,150,25000
"INFEASIBLE:prob=77:seed=1311:shape=(150, 100)",SCS,primal infeasible,0.012181997299194336,50,inf,100,150,25000
"INFEASIBLE:prob=78:seed=1312:shape=(150, 100)",SCS,primal infeasible,0.027238845825195312,250,inf,100,150,25000
"INFEASIBLE:prob=79:seed=1313:shape=(150, 100)",SCS,primal infeasible,0.018332242965698242,150,inf,100,150,25000
"INFEASIBLE:prob=80:seed=1314:shape=(150, 100)",SCS,primal infeasible,0.019563913345336914,150,inf,100,150,25000
"INFEASIBLE:prob=81:seed=1315:shape=(150, 100)",SCS,primal infeasible,0.021535158157348633,175,inf,100,150,25000
"INFEASIBLE:prob=82:seed=1316:shape=(150, 100)",SCS,primal infeasible,0.01575922966003418,125,inf,100,150,25000
"INFEASIBLE:prob=83:seed=1317:shape=(150, 100)",SCS,primal infeasible,0.012781858444213867,75,inf,100,150,25000
"INFEASIBLE:prob=84:seed=1318:shape=(150, 100)",SCS,primal infeasible,0.012741804122924805,75,inf,100,150,25000
"INFEASIBLE:prob=85:seed=1319:shape=(150, 100)",SCS,primal infeasible,0.020681142807006836,200,inf,100,150,25000
"INFEASIBLE:prob=86:seed=1320:shape=(150, 100)",SCS,primal infeasible,0.02796006202697754,275,inf,100,150,25000
"INFEASIBLE:prob=87:seed=1321:shape=(150, 100)",SCS,primal infeasible,0.014573097229003906,100,inf,100,150,25000
"INFEASIBLE:prob=88:seed=1322:shape=(150, 100)",SCS,primal infeasible,0.012382984161376953,75,inf,100,150,25000
"INFEASIBLE:prob=89:seed=1323:shape=(150, 100)",SCS,primal infeasible,0.02340102195739746,200,inf,100,150,25000
"INFEASIBLE:prob=90:seed=1324:shape=(150, 100)",SCS,primal infeasible,0.01833176612854004,150,inf,100,150,25000
"INFEASIBLE:prob=91:seed=1325:shape=(150, 100)",SCS,primal infeasible,0.03313016891479492,350,inf,100,150,25000
"INFEASIBLE:prob=92:seed=1326:shape=(150, 100)",SCS,primal infeasible,0.01636028289794922,125,inf,100,150,25000
"INFEASIBLE:prob=93:seed=1327:shape=(150, 100)",SCS,primal infeasible,0.018712997436523438,150,inf,100,150,25000
"INFEASIBLE:prob=94:seed=1328:shape=(150, 100)",SCS,primal infeasible,0.022217988967895508,175,inf,100,150,25000
"INFEASIBLE:prob=95:seed=1329:shape=(150, 100)",SCS,primal infeasible,0.010910987854003906,50,inf,100,150,25000
"INFEASIBLE:prob=96:seed=1330:shape=(150, 100)",SCS,primal infeasible,0.021409034729003906,125,inf,100,150,25000
"INFEASIBLE:prob=97:seed=1331:shape=(150, 100)",SCS,primal infeasible,0.017700910568237305,125,inf,100,150,25000
"INFEASIBLE:prob=98:seed=1332:shape=(150, 100)",SCS,primal infeasible,0.024279117584228516,200,inf,100,150,25000
"INFEASIBLE:prob=99:seed=1333:shape=(150, 100)",SCS,primal infeasible,0.03061819076538086,300,inf,100,150,25000
"INFEASIBLE:prob=100:seed=1334:shape=(150, 100)",SCS,primal infeasible,0.025337934494018555,148,inf,100,150,25000
"INFEASIBLE:prob=101:seed=1335:shape=(150, 100)",SCS,primal infeasible,0.015867948532104492,100,inf,100,150,25000
"INFEASIBLE:prob=102:seed=1336:shape=(150, 100)",SCS,primal infeasible,0.03664684295654297,350,inf,100,150,25000
"INFEASIBLE:prob=103:seed=1337:shape=(150, 100)",SCS,primal infeasible,0.02042102813720703,150,inf,100,150,25000
"INFEASIBLE:prob=104:seed=1338:shape=(150, 100)",SCS,primal infeasible,0.03471684455871582,325,inf,100,150,25000
"INFEASIBLE:prob=105:seed=1339:shape=(150, 100)",SCS,primal infeasible,0.021986007690429688,175,inf,100,150,25000
"INFEASIBLE:prob=106:seed=1340:shape=(150, 100)",SCS,primal infeasible,0.017147064208984375,100,inf,100,150,25000
"INFEASIBLE:prob=107:seed=1341:shape=(150, 100)",SCS,primal infeasible,0.02132582664489746,149,inf,100,150,25000
"INFEASIBLE:prob=108:seed=1342:shape=(150, 100)",SCS,primal infeasible,0.018172025680541992,50,inf,100,150,25000
"INFEASIBLE:prob=109:seed=1343:shape=(150, 100)",SCS,primal infeasible,0.013750076293945312,75,inf,100,150,25000
"INFEASIBLE:prob=110:seed=1344:shape=(150, 100)",SCS,primal infeasible,0.015284061431884766,100,inf,100,150,25000
"INFEASIBLE:prob=111:seed=1345:shape=(150, 100)",SCS,primal infeasible,0.025973081588745117,225,inf,100,150,25000
"INFEASIBLE:prob=112:seed=1346:shape=(150, 100)",SCS,primal infeasible,0.01821279525756836,125,inf,100,150,25000
"INFEASIBLE:prob=113:seed=1347:shape=(150, 100)",SCS,primal infeasible,0.017817974090576172,125,inf,100,150,25000
"INFEASIBLE:prob=114:seed=1348:shape=(150, 100)",SCS,primal infeasible,0.014342069625854492,75,inf,100,150,25000
"INFEASIBLE:prob=115:seed=1349:shape=(150, 100)",SCS,primal infeasible,0.019757747650146484,125,inf,100,150,25000
"INFEASIBLE:prob=116:seed=1350:shape=(150, 100)",SCS,primal infeasible,0.02379608154296875,150,inf,100,150,25000
"INFEASIBLE:prob=117:seed=1351:shape=(150, 100)",SCS,primal infeasible,0.01843094825744629,125,inf,100,150,25000
"INFEASIBLE:prob=118:seed=1352:shape=(150, 100)",SCS,primal infeasible,0.04615616798400879,450,inf,100,150,25000
