tau,SCS,OSQP,COSMO
1.0,0.807,0.195,0.002
1.0092621909870476,0.808,0.199,0.002
1.0186101701559758,0.813,0.202,0.002
1.0280447320933093,0.819,0.207,0.002
1.0375666787451858,0.823,0.211,0.002
1.0471768194855202,0.829,0.217,0.002
1.0568759711848041,0.832,0.22,0.002
1.0666649582795393,0.837,0.227,0.002
1.0765446128423155,0.841,0.234,0.002
1.0865157746525382,0.846,0.24,0.002
1.0965792912678098,0.848,0.241,0.002
1.1067360180959736,0.854,0.247,0.002
1.116986818467823,0.857,0.251,0.002
1.1273325637104867,0.86,0.255,0.002
1.1377741332214912,0.867,0.258,0.002
1.148312414543511,0.869,0.265,0.002
1.158948303439811,0.872,0.273,0.002
1.1696827039703852,0.874,0.277,0.002
1.180516528568805,0.879,0.279,0.002
1.1914506981197759,0.885,0.284,0.002
1.2024861420374122,0.892,0.286,0.002
1.2136237983442408,0.892,0.291,0.002
1.2248646137509314,0.897,0.297,0.002
1.2362095437367686,0.898,0.303,0.002
1.2476595526308696,0.902,0.309,0.002
1.259215613694151,0.903,0.314,0.002
1.2708787092020586,0.905,0.319,0.002
1.2826498305280605,0.907,0.327,0.002
1.2945299782279156,0.909,0.33,0.002
1.306520162124721,0.91,0.337,0.002
1.3186214013947486,0.912,0.338,0.002
1.330834724654075,0.915,0.345,0.002
1.343161170046016,0.917,0.352,0.002
1.3556017853293685,0.919,0.361,0.002
1.3681576279674716,0.92,0.367,0.002
1.3808297652180925,0.92,0.374,0.002
1.3936192742241424,0.923,0.38,0.002
1.406527242105237,0.926,0.385,0.002
1.4195547660501011,0.928,0.394,0.002
1.4327029534098308,0.928,0.398,0.002
1.4459729217920199,0.929,0.401,0.002
1.4593657991557567,0.935,0.405,0.002
1.4728827239075026,0.936,0.413,0.002
1.4865248449978568,0.936,0.419,0.002
1.5002933220192183,0.939,0.423,0.002
1.5141893253043521,0.941,0.428,0.002
1.5282140360258698,0.946,0.437,0.002
1.5423686462966282,0.947,0.439,0.002
1.5566543592710615,0.948,0.445,0.002
1.5710723892474503,0.948,0.453,0.002
1.5856239617711374,0.949,0.46,0.002
1.6003103137387007,0.953,0.467,0.002
1.6151326935030905,0.954,0.473,0.002
1.6300923609797406,0.955,0.479,0.002
1.6451905877536626,0.955,0.486,0.002
1.66042865718753,0.957,0.493,0.002
1.6758078645307677,0.957,0.498,0.002
1.691329517029648,0.96,0.502,0.002
1.7069949340384074,0.96,0.506,0.002
1.722805447131394,0.961,0.51,0.002
1.7387624002162507,0.961,0.522,0.002
