name,solver,status,run_time,iter,obj_val,n,m,N
"INFEASIBLE:prob=0:seed=1234:shape=(150, 100)",SCS,primal infeasible,0.011054039001464844,94,inf,100,150,25000
"INFEASIBLE:prob=1:seed=1235:shape=(150, 100)",SCS,primal infeasible,0.012604951858520508,125,inf,100,150,25000
"INFEASIBLE:prob=2:seed=1236:shape=(150, 100)",SCS,primal infeasible,0.008414983749389648,75,inf,100,150,25000
"INFEASIBLE:prob=3:seed=1237:shape=(150, 100)",SCS,primal infeasible,0.010643959045410156,94,inf,100,150,25000
"INFEASIBLE:prob=4:seed=1238:shape=(150, 100)",SCS,primal infeasible,0.011056900024414062,110,inf,100,150,25000
"INFEASIBLE:prob=5:seed=1239:shape=(150, 100)",SCS,primal infeasible,0.009181737899780273,75,inf,100,150,25000
"INFEASIBLE:prob=6:seed=1240:shape=(150, 100)",SCS,primal infeasible,0.008196830749511719,70,inf,100,150,25000
"INFEASIBLE:prob=7:seed=1241:shape=(150, 100)",SCS,primal infeasible,0.011584997177124023,110,inf,100,150,25000
"INFEASIBLE:prob=8:seed=1242:shape=(150, 100)",SCS,primal infeasible,0.008549928665161133,50,inf,100,150,25000
"INFEASIBLE:prob=9:seed=1243:shape=(150, 100)",SCS,primal infeasible,0.00860595703125,58,inf,100,150,25000
"INFEASIBLE:prob=10:seed=1244:shape=(150, 100)",SCS,primal infeasible,0.1647181510925293,2525,inf,100,150,25000
"INFEASIBLE:prob=11:seed=1245:shape=(150, 100)",SCS,primal infeasible,0.05442214012145996,775,inf,100,150,25000
"INFEASIBLE:prob=12:seed=1246:shape=(150, 100)",SCS,primal infeasible,0.010116815567016602,94,inf,100,150,25000
"INFEASIBLE:prob=13:seed=1247:shape=(150, 100)",SCS,primal infeasible,0.010673999786376953,90,inf,100,150,25000
"INFEASIBLE:prob=14:seed=1248:shape=(150, 100)",SCS,primal infeasible,0.011684656143188477,118,inf,100,150,25000
"INFEASIBLE:prob=15:seed=1249:shape=(150, 100)",SCS,primal infeasible,0.01267385482788086,125,inf,100,150,25000
"INFEASIBLE:prob=16:seed=1250:shape=(150, 100)",SCS,primal infeasible,0.008568048477172852,58,inf,100,150,25000
"INFEASIBLE:prob=17:seed=1251:shape=(150, 100)",SCS,primal infeasible,0.010556936264038086,97,inf,100,150,25000
"INFEASIBLE:prob=18:seed=1252:shape=(150, 100)",SCS,primal infeasible,0.011742115020751953,110,inf,100,150,25000
"INFEASIBLE:prob=19:seed=1253:shape=(150, 100)",SCS,primal infeasible,0.008383989334106445,63,inf,100,150,25000
"INFEASIBLE:prob=20:seed=1254:shape=(150, 100)",SCS,primal infeasible,0.008800983428955078,63,inf,100,150,25000
"INFEASIBLE:prob=21:seed=1255:shape=(150, 100)",SCS,primal infeasible,0.012898921966552734,134,inf,100,150,25000
"INFEASIBLE:prob=22:seed=1256:shape=(150, 100)",SCS,primal infeasible,0.010624885559082031,96,inf,100,150,25000
"INFEASIBLE:prob=23:seed=1257:shape=(150, 100)",SCS,primal infeasible,0.00960993766784668,75,inf,100,150,25000
"INFEASIBLE:prob=24:seed=1258:shape=(150, 100)",SCS,primal infeasible,0.022797107696533203,265,inf,100,150,25000
"INFEASIBLE:prob=25:seed=1259:shape=(150, 100)",SCS,primal infeasible,0.008380889892578125,60,inf,100,150,25000
"INFEASIBLE:prob=26:seed=1260:shape=(150, 100)",SCS,primal infeasible,0.021799802780151367,274,inf,100,150,25000
"INFEASIBLE:prob=27:seed=1261:shape=(150, 100)",SCS,primal infeasible,0.016158103942871094,175,inf,100,150,25000
"INFEASIBLE:prob=28:seed=1262:shape=(150, 100)",SCS,primal infeasible,0.008974075317382812,61,inf,100,150,25000
"INFEASIBLE:prob=29:seed=1263:shape=(150, 100)",SCS,primal infeasible,0.008301019668579102,62,inf,100,150,25000
"INFEASIBLE:prob=30:seed=1264:shape=(150, 100)",SCS,primal infeasible,0.00754094123840332,46,inf,100,150,25000
"INFEASIBLE:prob=31:seed=1265:shape=(150, 100)",SCS,primal infeasible,0.008628129959106445,66,inf,100,150,25000
"INFEASIBLE:prob=32:seed=1266:shape=(150, 100)",SCS,primal infeasible,0.012058734893798828,125,inf,100,150,25000
"INFEASIBLE:prob=33:seed=1267:shape=(150, 100)",SCS,primal infeasible,0.010313987731933594,90,inf,100,150,25000
"INFEASIBLE:prob=34:seed=1268:shape=(150, 100)",SCS,primal infeasible,0.009225845336914062,74,inf,100,150,25000
"INFEASIBLE:prob=35:seed=1269:shape=(150, 100)",SCS,primal infeasible,0.007983922958374023,56,inf,100,150,25000
"INFEASIBLE:prob=36:seed=1270:shape=(150, 100)",SCS,primal infeasible,0.013242006301879883,123,inf,100,150,25000
"INFEASIBLE:prob=37:seed=1271:shape=(150, 100)",SCS,primal infeasible,0.010643959045410156,81,inf,100,150,25000
"INFEASIBLE:prob=38:seed=1272:shape=(150, 100)",SCS,primal infeasible,0.007904767990112305,50,inf,100,150,25000
"INFEASIBLE:prob=39:seed=1273:shape=(150, 100)",SCS,primal infeasible,0.07764291763305664,1146,inf,100,150,25000
"INFEASIBLE:prob=40:seed=1274:shape=(150, 100)",SCS,primal infeasible,0.016624927520751953,192,inf,100,150,25000
"INFEASIBLE:prob=41:seed=1275:shape=(150, 100)",SCS,primal infeasible,0.008464813232421875,64,inf,100,150,25000
"INFEASIBLE:prob=42:seed=1276:shape=(150, 100)",SCS,primal infeasible,0.007715940475463867,50,inf,100,150,25000
"INFEASIBLE:prob=43:seed=1277:shape=(150, 100)",SCS,primal infeasible,0.009948015213012695,90,inf,100,150,25000
"INFEASIBLE:prob=44:seed=1278:shape=(150, 100)",SCS,primal infeasible,0.00957489013671875,84,inf,100,150,25000
"INFEASIBLE:prob=45:seed=1279:shape=(150, 100)",SCS,primal infeasible,0.43813586235046387,6625,inf,100,150,25000
"INFEASIBLE:prob=46:seed=1280:shape=(150, 100)",SCS,primal infeasible,0.021793127059936523,275,inf,100,150,25000
"INFEASIBLE:prob=47:seed=1281:shape=(150, 100)",SCS,primal infeasible,0.009466171264648438,75,inf,100,150,25000
"INFEASIBLE:prob=48:seed=1282:shape=(150, 100)",SCS,primal infeasible,0.015832901000976562,167,inf,100,150,25000
"INFEASIBLE:prob=49:seed=1283:shape=(150, 100)",SCS,primal infeasible,0.011081933975219727,85,inf,100,150,25000
"INFEASIBLE:prob=50:seed=1284:shape=(150, 100)",SCS,primal infeasible,0.015289068222045898,168,inf,100,150,25000
"INFEASIBLE:prob=51:seed=1285:shape=(150, 100)",SCS,primal infeasible,0.009935855865478516,98,inf,100,150,25000
"INFEASIBLE:prob=52:seed=1286:shape=(150, 100)",SCS,primal infeasible,0.00834202766418457,61,inf,100,150,25000
"INFEASIBLE:prob=53:seed=1287:shape=(150, 100)",SCS,primal infeasible,0.013473987579345703,137,inf,100,150,25000
"INFEASIBLE:prob=54:seed=1288:shape=(150, 100)",SCS,primal infeasible,0.012063026428222656,108,inf,100,150,25000
"INFEASIBLE:prob=55:seed=1289:shape=(150, 100)",SCS,primal infeasible,0.008328914642333984,50,inf,100,150,25000
"INFEASIBLE:prob=56:seed=1290:shape=(150, 100)",SCS,primal infeasible,0.015815019607543945,134,inf,100,150,25000
"INFEASIBLE:prob=57:seed=1291:shape=(150, 100)",SCS,primal infeasible,0.013308286666870117,109,inf,100,150,25000
"INFEASIBLE:prob=58:seed=1292:shape=(150, 100)",SCS,primal infeasible,0.011034011840820312,89,inf,100,150,25000
"INFEASIBLE:prob=59:seed=1293:shape=(150, 100)",SCS,primal infeasible,0.009665250778198242,67,inf,100,150,25000
"INFEASIBLE:prob=60:seed=1294:shape=(150, 100)",SCS,primal infeasible,0.00941610336303711,62,inf,100,150,25000
"INFEASIBLE:prob=61:seed=1295:shape=(150, 100)",SCS,primal infeasible,0.008076190948486328,50,inf,100,150,25000
"INFEASIBLE:prob=62:seed=1296:shape=(150, 100)",SCS,primal infeasible,0.009104013442993164,67,inf,100,150,25000
"INFEASIBLE:prob=63:seed=1297:shape=(150, 100)",SCS,primal infeasible,0.013401031494140625,121,inf,100,150,25000
"INFEASIBLE:prob=64:seed=1298:shape=(150, 100)",SCS,primal infeasible,0.013270139694213867,100,inf,100,150,25000
"INFEASIBLE:prob=65:seed=1299:shape=(150, 100)",SCS,primal infeasible,0.00868678092956543,55,inf,100,150,25000
"INFEASIBLE:prob=66:seed=1300:shape=(150, 100)",SCS,primal infeasible,0.01635885238647461,155,inf,100,150,25000
"INFEASIBLE:prob=67:seed=1301:shape=(150, 100)",SCS,primal infeasible,0.012107133865356445,106,inf,100,150,25000
"INFEASIBLE:prob=68:seed=1302:shape=(150, 100)",SCS,primal infeasible,0.010108232498168945,81,inf,100,150,25000
"INFEASIBLE:prob=69:seed=1303:shape=(150, 100)",SCS,primal infeasible,0.010998964309692383,75,inf,100,150,25000
"INFEASIBLE:prob=70:seed=1304:shape=(150, 100)",SCS,primal infeasible,0.010747194290161133,75,inf,100,150,25000
"INFEASIBLE:prob=71:seed=1305:shape=(150, 100)",SCS,primal infeasible,0.008690118789672852,67,inf,100,150,25000
"INFEASIBLE:prob=72:seed=1306:shape=(150, 100)",SCS,primal infeasible,0.022583961486816406,281,inf,100,150,25000
"INFEASIBLE:prob=73:seed=1307:shape=(150, 100)",SCS,primal infeasible,0.008309125900268555,48,inf,100,150,25000
"INFEASIBLE:prob=74:seed=1308:shape=(150, 100)",SCS,primal infeasible,0.009718179702758789,75,inf,100,150,25000
"INFEASIBLE:prob=75:seed=1309:shape=(150, 100)",SCS,primal infeasible,0.014361143112182617,134,inf,100,150,25000
"INFEASIBLE:prob=76:seed=1310:shape=(150, 100)",SCS,primal infeasible,0.010849714279174805,80,inf,100,150,25000
"INFEASIBLE:prob=77:seed=1311:shape=(150, 100)",SCS,primal infeasible,0.006820201873779297,33,inf,100,150,25000
"INFEASIBLE:prob=78:seed=1312:shape=(150, 100)",SCS,primal infeasible,0.02111673355102539,236,inf,100,150,25000
"INFEASIBLE:prob=79:seed=1313:shape=(150, 100)",SCS,primal infeasible,0.010293006896972656,84,inf,100,150,25000
"INFEASIBLE:prob=80:seed=1314:shape=(150, 100)",SCS,primal infeasible,0.011147022247314453,94,inf,100,150,25000
"INFEASIBLE:prob=81:seed=1315:shape=(150, 100)",SCS,primal infeasible,0.012974977493286133,123,inf,100,150,25000
"INFEASIBLE:prob=82:seed=1316:shape=(150, 100)",SCS,primal infeasible,0.008949995040893555,65,inf,100,150,25000
"INFEASIBLE:prob=83:seed=1317:shape=(150, 100)",SCS,primal infeasible,0.0082550048828125,46,inf,100,150,25000
"INFEASIBLE:prob=84:seed=1318:shape=(150, 100)",SCS,primal infeasible,0.009650230407714844,72,inf,100,150,25000
"INFEASIBLE:prob=85:seed=1319:shape=(150, 100)",SCS,primal infeasible,0.015377044677734375,156,inf,100,150,25000
"INFEASIBLE:prob=86:seed=1320:shape=(150, 100)",SCS,primal infeasible,0.019774913787841797,208,inf,100,150,25000
"INFEASIBLE:prob=87:seed=1321:shape=(150, 100)",SCS,primal infeasible,0.007732868194580078,49,inf,100,150,25000
"INFEASIBLE:prob=88:seed=1322:shape=(150, 100)",SCS,primal infeasible,0.00807499885559082,42,inf,100,150,25000
"INFEASIBLE:prob=89:seed=1323:shape=(150, 100)",SCS,primal infeasible,0.014497041702270508,148,inf,100,150,25000
"INFEASIBLE:prob=90:seed=1324:shape=(150, 100)",SCS,primal infeasible,0.011789083480834961,100,inf,100,150,25000
"INFEASIBLE:prob=91:seed=1325:shape=(150, 100)",SCS,primal infeasible,0.022140979766845703,248,inf,100,150,25000
"INFEASIBLE:prob=92:seed=1326:shape=(150, 100)",SCS,primal infeasible,0.00903010368347168,66,inf,100,150,25000
"INFEASIBLE:prob=93:seed=1327:shape=(150, 100)",SCS,primal infeasible,0.014026880264282227,122,inf,100,150,25000
"INFEASIBLE:prob=94:seed=1328:shape=(150, 100)",SCS,primal infeasible,0.014302968978881836,135,inf,100,150,25000
"INFEASIBLE:prob=95:seed=1329:shape=(150, 100)",SCS,primal infeasible,0.007930755615234375,50,inf,100,150,25000
"INFEASIBLE:prob=96:seed=1330:shape=(150, 100)",SCS,primal infeasible,0.010666847229003906,59,inf,100,150,25000
"INFEASIBLE:prob=97:seed=1331:shape=(150, 100)",SCS,primal infeasible,0.012095928192138672,88,inf,100,150,25000
"INFEASIBLE:prob=98:seed=1332:shape=(150, 100)",SCS,primal infeasible,0.009702205657958984,75,inf,100,150,25000
"INFEASIBLE:prob=99:seed=1333:shape=(150, 100)",SCS,primal infeasible,0.017058849334716797,181,inf,100,150,25000
"INFEASIBLE:prob=100:seed=1334:shape=(150, 100)",SCS,primal infeasible,0.01129603385925293,82,inf,100,150,25000
"INFEASIBLE:prob=101:seed=1335:shape=(150, 100)",SCS,primal infeasible,0.008605003356933594,63,inf,100,150,25000
"INFEASIBLE:prob=102:seed=1336:shape=(150, 100)",SCS,primal infeasible,0.020527124404907227,215,inf,100,150,25000
"INFEASIBLE:prob=103:seed=1337:shape=(150, 100)",SCS,primal infeasible,0.011255025863647461,95,inf,100,150,25000
"INFEASIBLE:prob=104:seed=1338:shape=(150, 100)",SCS,primal infeasible,0.017767906188964844,186,inf,100,150,25000
"INFEASIBLE:prob=105:seed=1339:shape=(150, 100)",SCS,primal infeasible,0.011393070220947266,100,inf,100,150,25000
"INFEASIBLE:prob=106:seed=1340:shape=(150, 100)",SCS,primal infeasible,0.009878158569335938,70,inf,100,150,25000
"INFEASIBLE:prob=107:seed=1341:shape=(150, 100)",SCS,primal infeasible,0.01022195816040039,81,inf,100,150,25000
"INFEASIBLE:prob=108:seed=1342:shape=(150, 100)",SCS,primal infeasible,0.007754802703857422,38,inf,100,150,25000
"INFEASIBLE:prob=109:seed=1343:shape=(150, 100)",SCS,primal infeasible,0.009557008743286133,75,inf,100,150,25000
"INFEASIBLE:prob=110:seed=1344:shape=(150, 100)",SCS,primal infeasible,0.011118173599243164,85,inf,100,150,25000
"INFEASIBLE:prob=111:seed=1345:shape=(150, 100)",SCS,primal infeasible,0.011111021041870117,100,inf,100,150,25000
"INFEASIBLE:prob=112:seed=1346:shape=(150, 100)",SCS,primal infeasible,0.009203910827636719,70,inf,100,150,25000
"INFEASIBLE:prob=113:seed=1347:shape=(150, 100)",SCS,primal infeasible,0.009715795516967773,75,inf,100,150,25000
"INFEASIBLE:prob=114:seed=1348:shape=(150, 100)",SCS,primal infeasible,0.009378910064697266,50,inf,100,150,25000
"INFEASIBLE:prob=115:seed=1349:shape=(150, 100)",SCS,primal infeasible,0.010855913162231445,81,inf,100,150,25000
"INFEASIBLE:prob=116:seed=1350:shape=(150, 100)",SCS,primal infeasible,0.012002706527709961,100,inf,100,150,25000
"INFEASIBLE:prob=117:seed=1351:shape=(150, 100)",SCS,primal infeasible,0.012416839599609375,85,inf,100,150,25000
"INFEASIBLE:prob=118:seed=1352:shape=(150, 100)",SCS,primal infeasible,0.019416093826293945,200,inf,100,150,25000
"INFEASIBLE:prob=119:seed=1353:shape=(150, 100)",SCS,primal infeasible,0.01697397232055664,193,inf,100,150,25000
"INFEASIBLE:prob=120:seed=1354:shape=(150, 100)",SCS,primal infeasible,0.013798952102661133,115,inf,100,150,25000
"INFEASIBLE:prob=121:seed=1355:shape=(150, 100)",SCS,primal infeasible,0.011008024215698242,75,inf,100,150,25000
"INFEASIBLE:prob=122:seed=1356:shape=(150, 100)",SCS,primal infeasible,0.01698899269104004,124,inf,100,150,25000
"INFEASIBLE:prob=123:seed=1357:shape=(150, 100)",SCS,primal infeasible,0.01175689697265625,68,inf,100,150,25000
"INFEASIBLE:prob=124:seed=1358:shape=(150, 100)",SCS,primal infeasible,0.008449077606201172,61,inf,100,150,25000
"INFEASIBLE:prob=125:seed=1359:shape=(150, 100)",SCS,primal infeasible,0.009990930557250977,64,inf,100,150,25000
"INFEASIBLE:prob=126:seed=1360:shape=(150, 100)",SCS,primal infeasible,0.010792970657348633,50,inf,100,150,25000
"INFEASIBLE:prob=127:seed=1361:shape=(150, 100)",SCS,primal infeasible,0.01616525650024414,150,inf,100,150,25000
"INFEASIBLE:prob=128:seed=1362:shape=(150, 100)",SCS,primal infeasible,0.012131690979003906,107,inf,100,150,25000
"INFEASIBLE:prob=129:seed=1363:shape=(150, 100)",SCS,primal infeasible,0.012263059616088867,75,inf,100,150,25000
"INFEASIBLE:prob=130:seed=1364:shape=(150, 100)",SCS,primal infeasible,0.013208150863647461,100,inf,100,150,25000
"INFEASIBLE:prob=131:seed=1365:shape=(150, 100)",SCS,primal infeasible,0.022799015045166016,184,inf,100,150,25000
"INFEASIBLE:prob=132:seed=1366:shape=(150, 100)",SCS,primal infeasible,0.014482975006103516,125,inf,100,150,25000
"INFEASIBLE:prob=133:seed=1367:shape=(150, 100)",SCS,primal infeasible,0.009435176849365234,62,inf,100,150,25000
"INFEASIBLE:prob=134:seed=1368:shape=(150, 100)",SCS,primal infeasible,0.026714801788330078,107,inf,100,150,25000
"INFEASIBLE:prob=135:seed=1369:shape=(150, 100)",SCS,primal infeasible,0.022324085235595703,215,inf,100,150,25000
"INFEASIBLE:prob=136:seed=1370:shape=(150, 100)",SCS,primal infeasible,0.01631021499633789,81,inf,100,150,25000
"INFEASIBLE:prob=137:seed=1371:shape=(150, 100)",SCS,primal infeasible,0.016896963119506836,112,inf,100,150,25000
"INFEASIBLE:prob=138:seed=1372:shape=(150, 100)",SCS,primal infeasible,0.01015615463256836,82,inf,100,150,25000
"INFEASIBLE:prob=139:seed=1373:shape=(150, 100)",SCS,primal infeasible,0.00922703742980957,62,inf,100,150,25000
"INFEASIBLE:prob=140:seed=1374:shape=(150, 100)",SCS,primal infeasible,0.010347127914428711,83,inf,100,150,25000
"INFEASIBLE:prob=141:seed=1375:shape=(150, 100)",SCS,primal infeasible,0.018490076065063477,124,inf,100,150,25000
"INFEASIBLE:prob=142:seed=1376:shape=(150, 100)",SCS,primal infeasible,0.00911712646484375,68,inf,100,150,25000
"INFEASIBLE:prob=143:seed=1377:shape=(150, 100)",SCS,primal infeasible,0.017232179641723633,140,inf,100,150,25000
