name,solver,status,run_time,iter,obj_val,n,m,N
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",COSMO,dual infeasible,3.3083300590515137,16300,-inf,100,150,25000
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",COSMO,dual infeasible,0.7162690162658691,9200,-inf,100,150,25000
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",COSMO,dual infeasible,0.15329313278198242,1500,-inf,100,150,25000
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",COSMO,dual infeasible,0.13254904747009277,1100,-inf,100,150,25000
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",COSMO,dual infeasible,0.4131629467010498,3900,-inf,100,150,25000
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",COSMO,dual infeasible,0.12617015838623047,1100,-inf,100,150,25000
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",COSMO,dual infeasible,0.22269296646118164,2300,-inf,100,150,25000
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",COSMO,dual infeasible,0.15504002571105957,1000,-inf,100,150,25000
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",COSMO,dual infeasible,0.18767213821411133,1600,-inf,100,150,25000
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",COSMO,dual infeasible,0.13914990425109863,800,-inf,100,150,25000
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",COSMO,dual infeasible,0.22414803504943848,2100,-inf,100,150,25000
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",COSMO,dual infeasible,2.4292240142822266,32300,-inf,100,150,25000
"UNBOUNDED:prob=12:seed=1246:shape=(150, 100)",COSMO,dual infeasible,0.18908905982971191,1600,-inf,100,150,25000
"UNBOUNDED:prob=13:seed=1247:shape=(150, 100)",COSMO,dual infeasible,0.24451708793640137,2700,-inf,100,150,25000
"UNBOUNDED:prob=14:seed=1248:shape=(150, 100)",COSMO,dual infeasible,0.1786360740661621,1200,-inf,100,150,25000
"UNBOUNDED:prob=15:seed=1249:shape=(150, 100)",COSMO,dual infeasible,0.20519709587097168,1700,-inf,100,150,25000
"UNBOUNDED:prob=16:seed=1250:shape=(150, 100)",COSMO,dual infeasible,0.1483759880065918,1500,-inf,100,150,25000
"UNBOUNDED:prob=17:seed=1251:shape=(150, 100)",COSMO,dual infeasible,0.5258529186248779,6600,-inf,100,150,25000
"UNBOUNDED:prob=18:seed=1252:shape=(150, 100)",COSMO,dual infeasible,0.22888803482055664,2400,-inf,100,150,25000
"UNBOUNDED:prob=19:seed=1253:shape=(150, 100)",COSMO,max_iter_reached,8.651386976242065,100000,-1872369841.8245714,100,150,25000
"UNBOUNDED:prob=20:seed=1254:shape=(150, 100)",COSMO,dual infeasible,0.23297691345214844,1500,-inf,100,150,25000
"UNBOUNDED:prob=21:seed=1255:shape=(150, 100)",COSMO,dual infeasible,0.1504349708557129,1100,-inf,100,150,25000
"UNBOUNDED:prob=22:seed=1256:shape=(150, 100)",COSMO,dual infeasible,0.20072507858276367,1600,-inf,100,150,25000
"UNBOUNDED:prob=23:seed=1257:shape=(150, 100)",COSMO,dual infeasible,0.16103315353393555,1600,-inf,100,150,25000
"UNBOUNDED:prob=24:seed=1258:shape=(150, 100)",COSMO,dual infeasible,0.1509110927581787,1600,-inf,100,150,25000
"UNBOUNDED:prob=25:seed=1259:shape=(150, 100)",COSMO,dual infeasible,0.16019701957702637,1300,-inf,100,150,25000
"UNBOUNDED:prob=26:seed=1260:shape=(150, 100)",COSMO,dual infeasible,1.947523832321167,23500,-inf,100,150,25000
"UNBOUNDED:prob=27:seed=1261:shape=(150, 100)",COSMO,dual infeasible,0.1899430751800537,1800,-inf,100,150,25000
"UNBOUNDED:prob=28:seed=1262:shape=(150, 100)",COSMO,dual infeasible,0.09867095947265625,800,-inf,100,150,25000
"UNBOUNDED:prob=29:seed=1263:shape=(150, 100)",COSMO,dual infeasible,0.19542598724365234,1800,-inf,100,150,25000
"UNBOUNDED:prob=30:seed=1264:shape=(150, 100)",COSMO,dual infeasible,0.6067550182342529,6900,-inf,100,150,25000
"UNBOUNDED:prob=31:seed=1265:shape=(150, 100)",COSMO,dual infeasible,0.17176198959350586,1600,-inf,100,150,25000
"UNBOUNDED:prob=32:seed=1266:shape=(150, 100)",COSMO,dual infeasible,0.22456002235412598,2000,-inf,100,150,25000
"UNBOUNDED:prob=33:seed=1267:shape=(150, 100)",COSMO,dual infeasible,0.15000009536743164,1300,-inf,100,150,25000
"UNBOUNDED:prob=34:seed=1268:shape=(150, 100)",COSMO,dual infeasible,0.09789800643920898,900,-inf,100,150,25000
"UNBOUNDED:prob=35:seed=1269:shape=(150, 100)",COSMO,dual infeasible,0.279616117477417,2200,-inf,100,150,25000
"UNBOUNDED:prob=36:seed=1270:shape=(150, 100)",COSMO,dual infeasible,0.6356720924377441,7400,-inf,100,150,25000
"UNBOUNDED:prob=37:seed=1271:shape=(150, 100)",COSMO,dual infeasible,0.3648509979248047,4300,-inf,100,150,25000
"UNBOUNDED:prob=38:seed=1272:shape=(150, 100)",COSMO,dual infeasible,0.20253801345825195,1900,-inf,100,150,25000
"UNBOUNDED:prob=39:seed=1273:shape=(150, 100)",COSMO,dual infeasible,0.18469905853271484,1100,-inf,100,150,25000
"UNBOUNDED:prob=40:seed=1274:shape=(150, 100)",COSMO,dual infeasible,0.33344101905822754,3700,-inf,100,150,25000
"UNBOUNDED:prob=41:seed=1275:shape=(150, 100)",COSMO,dual infeasible,0.16862797737121582,1200,-inf,100,150,25000
"UNBOUNDED:prob=42:seed=1276:shape=(150, 100)",COSMO,dual infeasible,0.8476669788360596,9100,-inf,100,150,25000
"UNBOUNDED:prob=43:seed=1277:shape=(150, 100)",COSMO,dual infeasible,0.18428492546081543,1200,-inf,100,150,25000
"UNBOUNDED:prob=44:seed=1278:shape=(150, 100)",COSMO,dual infeasible,0.3993260860443115,3800,-inf,100,150,25000
"UNBOUNDED:prob=45:seed=1279:shape=(150, 100)",COSMO,dual infeasible,0.18382000923156738,1300,-inf,100,150,25000
"UNBOUNDED:prob=46:seed=1280:shape=(150, 100)",COSMO,dual infeasible,0.30346202850341797,2700,-inf,100,150,25000
