name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",OSQP,dual infeasible,2.666766881942749,25275,-inf,100,150,25000,0,0.003489569,2.660962159,0.0,4
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",OSQP,dual infeasible,0.7727570533752441,6600,-inf,100,150,25000,0,0.005123949,0.763984511,0.0,5
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",OSQP,dual infeasible,0.191986083984375,1400,-inf,100,150,25000,0,0.00549263,0.183543903,0.0,5
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",OSQP,dual infeasible,0.1203603744506836,825,-inf,100,150,25000,0,0.006749408,0.109772334,0.0,4
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",OSQP,dual infeasible,0.14614176750183105,1150,-inf,100,150,25000,0,0.005958412,0.136837232,0.0,4
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",OSQP,dual infeasible,0.1683969497680664,1300,-inf,100,150,25000,0,0.004763324,0.160543415,0.0,5
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",OSQP,dual infeasible,1.2046949863433838,10250,-inf,100,150,25000,0,0.005749503,1.195182341,0.0,5
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",OSQP,dual infeasible,0.18702173233032227,1350,-inf,100,150,25000,0,0.004778367,0.179363148,0.0,4
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",OSQP,dual infeasible,0.21596789360046387,1600,-inf,100,150,25000,0,0.004552645,0.208741504,0.0,5
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",OSQP,dual infeasible,0.13355684280395508,800,-inf,100,150,25000,0,0.004117408,0.125727878,0.0,4
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",OSQP,dual infeasible,0.1549060344696045,1150,-inf,100,150,25000,0,0.004356559,0.147680736,0.0,5
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",OSQP,dual infeasible,0.19189190864562988,1325,-inf,100,150,25000,0,0.004200535,0.184759486,0.0,4
"UNBOUNDED:prob=12:seed=1246:shape=(150, 100)",OSQP,dual infeasible,0.2182331085205078,1575,-inf,100,150,25000,0,0.004477596,0.211091838,0.0,5
"UNBOUNDED:prob=13:seed=1247:shape=(150, 100)",OSQP,dual infeasible,0.2925121784210205,2150,-inf,100,150,25000,0,0.004790144,0.284200454,0.0,5
"UNBOUNDED:prob=14:seed=1248:shape=(150, 100)",OSQP,dual infeasible,0.3684060573577881,2800,-inf,100,150,25000,0,0.004868479,0.360491452,0.0,4
"UNBOUNDED:prob=15:seed=1249:shape=(150, 100)",OSQP,dual infeasible,0.28977108001708984,2250,-inf,100,150,25000,0,0.003877864,0.282606732,0.0,4
"UNBOUNDED:prob=16:seed=1250:shape=(150, 100)",OSQP,dual infeasible,0.152130126953125,1025,-inf,100,150,25000,0,0.004674408,0.144942857,0.0,5
"UNBOUNDED:prob=17:seed=1251:shape=(150, 100)",OSQP,dual infeasible,0.8361179828643799,6550,-inf,100,150,25000,0,0.005666355,0.826856233,0.0,5
"UNBOUNDED:prob=18:seed=1252:shape=(150, 100)",OSQP,dual infeasible,0.13088297843933105,850,-inf,100,150,25000,0,0.004273329,0.123807352,0.0,4
"UNBOUNDED:prob=19:seed=1253:shape=(150, 100)",OSQP,dual infeasible,6.063415050506592,47950,-inf,100,150,25000,0,0.00496134,6.055706752,0.0,5
"UNBOUNDED:prob=20:seed=1254:shape=(150, 100)",OSQP,dual infeasible,0.43700218200683594,3125,-inf,100,150,25000,0,0.004573041,0.429254864,0.0,4
"UNBOUNDED:prob=21:seed=1255:shape=(150, 100)",OSQP,dual infeasible,0.5506529808044434,4000,-inf,100,150,25000,0,0.005111972,0.542465654,0.0,4
"UNBOUNDED:prob=22:seed=1256:shape=(150, 100)",OSQP,dual infeasible,0.19753193855285645,1350,-inf,100,150,25000,0,0.004134511,0.190676156,0.0,4
"UNBOUNDED:prob=23:seed=1257:shape=(150, 100)",OSQP,dual infeasible,0.33846282958984375,2175,-inf,100,150,25000,0,0.004214875,0.33103935,0.0,5
"UNBOUNDED:prob=24:seed=1258:shape=(150, 100)",OSQP,dual infeasible,0.22287893295288086,1575,-inf,100,150,25000,0,0.004544995,0.2152714,0.0,4
"UNBOUNDED:prob=25:seed=1259:shape=(150, 100)",OSQP,dual infeasible,0.10321879386901855,625,-inf,100,150,25000,0,0.004479288,0.0955735,0.0,4
"UNBOUNDED:prob=26:seed=1260:shape=(150, 100)",OSQP,dual infeasible,3.3656158447265625,26725,-inf,100,150,25000,0,0.005298778,3.356849968,0.0,3
"UNBOUNDED:prob=27:seed=1261:shape=(150, 100)",OSQP,dual infeasible,0.2318260669708252,1650,-inf,100,150,25000,0,0.005044477,0.224119325,0.0,4
"UNBOUNDED:prob=28:seed=1262:shape=(150, 100)",OSQP,dual infeasible,0.18511199951171875,1350,-inf,100,150,25000,0,0.003221614,0.179189381,0.0,5
"UNBOUNDED:prob=29:seed=1263:shape=(150, 100)",OSQP,dual infeasible,0.1461021900177002,1025,-inf,100,150,25000,0,0.004315039,0.139203604,0.0,4
"UNBOUNDED:prob=30:seed=1264:shape=(150, 100)",OSQP,dual infeasible,1.2875890731811523,10325,-inf,100,150,25000,0,0.004279837,1.280333003,0.0,4
"UNBOUNDED:prob=31:seed=1265:shape=(150, 100)",OSQP,dual infeasible,0.18519186973571777,1275,-inf,100,150,25000,0,0.005703005,0.175750768,0.0,5
"UNBOUNDED:prob=32:seed=1266:shape=(150, 100)",OSQP,dual infeasible,0.2901170253753662,1850,-inf,100,150,25000,0,0.004556224,0.282527089,0.0,4
"UNBOUNDED:prob=33:seed=1267:shape=(150, 100)",OSQP,dual infeasible,0.23998808860778809,1850,-inf,100,150,25000,0,0.004952597,0.231808652,0.0,5
"UNBOUNDED:prob=34:seed=1268:shape=(150, 100)",OSQP,dual infeasible,0.11531400680541992,850,-inf,100,150,25000,0,0.004464436,0.107610007,0.0,4
"UNBOUNDED:prob=35:seed=1269:shape=(150, 100)",OSQP,dual infeasible,0.39679408073425293,3275,-inf,100,150,25000,0,0.004498766,0.389715507,0.0,4
"UNBOUNDED:prob=36:seed=1270:shape=(150, 100)",OSQP,dual infeasible,0.11663317680358887,825,-inf,100,150,25000,0,0.005176891,0.108200024,0.0,4
"UNBOUNDED:prob=37:seed=1271:shape=(150, 100)",OSQP,dual infeasible,0.27171993255615234,2200,-inf,100,150,25000,0,0.004221338,0.264250007,0.0,4
