name,solver,status,run_time,iter,obj_val,n,m,N,setup_time,solve_time,scale,scale_updates
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",SCS-3.0,dual infeasible,0.04208993911743164,675,-inf,100,150,25000,3.787693,36.841358,1e-06,6
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",SCS-3.0,dual infeasible,0.0274350643157959,425,-inf,100,150,25000,3.776122,22.639772,1e-06,4
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",SCS-3.0,dual infeasible,0.019961833953857422,300,-inf,100,150,25000,4.274403,14.447907,0.00017843805793226036,2
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",SCS-3.0,dual infeasible,0.023003816604614258,325,-inf,100,150,25000,4.362819,17.479016,2.8960933615731237e-06,3
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",SCS-3.0,dual infeasible,0.021168231964111328,275,-inf,100,150,25000,4.787483,15.340637,0.00012102329524270658,2
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",SCS-3.0,dual infeasible,0.018846750259399414,275,-inf,100,150,25000,4.131191,13.82224,0.00010080485573528086,2
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",SCS-3.0,dual infeasible,0.030943870544433594,475,-inf,100,150,25000,4.191718,25.774303,1e-06,4
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",SCS-3.0,dual infeasible,0.016760826110839844,225,-inf,100,150,25000,4.162665,11.469605,5.8699033318016594e-05,2
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",SCS-3.0,dual infeasible,0.019641876220703125,300,-inf,100,150,25000,4.080225,14.656709,0.00022989111628970958,2
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",SCS-3.0,dual infeasible,0.01957106590270996,300,-inf,100,150,25000,3.989146,14.402318,0.0001395768140797149,2
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",SCS-3.0,dual infeasible,0.023301124572753906,375,-inf,100,150,25000,4.367602,17.851457,6.197365192385071e-06,3
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",SCS-3.0,dual infeasible,0.020800113677978516,300,-inf,100,150,25000,4.311332,15.142466,7.562963489791277e-05,2
