name,solver,status,run_time,iter,obj_val,n,m,N
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",SCS-3.0,dual infeasible,0.01688694953918457,250,-inf,100,150,25000
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",SCS-3.0,dual infeasible,0.022593975067138672,300,-inf,100,150,25000
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",SCS-3.0,dual infeasible,0.022832155227661133,250,-inf,100,150,25000
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",SCS-3.0,dual infeasible,0.02501678466796875,325,-inf,100,150,25000
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",SCS-3.0,dual infeasible,0.0202481746673584,250,-inf,100,150,25000
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",SCS-3.0,dual infeasible,0.017136335372924805,225,-inf,100,150,25000
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",SCS-3.0,dual infeasible,0.023704051971435547,300,-inf,100,150,25000
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",SCS-3.0,dual infeasible,0.014456748962402344,150,-inf,100,150,25000
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",SCS-3.0,dual infeasible,0.02215409278869629,275,-inf,100,150,25000
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",SCS-3.0,dual infeasible,0.0156402587890625,200,-inf,100,150,25000
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",SCS-3.0,dual infeasible,0.023529052734375,300,-inf,100,150,25000
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",SCS-3.0,dual infeasible,0.006679058074951172,25,-inf,100,150,25000
"UNBOUNDED:prob=12:seed=1246:shape=(150, 100)",SCS-3.0,dual infeasible,0.02617812156677246,300,-inf,100,150,25000
"UNBOUNDED:prob=13:seed=1247:shape=(150, 100)",SCS-3.0,dual infeasible,0.019322872161865234,200,-inf,100,150,25000
"UNBOUNDED:prob=14:seed=1248:shape=(150, 100)",SCS-3.0,dual infeasible,0.023476123809814453,275,-inf,100,150,25000
"UNBOUNDED:prob=15:seed=1249:shape=(150, 100)",SCS-3.0,dual infeasible,0.023724079132080078,300,-inf,100,150,25000
"UNBOUNDED:prob=16:seed=1250:shape=(150, 100)",SCS-3.0,dual infeasible,0.02077484130859375,250,-inf,100,150,25000
"UNBOUNDED:prob=17:seed=1251:shape=(150, 100)",SCS-3.0,dual infeasible,0.025571107864379883,325,-inf,100,150,25000
"UNBOUNDED:prob=18:seed=1252:shape=(150, 100)",SCS-3.0,dual infeasible,0.0218658447265625,250,-inf,100,150,25000
"UNBOUNDED:prob=19:seed=1253:shape=(150, 100)",SCS-3.0,dual infeasible,0.022572994232177734,275,-inf,100,150,25000
"UNBOUNDED:prob=20:seed=1254:shape=(150, 100)",SCS-3.0,dual infeasible,0.021836042404174805,275,-inf,100,150,25000
"UNBOUNDED:prob=21:seed=1255:shape=(150, 100)",SCS-3.0,dual infeasible,0.022073030471801758,275,-inf,100,150,25000
"UNBOUNDED:prob=22:seed=1256:shape=(150, 100)",SCS-3.0,dual infeasible,0.0231630802154541,275,-inf,100,150,25000
"UNBOUNDED:prob=23:seed=1257:shape=(150, 100)",SCS-3.0,dual infeasible,0.022928237915039062,275,-inf,100,150,25000
"UNBOUNDED:prob=24:seed=1258:shape=(150, 100)",SCS-3.0,dual infeasible,0.02075815200805664,275,-inf,100,150,25000
"UNBOUNDED:prob=25:seed=1259:shape=(150, 100)",SCS-3.0,dual infeasible,0.014342069625854492,175,-inf,100,150,25000
"UNBOUNDED:prob=26:seed=1260:shape=(150, 100)",SCS-3.0,dual infeasible,0.0062122344970703125,25,-inf,100,150,25000
"UNBOUNDED:prob=27:seed=1261:shape=(150, 100)",SCS-3.0,dual infeasible,0.022572040557861328,275,-inf,100,150,25000
"UNBOUNDED:prob=28:seed=1262:shape=(150, 100)",SCS-3.0,dual infeasible,0.022593975067138672,250,-inf,100,150,25000
"UNBOUNDED:prob=29:seed=1263:shape=(150, 100)",SCS-3.0,dual infeasible,0.023525714874267578,250,-inf,100,150,25000
"UNBOUNDED:prob=30:seed=1264:shape=(150, 100)",SCS-3.0,dual infeasible,0.023411989212036133,250,-inf,100,150,25000
"UNBOUNDED:prob=31:seed=1265:shape=(150, 100)",SCS-3.0,dual infeasible,0.02054309844970703,250,-inf,100,150,25000
"UNBOUNDED:prob=32:seed=1266:shape=(150, 100)",SCS-3.0,dual infeasible,0.02393484115600586,275,-inf,100,150,25000
"UNBOUNDED:prob=33:seed=1267:shape=(150, 100)",SCS-3.0,dual infeasible,0.02379298210144043,300,-inf,100,150,25000
"UNBOUNDED:prob=34:seed=1268:shape=(150, 100)",SCS-3.0,dual infeasible,0.016789913177490234,200,-inf,100,150,25000
"UNBOUNDED:prob=35:seed=1269:shape=(150, 100)",SCS-3.0,dual infeasible,0.08974504470825195,1448,-inf,100,150,25000
"UNBOUNDED:prob=36:seed=1270:shape=(150, 100)",SCS-3.0,dual infeasible,0.2043921947479248,3675,-inf,100,150,25000
"UNBOUNDED:prob=37:seed=1271:shape=(150, 100)",SCS-3.0,dual infeasible,0.021054983139038086,250,-inf,100,150,25000
"UNBOUNDED:prob=38:seed=1272:shape=(150, 100)",SCS-3.0,dual infeasible,0.025594234466552734,275,-inf,100,150,25000
"UNBOUNDED:prob=39:seed=1273:shape=(150, 100)",SCS-3.0,dual infeasible,0.02330183982849121,275,-inf,100,150,25000
"UNBOUNDED:prob=40:seed=1274:shape=(150, 100)",SCS-3.0,dual infeasible,0.024779081344604492,275,-inf,100,150,25000
"UNBOUNDED:prob=41:seed=1275:shape=(150, 100)",SCS-3.0,dual infeasible,0.022489070892333984,275,-inf,100,150,25000
"UNBOUNDED:prob=42:seed=1276:shape=(150, 100)",SCS-3.0,dual infeasible,0.023375272750854492,250,-inf,100,150,25000
"UNBOUNDED:prob=43:seed=1277:shape=(150, 100)",SCS-3.0,dual infeasible,0.03156113624572754,375,-inf,100,150,25000
"UNBOUNDED:prob=44:seed=1278:shape=(150, 100)",SCS-3.0,dual infeasible,0.03435087203979492,375,-inf,100,150,25000
"UNBOUNDED:prob=45:seed=1279:shape=(150, 100)",SCS-3.0,dual infeasible,0.020859956741333008,275,-inf,100,150,25000
"UNBOUNDED:prob=46:seed=1280:shape=(150, 100)",SCS-3.0,dual infeasible,0.01722097396850586,150,-inf,100,150,25000
"UNBOUNDED:prob=47:seed=1281:shape=(150, 100)",SCS-3.0,dual infeasible,0.02951502799987793,275,-inf,100,150,25000
"UNBOUNDED:prob=48:seed=1282:shape=(150, 100)",SCS-3.0,dual infeasible,0.021661043167114258,250,-inf,100,150,25000
"UNBOUNDED:prob=49:seed=1283:shape=(150, 100)",SCS-3.0,dual infeasible,0.026046276092529297,300,-inf,100,150,25000
"UNBOUNDED:prob=50:seed=1284:shape=(150, 100)",SCS-3.0,dual infeasible,0.01756000518798828,200,-inf,100,150,25000
"UNBOUNDED:prob=51:seed=1285:shape=(150, 100)",SCS-3.0,dual infeasible,0.02546405792236328,275,-inf,100,150,25000
"UNBOUNDED:prob=52:seed=1286:shape=(150, 100)",SCS-3.0,dual infeasible,0.020756006240844727,250,-inf,100,150,25000
"UNBOUNDED:prob=53:seed=1287:shape=(150, 100)",SCS-3.0,dual infeasible,0.02668285369873047,250,-inf,100,150,25000
"UNBOUNDED:prob=54:seed=1288:shape=(150, 100)",SCS-3.0,dual infeasible,0.015383005142211914,150,-inf,100,150,25000
"UNBOUNDED:prob=55:seed=1289:shape=(150, 100)",SCS-3.0,dual infeasible,0.02443695068359375,250,-inf,100,150,25000
"UNBOUNDED:prob=56:seed=1290:shape=(150, 100)",SCS-3.0,dual infeasible,0.014424800872802734,175,-inf,100,150,25000
"UNBOUNDED:prob=57:seed=1291:shape=(150, 100)",SCS-3.0,dual infeasible,0.02262401580810547,275,-inf,100,150,25000
"UNBOUNDED:prob=58:seed=1292:shape=(150, 100)",SCS-3.0,dual infeasible,0.016527175903320312,175,-inf,100,150,25000
