name,solver,status,run_time,iter,obj_val,n,m,N
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",SCS,dual infeasible,0.034069061279296875,300,-inf,100,150,25000
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",SCS,dual infeasible,0.034897804260253906,275,-inf,100,150,25000
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",SCS,dual infeasible,0.02511000633239746,150,-inf,100,150,25000
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",SCS,dual infeasible,0.030310869216918945,200,-inf,100,150,25000
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",SCS,dual infeasible,0.03499603271484375,175,-inf,100,150,25000
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",SCS,dual infeasible,0.03431820869445801,200,-inf,100,150,25000
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",SCS,dual infeasible,0.05117321014404297,400,-inf,100,150,25000
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",SCS,dual infeasible,0.02914905548095703,150,-inf,100,150,25000
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",SCS,dual infeasible,0.032012939453125,250,-inf,100,150,25000
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",SCS,dual infeasible,0.026610851287841797,175,-inf,100,150,25000
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",SCS,dual infeasible,0.03600001335144043,300,-inf,100,150,25000
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",SCS,dual infeasible,0.013462066650390625,50,-inf,100,150,25000
"UNBOUNDED:prob=12:seed=1246:shape=(150, 100)",SCS,dual infeasible,0.028013944625854492,175,-inf,100,150,25000
"UNBOUNDED:prob=13:seed=1247:shape=(150, 100)",SCS,dual infeasible,0.021943092346191406,150,-inf,100,150,25000
"UNBOUNDED:prob=14:seed=1248:shape=(150, 100)",SCS,dual infeasible,0.03292107582092285,200,-inf,100,150,25000
"UNBOUNDED:prob=15:seed=1249:shape=(150, 100)",SCS,dual infeasible,0.05335593223571777,300,-inf,100,150,25000
"UNBOUNDED:prob=16:seed=1250:shape=(150, 100)",SCS,dual infeasible,0.03936624526977539,250,-inf,100,150,25000
"UNBOUNDED:prob=17:seed=1251:shape=(150, 100)",SCS,dual infeasible,0.027563810348510742,175,-inf,100,150,25000
"UNBOUNDED:prob=18:seed=1252:shape=(150, 100)",SCS,dual infeasible,0.024248123168945312,150,-inf,100,150,25000
"UNBOUNDED:prob=19:seed=1253:shape=(150, 100)",SCS,dual infeasible,0.03763604164123535,275,-inf,100,150,25000
"UNBOUNDED:prob=20:seed=1254:shape=(150, 100)",SCS,dual infeasible,0.036409854888916016,250,-inf,100,150,25000
"UNBOUNDED:prob=21:seed=1255:shape=(150, 100)",SCS,dual infeasible,0.028109073638916016,200,-inf,100,150,25000
"UNBOUNDED:prob=22:seed=1256:shape=(150, 100)",SCS,dual infeasible,0.041259050369262695,275,-inf,100,150,25000
"UNBOUNDED:prob=23:seed=1257:shape=(150, 100)",SCS,dual infeasible,0.03823208808898926,300,-inf,100,150,25000
