tau,SCS-3.0,OSQP,COSMO
1.0,0.991,0.008,0.001
1.0092621909870476,0.991,0.008,0.001
1.0186101701559758,0.991,0.008,0.001
1.0280447320933093,0.991,0.008,0.001
1.0375666787451858,0.992,0.008,0.001
1.0471768194855202,0.992,0.008,0.001
1.0568759711848041,0.992,0.008,0.001
1.0666649582795393,0.992,0.008,0.001
1.0765446128423155,0.992,0.008,0.001
1.0865157746525382,0.993,0.008,0.002
1.0965792912678098,0.993,0.008,0.002
1.1067360180959736,0.993,0.008,0.002
1.116986818467823,0.993,0.009,0.002
1.1273325637104867,0.993,0.009,0.002
1.1377741332214912,0.993,0.009,0.002
1.148312414543511,0.993,0.009,0.002
1.158948303439811,0.993,0.009,0.002
1.1696827039703852,0.993,0.009,0.002
1.180516528568805,0.993,0.009,0.002
1.1914506981197759,0.993,0.009,0.002
1.2024861420374122,0.993,0.009,0.002
1.2136237983442408,0.993,0.009,0.002
1.2248646137509314,0.993,0.01,0.002
1.2362095437367686,0.993,0.01,0.003
1.2476595526308696,0.993,0.01,0.003
1.259215613694151,0.993,0.01,0.003
1.2708787092020586,0.993,0.01,0.004
1.2826498305280605,0.993,0.01,0.004
1.2945299782279156,0.993,0.011,0.004
1.306520162124721,0.993,0.011,0.004
1.3186214013947486,0.993,0.012,0.004
1.330834724654075,0.993,0.012,0.004
1.343161170046016,0.993,0.012,0.004
1.3556017853293685,0.993,0.012,0.004
1.3681576279674716,0.993,0.012,0.004
1.3808297652180925,0.993,0.012,0.004
1.3936192742241424,0.993,0.012,0.005
1.406527242105237,0.993,0.012,0.005
1.4195547660501011,0.993,0.012,0.005
1.4327029534098308,0.993,0.012,0.005
1.4459729217920199,0.994,0.012,0.005
1.4593657991557567,0.995,0.012,0.005
1.4728827239075026,0.995,0.013,0.005
1.4865248449978568,0.995,0.014,0.005
1.5002933220192183,0.995,0.014,0.005
1.5141893253043521,0.996,0.014,0.006
1.5282140360258698,0.996,0.014,0.006
1.5423686462966282,0.996,0.014,0.006
1.5566543592710615,0.996,0.014,0.006
1.5710723892474503,0.997,0.014,0.006
1.5856239617711374,0.997,0.014,0.006
1.6003103137387007,0.997,0.014,0.006
1.6151326935030905,0.997,0.014,0.006
1.6300923609797406,0.997,0.014,0.006
1.6451905877536626,0.997,0.014,0.006
1.66042865718753,0.997,0.015,0.006
1.6758078645307677,0.997,0.015,0.006
1.691329517029648,0.997,0.017,0.006
1.7069949340384074,0.997,0.017,0.006
1.722805447131394,0.997,0.017,0.006
1.7387624002162507,0.997,0.018,0.006
1.754867149648151,0.998,0.018,0.006
1.7711210643450879,0.998,0.018,0.006
1.787525525904235,0.998,0.019,0.006
