name,solver,status,run_time,iter,obj_val,n,m,N
"UNBOUNDED:prob=0:seed=1234:shape=(150, 100)",COSMO,max_iter_reached,11.966684103012085,100000,-293188.85633367056,100,150,25000
"UNBOUNDED:prob=1:seed=1235:shape=(150, 100)",COSMO,max_iter_reached,9.436032056808472,100000,-91513.08779222022,100,150,25000
"UNBOUNDED:prob=2:seed=1236:shape=(150, 100)",COSMO,max_iter_reached,10.28807520866394,100000,-11697.633287630688,100,150,25000
"UNBOUNDED:prob=3:seed=1237:shape=(150, 100)",COSMO,max_iter_reached,11.932383060455322,100000,-5327.276286501485,100,150,25000
"UNBOUNDED:prob=4:seed=1238:shape=(150, 100)",COSMO,max_iter_reached,10.251705169677734,100000,-11076.12567414415,100,150,25000
"UNBOUNDED:prob=5:seed=1239:shape=(150, 100)",COSMO,max_iter_reached,9.56178903579712,100000,-48090.047453505205,100,150,25000
"UNBOUNDED:prob=6:seed=1240:shape=(150, 100)",COSMO,max_iter_reached,9.717672109603882,100000,-11664.04086982789,100,150,25000
"UNBOUNDED:prob=7:seed=1241:shape=(150, 100)",COSMO,max_iter_reached,9.68871808052063,100000,-15233.891159593815,100,150,25000
"UNBOUNDED:prob=8:seed=1242:shape=(150, 100)",COSMO,max_iter_reached,9.75192904472351,100000,-8214.117442911867,100,150,25000
"UNBOUNDED:prob=9:seed=1243:shape=(150, 100)",COSMO,max_iter_reached,9.867757797241211,100000,-2678.126191858062,100,150,25000
"UNBOUNDED:prob=10:seed=1244:shape=(150, 100)",COSMO,max_iter_reached,10.122227191925049,100000,-8042.292307868466,100,150,25000
"UNBOUNDED:prob=11:seed=1245:shape=(150, 100)",COSMO,max_iter_reached,11.461484909057617,100000,-176048972.30905348,100,150,25000
"UNBOUNDED:prob=12:seed=1246:shape=(150, 100)",COSMO,max_iter_reached,10.550071001052856,100000,-4367.495605235934,100,150,25000
"UNBOUNDED:prob=13:seed=1247:shape=(150, 100)",COSMO,max_iter_reached,9.771553039550781,100000,-1743814.262806881,100,150,25000
"UNBOUNDED:prob=14:seed=1248:shape=(150, 100)",COSMO,max_iter_reached,9.49778413772583,100000,-26553.03691160547,100,150,25000
"UNBOUNDED:prob=15:seed=1249:shape=(150, 100)",COSMO,max_iter_reached,10.66691517829895,100000,-33864.50974484939,100,150,25000
"UNBOUNDED:prob=16:seed=1250:shape=(150, 100)",COSMO,max_iter_reached,10.575154066085815,100000,-81144.56937268018,100,150,25000
"UNBOUNDED:prob=17:seed=1251:shape=(150, 100)",COSMO,max_iter_reached,9.55496597290039,100000,-32317.931070663577,100,150,25000
