name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
arch0,SCS-3.0,max_iter_reached,1000.0206398963928,37850,0.381010656329175,56280,174,3030,2,2,0.0016439838456678688,0.381010656329175,0.3810153697138044,0.031272485267891725,0.00020149880465553896,4.713384629386386e-06,5.868809772477269,,,8.692317976510822e-10,1000009.77257,19.542442,31484.022676000306,952685.2033090077,0.0,0,0
arch2,SCS-3.0,max_iter_reached,1000.0881369113922,39750,0.4845364173593908,56280,174,3420,2,4,0.000643642474378322,0.4845364173593908,0.4845466074834226,0.0400669608520215,0.0001384989468272511,1.019012403179802e-05,5.469169431924976,,,8.917226068660966e-09,1000075.562419,21.663382,32140.805180999945,952018.4431049976,0.0,0,0
arch4,SCS-3.0,max_iter_reached,1000.3420979976654,40825,0.7034655936236989,56280,174,3420,2,4,0.0012624080450193667,0.7034655936236989,0.7034866572638953,0.033404970481389476,0.0009362359747906321,2.1063640196341646e-05,4.655337503376859,,,4.298442490835441e-09,1000330.210491,20.995679,31738.846232999917,953006.6475650059,0.0,0,0
arch8,SCS-3.0,max_iter_reached,1000.6484470367432,42450,1.140919892467284,56280,174,3420,2,4,0.0029634906097568874,1.140919892467284,1.1410316181931048,0.09054361994352911,0.0018498798263908045,0.00011172572582076665,4.848439028094875,,,1.6026660887291655e-08,1000633.005502,23.94333,32609.73229500026,952057.2758819881,0.0,0,0
control1,SCS-3.0,max_iter_reached,2.488158941268921,100000,2.605224377738766,120,21,345,2,31,1e-06,2.605224377738766,2.6051429980379615,15795.92674389144,0.14113877857269386,8.137970080457306e-05,0.3838526567734747,,,7.063711543929751e-09,2487.511678,0.338678,260.848302999999,2125.842413999997,0.0,0,0
control2,SCS-3.0,max_iter_reached,8.656384229660034,100000,2.1688738145398903,465,66,2590,2,21,1e-06,2.1688738145398903,2.168829341938044,5855.545093055069,0.01447278434086579,4.4472601846214294e-05,0.46107787928718474,,,6.620572482315753e-09,8654.641426,1.254563,1657.3424910000103,6745.0596509998995,0.0,0,0
control3,SCS-3.0,max_iter_reached,23.223356008529663,100000,0.942423042962476,1035,136,8610,2,11,1e-06,0.942423042962476,0.9424203243939387,1.0004300033594011,4.417455734543402e-08,2.7185685373246773e-06,1.0610976590124275,,,3.984736192670337e-09,23219.686351,3.621674,6256.22834499999,16378.619145999828,0.0,0,0
control4,SCS-3.0,max_iter_reached,47.967204093933105,100000,0.9942171581336426,1830,231,20280,2,13,1e-06,0.9942171581336426,0.9942179039163789,163.24776420656391,0.04642435910859878,7.457827363117916e-07,1.0058152499823825,,,1.8342683122725157e-08,47956.267034,10.98353,15328.869424999815,31566.799326000226,0.0,0,0
gpp100,SCS-3.0,optimal,166.94471406936646,46075,-44.94303350454619,5050,101,5150,1,4,0.00013406955243585976,-44.94303350454619,-44.94303336492267,0.00080529999979761,6.942861206843607e-05,1.3962352701871333e-07,,0.05562581921781339,0.0,1.273683210456511e-06,166942.621055,3.129481,2882.5035030000136,163009.2538220014,0.0,0,0
gpp124-1,SCS-3.0,optimal,208.45360684394836,36725,-7.371776171278953,7750,125,7874,1,5,7.204309050948812e-05,-7.371776171278953,-7.371775290471299,0.0009602895338505864,4.453250894175864e-05,8.808076544416831e-07,,0.23739179566488852,0.0,1.4785000530537218e-06,208450.366443,4.619002,3568.7208369999867,203530.96174600042,0.0,0,0
gpp124-2,SCS-3.0,optimal,312.436794757843,53800,-46.86200911193164,7750,125,7874,1,4,8.03692793973123e-05,-46.86200911193164,-46.862009204583366,0.0011469993802380267,4.3217399738529105e-05,9.265172813218377e-08,,0.05868310894474109,0.0,1.8839964468497783e-06,312435.253295,4.316676,5223.721339999968,305324.3976580004,0.0,0,0
gpp124-3,SCS-3.0,optimal,301.8184700012207,52050,-153.0138991139191,7750,125,7874,1,4,0.00012041315531704156,-153.0138991139191,-153.01389824144832,0.0010922180831529583,5.373706309861664e-05,8.724708025432097e-07,,0.03267675195787633,0.0,4.8036281441454776e-06,301816.120296,4.662498,5303.666304999942,294548.90729099984,0.0,0,0
gpp124-4,SCS-3.0,optimal,146.13315677642822,25225,-419.0347416123171,7750,125,7874,1,4,0.00039390319563724737,-419.0347416123171,-419.0347302553277,0.0019021153125857145,0.00019970672610062701,1.1356989378117811e-05,,0.017897749902488484,0.0,6.013284291839227e-06,146128.704684,5.045086,2774.448443000026,142252.36831900096,0.0,0,0
hinf1,SCS-3.0,optimal,1.3434429168701172,45625,2.035717465059154,105,13,92,1,1,0.03161753926783978,2.035717465059154,2.0360210278971023,0.00024380401502878296,6.651137552850942e-06,0.00030356283794817553,0.49115224835376287,,,1.3580016694492159e-08,1342.81961,0.248037,69.3301930000002,1231.3306350000018,0.0,0,0
hinf10,SCS-3.0,optimal,0.21778106689453125,4425,117.2716424037316,171,21,190,1,2,0.005465570998199518,117.2716424037316,117.27324209618668,0.14693743945122978,0.00019986861927237575,0.0015996924550718107,0.008527317965296733,,,1.7591780565595627e-07,217.102442,0.338137,11.230218,200.07536799999963,0.0,0,0
hinf11,SCS-3.0,optimal,0.16409897804260254,2350,70.48684797394445,253,31,417,1,3,0.00181784523532488,70.48684797394445,70.48003814696366,0.17413239064000594,0.000154081675109555,0.006809826980777243,0.014188475922264562,,,3.333007425609935e-09,163.330194,0.331154,9.320329000000006,149.92855099999974,0.0,0,0
hinf12,SCS-3.0,optimal,0.12269806861877441,1450,34.7505116575804,300,43,579,1,4,0.0004952359605731967,34.7505116575804,34.7511510416867,0.8748377820081146,0.00015033410110101687,0.0006393841062968967,0.02877599974291703,,,3.797675462990924e-08,121.68065,0.550675,6.977592000000002,111.57676999999984,0.0,0,0
hinf13,SCS-3.0,optimal,0.6722853183746338,4975,25.803478899557824,465,57,1444,1,2,0.008707820993927612,25.803478899557824,25.806154668576017,0.06680104925037803,4.3183645551135764e-05,0.0026757690181924646,0.038749999203857986,,,7.239620458676654e-09,671.466975,0.556321,45.98226700000007,611.2585369999964,0.0,0,0
hinf14,SCS-3.0,optimal,0.6125619411468506,3425,12.989992574484507,595,73,2394,1,2,0.009361217760985238,12.989992574484507,12.991387203751534,0.023567241424677206,5.680261914532035e-05,0.0013946292670274777,0.07697406311894867,,,1.9325201883191312e-08,611.539493,0.784916,44.983210000000035,554.2229729999995,0.0,0,0
hinf15,SCS-3.0,optimal,0.5426738262176514,2725,7.717863613268978,703,91,3394,1,3,0.0010999662461312085,7.717863613268978,7.7170012820608,0.08749840267086094,7.640754782008266e-05,0.000862331208178208,0.12958365177373632,,,5.685074633277054e-08,541.384301,1.022577,46.880689000000025,482.99712799999963,0.0,0,0
