name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
arch0,SCS_AA1,max_iter_reached,1000.262060880661,38450,0.3822383471889977,56280,174,3030,2,2,0.0016439838456678688,0.3822383471889977,0.38224301953085876,0.031419995870925845,0.00020667026218294403,4.672341861112346e-06,5.849960388322758,,,6.352038894874568e-10,1000246.488126,22.46475,31728.663656999906,949884.468385,2809.6350140008235,347,0
arch2,SCS_AA1,max_iter_reached,1000.3733439445496,40500,0.4933879130292138,56280,174,3420,2,4,0.0006449000953372311,0.4933879130292138,0.4933978577740179,0.040135777083008105,0.00014268505577058304,9.944744804130512e-06,5.371056526887773,,,2.9391955536084424e-09,1000359.660065,20.772888,32126.302286000107,949528.2839770034,2834.1076230009367,364,11
arch4,SCS_AA1,max_iter_reached,1000.3428461551666,38925,0.6881114060753221,56280,174,3420,2,4,0.0012617873069213136,0.6881114060753221,0.688135369530273,0.03629854557110756,0.0005618179546211856,2.3963454950875855e-05,4.759199927993624,,,3.148633709315618e-08,1000328.743658,20.299046,31795.659259999822,949882.149185002,2812.6751570007614,350,3
arch8,SCS_AA1,max_iter_reached,1000.4083199501038,43300,1.1587230373990196,56280,174,3420,2,4,0.002962397600548148,1.1587230373990196,1.1588303725499525,0.0882360790936707,0.0018190908718189289,0.00010733515093288303,4.773969685789481,,,5.862284524482675e-08,1000388.762211,25.133964,32604.788184000234,949247.2987880021,2833.3748690007465,389,2
control1,SCS_AA1,max_iter_reached,2.6642770767211914,100000,0.003929990583899706,120,21,345,2,5,1e-06,0.003929990583899706,0.003674725754859334,110948.9766290652,0.605136875510798,0.0002552648290403723,272.1236068868346,,,4.5931013002607284e-10,2663.432175,0.357801,315.7167310000039,2176.8632700000167,39.557972000014416,869,381
control2,SCS_AA1,max_iter_reached,9.85829782485962,100000,0.004227749928420531,465,66,2590,2,5,1e-06,0.004227749928420531,0.004247517137019977,56502.42388879062,0.3680488878240017,1.976720859944703e-05,235.4293795033475,,,1.4789598261375891e-08,9856.072863,1.776586,2168.664143999971,7243.259570999911,88.19505499994897,901,29
control3,SCS_AA1,max_iter_reached,27.069067001342773,100000,0.8513171914511057,1035,136,8610,2,11,1e-06,0.8513171914511057,0.8513082027068924,3036.4523786899927,0.07243101270065537,8.988744213304173e-06,1.1746600800223295,,,1.1610187064906334e-08,27065.028938,3.981728,7507.946669000001,18693.239757999898,143.83222299994412,896,31
control4,SCS_AA1,max_iter_reached,50.629180908203125,100000,0.4611183656855054,1830,231,20280,2,13,1e-06,0.4611183656855054,0.4610662868804749,37059.96216122221,0.10989474285633474,5.2078805030530016e-05,2.1688797162095357,,,1.6067545685666235e-08,50616.701673,12.624449,18623.645559000015,30380.96704299922,301.6209890000213,741,1729
gpp100,SCS_AA1,optimal,192.17828798294067,48325,-44.943509300443814,5050,101,5150,1,5,0.0003729566178841977,-44.943509300443814,-44.943502073200484,0.002405214517508707,1.3917448015051128e-06,7.227243332685987e-06,,0.0556239826405724,0.0,2.4673913685546722e-06,192176.103427,3.3284,3478.544322,187093.34049299997,249.04801999996545,434,15
gpp124-1,SCS_AA1,optimal,247.99765515327454,42975,-7.365183082656018,7750,125,7874,1,6,0.00021504388053989268,-7.365183082656018,-7.365180799197759,0.001491650977310867,2.337335841045551e-06,2.283458258841839e-06,,0.23740188524847167,0.0,1.8834343791240826e-06,247994.523607,4.859513,4211.2028940000255,241835.6455259979,315.54757899999896,385,12
gpp124-2,SCS_AA1,optimal,338.78952193260193,54325,-46.862402159615336,7750,125,7874,1,4,7.120525778382835e-05,-46.862402159615336,-46.86239584120008,0.0071543348721750145,2.5985396441832187e-06,6.318415245863844e-06,,0.05867591360377159,0.0,1.6015637811506167e-06,338787.651483,4.497862,5804.612156999974,330348.3442529972,424.2597999998382,490,2
gpp124-3,SCS_AA1,optimal,324.7769241333008,53175,-153.01460391619514,7750,125,7874,1,4,0.00010183968441177458,-153.01460391619514,-153.0145642756279,0.0354026709872386,6.084341636663115e-07,3.964056725519575e-05,,0.03265273237381185,0.0,1.3067267900623847e-05,324774.028793,4.757311,5776.00367000003,316336.568765001,415.1940959998185,479,14
gpp124-4,SCS_AA1,optimal,124.37178587913513,21925,-419.0103441280233,7750,125,7874,1,4,0.00017532204522249963,-419.0103441280233,-419.01033473068145,0.010925879589979901,1.1758930085515176e-05,9.397341821112668e-06,,0.017898507711171713,0.0,4.575103957904503e-06,124366.931752,4.869334,2149.658374999998,121264.26869999994,161.67072800001412,195,12
hinf1,SCS_AA1,optimal,0.45987606048583984,17050,2.0359683575626173,105,13,92,1,1,0.031618725017815506,2.0359683575626173,2.0361530656110673,0.00548817718902587,0.0001707789853296263,0.0001847080484500104,0.4910383398482928,,,2.9839166415523977e-09,459.341476,0.228085,23.49630799999984,417.97020399999764,3.7106040000005343,153,1
hinf10,SCS_AA1,optimal,0.07615470886230469,1575,116.55676915553747,171,21,190,1,2,0.005465570998199518,116.55676915553747,116.55206578754157,0.1316062264597703,0.00014124109466811475,0.004703367995894652,0.008580222176822545,,,1.8446811411720887e-07,75.685961,0.208969,3.5393840000000028,69.62399199999999,0.555021999999986,11,11
hinf11,SCS_AA1,optimal,0.08911275863647461,1250,70.59650375707318,253,31,417,1,3,0.0018253386538015324,70.59650375707318,70.58950790708431,0.18441949936403512,0.00018241731694850345,0.006995849988868308,0.014166458475611165,,,4.15563778943806e-08,88.461868,0.377716,5.022596999999998,80.48885699999984,0.598644999999992,9,5
hinf12,SCS_AA1,optimal,4.200124025344849,51150,4.005359491829187,300,43,579,1,4,0.0004961558283705857,4.005359491829187,4.00506490952487,4.238233217980663,2.290289707387643e-05,0.0002945823043171036,0.2496781249973689,,,9.075667878409143e-08,4199.424753,0.352975,239.86004999999912,3835.2611919999636,26.168507999998727,459,32
hinf13,SCS_AA1,optimal,0.6457312107086182,5025,25.8048230111754,465,57,1444,1,2,0.008662773885449386,25.8048230111754,25.807439400357783,0.06596889010543387,4.319344120880755e-05,0.002616389182382328,0.03874809296539243,,,9.344098472752194e-08,644.933169,0.55723,43.13966500000004,585.449409,2.9969929999999314,44,0
hinf14,SCS_AA1,optimal,0.49388813972473145,2900,13.035765623414433,595,73,2394,1,2,0.0026566410232429206,13.035765623414433,13.035374855910813,0.013539075793228572,0.0001654608277755708,0.00039076750361823276,0.07671513915605994,,,2.06411758796321e-08,492.878149,0.764126,35.87496400000008,445.51001600000006,1.9582679999999224,25,0
hinf15,SCS_AA1,optimal,0.5488801002502441,2875,7.716381510184334,703,91,3394,1,3,0.0011183969158102863,7.716381510184334,7.7155161319733345,0.08738473907880154,7.443170784835567e-05,0.0008653782109997217,0.12960860884094974,,,2.599702852990049e-08,547.452671,1.035841,46.809151999999905,486.8663150000006,2.3717309999999325,24,0
hinf2,SCS_AA1,optimal,0.4200401306152344,13600,10.128178322990275,136,13,118,1,2,0.00832994275229748,10.128178322990275,10.129130928866081,0.03076250320048117,0.00019432438480697248,0.00095260587580754,0.09872165225227754,,,3.0656011063001642e-09,419.597241,0.190971,24.431363999999846,377.310376999999,3.8853399999998546,119,21
hinf3,SCS_AA1,optimal,0.07470893859863281,2425,56.168495240602184,136,13,118,1,4,0.0006483579754069213,56.168495240602184,56.16596873144682,0.24857717119566397,2.669594443334031e-05,0.002526509155364554,0.017804501352402864,,,1.7316087230767607e-08,74.26758,0.19106,4.56528599999999,66.503018,0.6449939999999947,19,5
hinf4,SCS_AA1,optimal,0.24533700942993164,7800,274.78188727609,136,13,118,1,2,0.006734253697136719,274.78188727609,274.78248087219043,0.060946901658438336,0.00019633099765147644,0.000593596100447833,0.0036392496291419063,,,1.6616013454040512e-08,244.588745,0.372978,13.796206999999967,220.73659200000006,2.072240999999752,65,36
hinf5,SCS_AA1,max_iter_reached,2.905189275741577,100000,295.86562050353166,136,13,118,2,2,0.009110452319493322,295.86562050353166,295.86752047256294,0.25347859233606207,0.0004991289732801902,0.0018999690312821152,0.0033799322056069893,,,1.0125880844924495e-07,2904.664967,0.239827,178.5031779999957,2600.303477000053,25.590824999989973,907,0
hinf6,SCS_AA1,optimal,0.44188904762268066,14925,242.65956593208028,136,13,118,1,2,0.007805004110278288,242.65956593208028,242.68314693961617,0.27690325313497205,0.00019704391179449702,0.023581007535865683,0.0041205230413842945,,,7.046857319892297e-09,441.420397,0.19892,25.797121999999924,397.6694220000009,3.3705209999997803,133,0
