name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
arch0,SCS-3.0,optimal,571.7304608821869,23100,0.5581305560418651,56280,174,3030,1,0,0.1,0.5581305560418651,0.5581305592389079,0.001307045263202655,0.0003233247867460842,3.197042785950551e-09,4.006437461518778,,,2.767549744930875e-09,571715.27637,19.326611,19357.475924000013,544499.4168949992,0.0,0,0
arch2,SCS-3.0,optimal,306.5012331008911,12800,0.6570450669562615,56280,174,3420,1,0,0.1,0.6570450669562615,0.657044996630162,0.0011878427771268032,0.00036448753094383006,7.032609957727383e-08,4.033342464236992,,,6.320405532278528e-09,306480.874301,21.71579,10528.651345999991,291780.3201749994,0.0,0,0
arch4,SCS-3.0,max_iter_reached,1000.2853379249573,41550,0.9236904027884022,56280,174,3420,2,0,0.1,0.9236904027884022,0.9236902307493748,0.0050396408810209755,0.0019620270030939113,1.7203902739015813e-07,3.545421137072006,,,1.91923135162142e-08,1000274.270457,20.388813,33899.307559000226,953065.7110220093,0.0,0,0
arch8,SCS-3.0,max_iter_reached,1000.1147449016571,42400,6.326062855985279,56280,174,3420,2,0,0.1,6.326062855985279,6.326064875306032,0.06487541072014365,0.2807781340980286,2.019320752810023e-06,0.8748754084844249,,,9.691234481579158e-09,1000104.182179,19.932559,33411.6550419997,953448.317721,0.0,0,0
control1,SCS-3.0,max_iter_reached,3.37073016166687,100000,11.457786314965029,120,21,345,2,0,0.1,11.457786314965029,11.457799531702,0.5652998845849481,0.1463383503669974,1.3216736971668265e-05,0.08727707867242675,,,7.817109081136725e-09,3370.272552,0.244273,265.748653999999,2995.8124000000143,0.0,0,0
control2,SCS-3.0,max_iter_reached,12.405096054077148,100000,7.949488277827581,465,66,2590,2,0,0.1,7.949488277827581,7.949523501619576,0.5699805352955254,0.16819492891308563,3.522379199515948e-05,0.12579416755558928,,,2.8120536667460005e-09,12403.797393,1.152981,1698.2049270000311,10521.90205499992,0.0,0,0
control3,SCS-3.0,max_iter_reached,32.028074979782104,100000,8.801278699652823,1035,136,8610,2,0,0.1,8.801278699652823,8.801326906591699,0.5147969983698848,0.1914014769201751,4.82069388758508e-05,0.1136198762949295,,,1.3080423955785792e-08,32024.339379,3.777697,6148.620640999957,25455.407608000085,0.0,0,0
control4,SCS-3.0,max_iter_reached,69.48207068443298,100000,18.72769735619962,1830,231,20280,2,0,0.1,18.72769735619962,18.727744790099482,1.3753352987922838,0.2302881537084059,4.743389986094657e-05,0.05339756440538344,,,1.8949103492045538e-08,69470.151477,12.130987,19916.540978999925,48577.06932800018,0.0,0,0
gpp100,SCS-3.0,max_iter_reached,426.56709480285645,100000,-44.94158244888178,5050,101,5150,2,0,0.1,-44.94158244888178,-44.941577232148866,1.0462497826708073e-06,0.0008378835734444101,5.2167329106020334e-06,,0.05562775992574001,0.0,1.7736624613462482e-07,426567.582861,3.399104,7759.90996,416289.5862990061,0.0,0,0
gpp124-1,SCS-3.0,max_iter_reached,666.6691677570343,100000,-7.345457318697446,7750,125,7874,2,0,0.1,-7.345457318697446,-7.345374197516687,7.626417951460004e-05,0.001175149484127192,8.312118075896328e-05,,0.23824157694471568,0.0,2.3050188246998005e-07,666668.613743,6.849395,11722.046788000176,651137.6006850015,0.0,0,0
gpp124-2,SCS-3.0,max_iter_reached,592.7700688838959,100000,-46.86027013130101,7750,125,7874,2,0,0.1,-46.86027013130101,-46.86026672752903,1.467440399290689e-06,0.0009735358442427102,3.4037719777230665e-06,,0.05868510216981932,0.0,2.0983975446142722e-07,592771.186497,4.586173,9728.08308499994,580255.7707749938,0.0,0,0
gpp124-3,SCS-3.0,max_iter_reached,598.3327558040619,100000,-153.01210343405876,7750,125,7874,2,0,0.1,-153.01210343405876,-153.01209864680445,3.4513243262576816e-06,0.000669856648416471,4.787254294738597e-06,,0.03267715110686815,0.0,9.496470738667995e-07,598333.730037,4.771615,10326.631642000182,584839.9363499986,0.0,0,0
gpp124-4,SCS-3.0,max_iter_reached,643.3801851272583,100000,-418.97108237908867,7750,125,7874,2,0,0.1,-418.97108237908867,-418.97105330056775,3.137673025787717e-06,0.0018629189154442426,2.9078520915817333e-05,,0.017900991760961188,0.0,1.9227682059863582e-06,643380.599047,5.731836,11516.78801200009,628037.7863559986,0.0,0,0
hinf1,SCS-3.0,optimal,1.9950010776519775,66675,2.0338114312763986,105,13,92,1,0,0.1,2.0338114312763986,2.0341146447356,7.37561013939107e-05,1.1375883160608444e-05,0.0003032134592016557,0.49160878257519286,,,9.349156726567998e-10,1994.528211,0.20406,106.70377199999739,1831.910706000007,0.0,0,0
hinf10,SCS-3.0,optimal,3.675379991531372,62475,109.51880886179661,171,21,190,1,0,0.1,109.51880886179661,109.52391682389319,0.013627336502940478,5.71414698365371e-05,0.0051079620965678125,0.009130947563515818,,,3.344140382388616e-07,3674.788949,0.287019,196.06342400000037,3391.013732999991,0.0,0,0
hinf11,SCS-3.0,max_iter_reached,9.211333751678467,100000,66.04909604262683,253,31,417,2,0,0.1,66.04909604262683,66.0589016907553,0.0037630291719347947,1.8188504391113135e-05,0.00980564812846782,0.01513786219362537,,,5.364908195470974e-07,9210.576919,0.375245,522.778811000001,8509.015780999922,0.0,0,0
hinf12,SCS-3.0,max_iter_reached,18.041016817092896,100000,800.6552388794755,300,43,579,2,0,0.1,800.6552388794755,0.13240819513374338,501.8511643000804,25.47775097239972,800.5228306843418,192.4182332269166,,,6.039403356809734e-08,18040.009522,0.593001,935.2683770000043,16813.987065999976,0.0,0,0
hinf13,SCS-3.0,optimal,0.30106401443481445,1200,25.856771089044194,465,57,1444,1,0,0.1,25.856771089044194,25.859398572617607,0.008907587563213824,0.00012256149913939456,0.0026274835734150263,0.03866592007903947,,,2.0720396065598834e-08,298.606429,1.852871,20.418634999999977,272.37466000000023,0.0,0,0
hinf14,SCS-3.0,optimal,2.3445868492126465,3275,13.033202632042462,595,73,2394,1,0,0.1,13.033202632042462,13.034568598553687,0.0020247960769324853,7.336216800593115e-05,0.0013659665112242196,0.07671344320079343,,,1.2777845448397329e-08,2342.994986,1.195693,180.67304399999992,2101.5342840000017,0.0,0,0
hinf15,SCS-3.0,optimal,6.387805938720703,15575,14.72418250057886,703,91,3394,1,0,0.1,14.72418250057886,14.725043227155123,0.014354355396261953,0.00019985932986438089,0.0008607265762636923,0.06791066064436461,,,2.0725421379097497e-09,6358.141521,29.138839,604.2291259999982,5643.129311000018,0.0,0,0
hinf2,SCS-3.0,optimal,0.8801569938659668,21600,10.874876849809683,136,13,118,1,0,0.1,10.874876849809683,10.874983200060758,0.00020271639961823903,0.00019961640876676792,0.00010635025107374205,0.09195178263690346,,,3.3067557581034634e-09,879.629486,0.214439,53.49991499999955,801.7734530000009,0.0,0,0
hinf3,SCS-3.0,optimal,0.1434171199798584,3725,56.8490580956917,136,13,118,1,0,0.1,56.8490580956917,56.85098868994642,0.005104165625150001,0.00019634836534479787,0.0019305942547175098,0.017588332541212257,,,2.696255663181546e-09,142.911478,0.216699,8.966312000000002,129.95898899999992,0.0,0,0
hinf4,SCS-3.0,max_iter_reached,5.582431077957153,100000,274.8263372548168,136,13,118,2,0,0.1,274.8263372548168,274.82646538851736,0.00033994004550946106,0.00022015355229435438,0.00012813370057343152,0.0036386580173710477,,,7.931468815058906e-09,5581.80516,0.228462,336.03411499999197,5076.57592400007,0.0,0,0
hinf5,SCS-3.0,max_iter_reached,5.459650754928589,100000,344.0424014911445,136,13,118,2,0,0.1,344.0424014911445,344.04313206502457,0.03158524015713597,0.0017896826498355473,0.0007305738800878313,0.0029067207822822305,,,1.1673569844106169e-07,5458.828325,0.308458,330.3354029999977,4959.5027700000965,0.0,0,0
hinf6,SCS-3.0,optimal,2.707202672958374,59850,444.5215285884005,136,13,118,1,0,0.1,444.5215285884005,444.5246193495891,0.07794765767828464,0.00012879104420267004,0.0030907611886567565,0.002249404963152159,,,7.350787434301509e-08,2706.567584,0.244568,167.75828300000038,2459.2777299999975,0.0,0,0
hinf7,SCS-3.0,optimal,1.436650037765503,31425,258.8977307097009,136,13,118,1,0,0.1,258.8977307097009,258.9228216161356,0.24204984230123655,0.000175531637208214,0.025090906434656515,0.0038614767988473233,,,8.747802482389488e-09,1435.882277,0.308448,86.24197400000057,1307.9198490000067,0.0,0,0
hinf8,SCS-3.0,optimal,1.7561070919036865,32350,115.61943825423286,136,13,118,1,0,0.1,115.61943825423286,115.62198581167942,0.012612739728484866,0.0001996827917347405,0.0025475574465524528,0.008648669581252417,,,4.6527363295467694e-08,1755.031385,0.357632,96.772779,1610.9185680000057,0.0,0,0
hinf9,SCS-3.0,optimal,2.090743064880371,48575,94.21443289098994,136,13,118,1,0,0.1,94.21443289098994,94.22140344242547,0.03993106814264768,0.00019951179899905651,0.006970551435531298,0.010613083058351075,,,4.255054239510336e-09,2089.853481,0.287923,137.06663900000137,1884.6154179999935,0.0,0,0
mcp100,SCS-3.0,optimal,2.3926379680633545,550,226.12222142756823,5050,100,100,1,0,0.1,226.12222142756823,226.13066628928493,0.0005493666004419218,0.0001338167196596227,0.008444861716707885,0.004422554301689814,,,6.525997378048487e-07,2389.197656,2.60458,37.18742900000002,2337.7399589999977,0.0,0,0
mcp124-1,SCS-3.0,optimal,5.381853818893433,725,141.94182438905324,7750,124,124,1,0,0.1,141.94182438905324,141.94711214102827,0.0002131024768275938,0.00019554185600539954,0.005287751975027,0.007044877383672749,,,2.0634070097003132e-07,5376.560099,3.978832,99.07648399999998,5226.285860000002,0.0,0,0
mcp124-2,SCS-3.0,optimal,4.394371747970581,525,269.83397676638793,7750,124,124,1,0,0.1,269.83397676638793,269.8418535873677,0.0003594362310530023,0.00018780455039100726,0.007876820979812809,0.0037059821507496316,,,1.2817338301829295e-08,4388.156568,4.891365,70.14122299999998,4288.509253000005,0.0,0,0
