name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
arch0,SCS_AA2,optimal,915.6824498176575,23300,0.558130384904001,56280,174,3030,1,0,0.1,0.558130384904001,0.5581303881252029,0.0013070570459140227,0.0003235553170866222,3.2212018205924105e-09,4.006438716345739,,,1.2515322111994465e-09,915650.186166,37.263854,30976.478506999898,869934.8920349956,2566.8930769999797,211,0
arch2,SCS_AA2,optimal,492.86900305747986,12925,0.6570452116780473,56280,174,3420,1,0,0.1,0.6570452116780473,0.6570451418929292,0.001187838188278495,0.00036247431175360844,6.978511821584601e-08,4.033341124473113,,,5.115481371831265e-09,492831.905113,37.412635,17038.881375000048,467571.79365699884,1434.22152599999,117,0
arch4,SCS_AA2,max_iter_reached,1000.680447101593,28125,0.9225492701309493,56280,174,3420,2,0,0.1,0.9225492701309493,0.922549145819352,0.00510082819830836,0.0013930597185635657,1.2431159731315904e-07,3.5498455493620584,,,5.96071458858205e-09,1000656.802219,30.561272,33506.80540400001,951118.006852999,2831.4589140002427,255,0
arch8,SCS_AA2,max_iter_reached,1000.6974310874939,32625,6.083677556774847,56280,174,3420,2,0,0.1,6.083677556774847,6.083681619230045,0.06603552848253928,0.4014110558978728,4.0624551985417995e-06,0.9097595006934539,,,3.4216213862237055e-08,1000675.225626,27.50786,33040.066295000026,951628.2703300025,2903.6684270002306,296,0
control1,SCS_AA2,max_iter_reached,3.9053211212158203,100000,11.346172589595042,120,21,345,2,0,0.1,11.346172589595042,11.346167552403562,0.6028662795398975,0.19615692043245725,5.037191479482955e-06,0.08813583235317236,,,3.202747754071228e-09,3904.7383,0.29202,308.8543450000074,3453.165750000074,36.99748700001432,899,106
control2,SCS_AA2,max_iter_reached,15.866992950439453,100000,7.89296442313053,465,66,2590,2,0,0.1,7.89296442313053,7.892936127057753,0.28087330913105146,0.17220082832356434,2.8296072776671772e-05,0.12669577719657604,,,1.210371542055555e-08,15865.41585,1.346777,2157.214118999999,13343.827102999881,94.71376499992908,862,507
control3,SCS_AA2,max_iter_reached,43.84203600883484,100000,8.678023436984473,1035,136,8610,2,0,0.1,8.678023436984473,8.67808739949366,0.5049678310366829,0.21430627580374237,6.396250918627597e-05,0.11523362088423972,,,5.094080800845807e-09,43837.295114,4.759439,8438.108830000056,34377.69730699965,363.502119000056,557,3862
control4,SCS_AA2,max_iter_reached,80.16643404960632,100000,18.0275812291877,1830,231,20280,2,0,0.1,18.0275812291877,18.02763597621927,1.370402180709613,0.20101095387150836,5.474703156673626e-05,0.055471099820517414,,,2.6944931752828638e-08,80152.419391,14.406314,22810.89345599994,55467.22495300121,751.8971310002727,293,6766
gpp100,SCS_AA2,max_iter_reached,467.6432001590729,100000,-44.94157757669504,5050,101,5150,2,0,0.1,-44.94157757669504,-44.9415723305438,1.0802830869914168e-06,0.0008420485306619732,5.246151236577e-06,,0.05562776591011466,0.0,2.0380537080200156e-07,467643.264565,4.157432,8574.88524599995,455587.7326049934,613.2975059994825,909,0
gpp124-1,SCS_AA2,max_iter_reached,789.4238560199738,100000,-7.345569356357727,7750,125,7874,2,0,0.1,-7.345569356357727,-7.3454855868918685,7.715768272843076e-05,0.0011819364701745527,8.376946585828632e-05,,0.23823793583270003,0.0,2.1535925043281168e-07,789421.319679,9.815727,13801.584540999871,769983.845773999,931.9814919991243,909,0
gpp124-2,SCS_AA2,max_iter_reached,724.4145522117615,100000,-46.86026547516368,7750,125,7874,2,0,0.1,-46.86026547516368,-46.860262054633296,1.541191696985523e-06,0.0009780558594921277,3.4205303880813726e-06,,0.05868510794741812,0.0,1.4810530046815984e-07,724415.627344,5.448797,12923.186611000045,706314.6771720017,884.7820389995392,909,0
gpp124-3,SCS_AA2,max_iter_reached,703.4456701278687,100000,-153.01209980713722,7750,125,7874,2,0,0.1,-153.01209980713722,-153.01209466760707,3.6421098595671734e-06,0.0006725489129298179,5.139530145671031e-06,,0.03267715178713668,0.0,1.0232847671431955e-06,703447.019611,5.149009,12490.475897000017,685943.5955160018,866.6927239992735,909,0
